name,home,away,compareCode
Ball possession,56%,44%,1
Total shots,13,9,1
Shots on target,2,2,3
Shots off target,6,6,3
Blocked shots,5,1,1
Corner kicks,6,4,1
Offsides,3,3,3
Fouls,9,9,3
Yellow cards,1,0,1
Free kicks,9,9,3
Throw-ins,28,29,2
Goal kicks,8,9,2
Big chances,1,0,1
Big chances missed,1,0,1
Shots inside box,6,3,1
Shots outside box,7,6,1
Goalkeeper saves,2,1,1
Passes,494,398,1
Accurate passes,373 (76%),271 (68%),1
Long balls,16/47 (34%),14/71 (20%),1
Crosses,3/19 (16%),1/12 (8%),1
Dribbles,8/22 (36%),6/22 (27%),1
Possession lost,206,204,1
Duels won,66,50,1
Aerials won,23,13,1
Tackles,26,22,1
Interceptions,7,8,2
Clearances,23,31,2
Ball possession,52%,48%,1
Total shots,2,4,2
Shots on target,0,1,2
Shots off target,1,2,2
Blocked shots,1,1,3
Corner kicks,1,3,2
Offsides,1,0,1
Yellow cards,1,0,1
Free kicks,3,4,2
Throw-ins,21,15,1
Goal kicks,2,2,3
Big chances,0,0,3
Big chances missed,0,0,3
Shots inside box,0,2,2
Shots outside box,2,2,3
Goalkeeper saves,1,0,1
Passes,242,226,1
Accurate passes,180 (74%),157 (69%),1
Long balls,7/21 (33%),5/34 (15%),1
Crosses,0/7 (0%),1/7 (14%),2
Dribbles,2/9 (22%),4/12 (33%),2
Possession lost,104,106,2
Duels won,26,25,1
Aerials won,8,6,1
Tackles,13,11,1
Interceptions,2,5,2
Clearances,16,15,1
Ball possession,60%,40%,1
Total shots,11,5,1
Shots on target,2,1,1
Shots off target,5,4,1
Blocked shots,4,0,1
Corner kicks,5,1,1
Offsides,2,3,2
Yellow cards,0,0,3
Free kicks,6,5,1
Throw-ins,7,14,2
Goal kicks,6,7,2
Big chances,1,0,1
Big chances missed,1,0,1
Shots inside box,6,1,1
Shots outside box,5,4,1
Goalkeeper saves,1,1,3
Passes,252,172,1
Accurate passes,193 (77%),114 (66%),1
Long balls,9/26 (35%),9/37 (24%),1
Crosses,3/12 (25%),0/5 (0%),1
Dribbles,6/13 (46%),2/10 (20%),1
Possession lost,102,98,1
Duels won,40,25,1
Aerials won,15,7,1
Tackles,13,11,1
Interceptions,5,3,1
Clearances,7,16,2
