name,home,away
Ball possession,41%,59%
Total shots,23,9
Shots on target,8,5
Shots off target,10,1
Blocked shots,5,3
Corner kicks,10,6
Offsides,0,1
Fouls,9,10
Yellow cards,0,1
Free kicks,10,9
Throw-ins,17,19
Goal kicks,5,10
Big chances,5,2
Big chances missed,2,2
Counter attacks,3,0
Counter attack shots,2,0
Counter attack goals,1,0
Shots inside box,13,4
Shots outside box,10,5
Goalkeeper saves,4,3
Passes,295,434
Accurate passes,224 (76%),353 (81%)
Long balls,25/53 (47%),26/53 (49%)
Crosses,4/20 (20%),2/29 (7%)
Dribbles,16/24 (67%),14/15 (93%)
Possession lost,130,136
Duels won,42,46
Aerials won,7,7
Tackles,9,16
Interceptions,13,12
Clearances,24,17
Ball possession,41%,59%
Total shots,14,0
Shots on target,4,0
Shots off target,7,0
Blocked shots,3,0
Corner kicks,7,2
Offsides,0,1
Yellow cards,0,0
Free kicks,6,4
Throw-ins,6,11
Goal kicks,2,6
Big chances,2,0
Big chances missed,1,0
Counter attacks,1,0
Counter attack shots,1,0
Counter attack goals,0,0
Shots inside box,6,0
Shots outside box,8,0
Goalkeeper saves,0,2
Passes,162,237
Accurate passes,131 (81%),197 (83%)
Long balls,14/23 (61%),19/29 (66%)
Crosses,3/11 (27%),0/12 (0%)
Dribbles,6/10 (60%),6/7 (86%)
Possession lost,56,66
Duels won,20,22
Aerials won,3,3
Tackles,5,9
Interceptions,9,4
Clearances,15,10
Ball possession,41%,59%
Total shots,9,9
Shots on target,4,5
Shots off target,3,1
Blocked shots,2,3
Corner kicks,3,4
Offsides,0,0
Yellow cards,0,1
Free kicks,4,5
Throw-ins,11,8
Goal kicks,3,4
Big chances,3,2
Big chances missed,1,2
Counter attacks,2,0
Counter attack shots,1,0
Counter attack goals,1,0
Shots inside box,7,4
Shots outside box,2,5
Goalkeeper saves,4,1
Passes,133,197
Accurate passes,93 (70%),156 (79%)
Long balls,11/30 (37%),7/24 (29%)
Crosses,1/9 (11%),2/17 (12%)
Dribbles,10/14 (71%),8/8 (100%)
Possession lost,74,70
Duels won,22,24
Aerials won,4,4
Tackles,4,7
Interceptions,4,8
Clearances,9,7
