shirtNumber,jerseyNumber,position,substitute,player.name,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.shotOffTarget,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.outfielderBlock,statistics.aerialLost,captain,statistics.onTargetScoringAttempt,statistics.bigChanceMissed,statistics.hitWoodwork,statistics.penaltyMiss,statistics.blockedScoringAttempt,statistics.totalOffside,statistics.goalAssist,statistics.bigChanceCreated,statistics.goals,team,player_type,statistics.punches,statistics.penaltyConceded
21,21,G,False,Victoria Esson,V. Esson,G,19,985695,NZ,New Zealand,857606400,27.0,17.0,17.0,7.0,1.0,1.0,1.0,2.0,90.0,32.0,7.0,10.0,7.0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,
4,4,D,False,Catherine Bott,C. Bott,D,34,796544,NZ,New Zealand,798508800,40.0,19.0,13.0,2.0,,,,,90.0,88.0,7.6,36.0,7.6,7.5,2.0,1.0,5.0,5.0,15.0,1.0,1.0,2.0,1.0,1.0,3.0,7.0,2.0,2.0,1.0,,,,,,,,,,,,,home,main,,
13,13,D,False,Rebekah Stott,R. Stott,M,16,242293,NZ,New Zealand,740275200,48.0,30.0,11.0,2.0,2.0,,,,70.0,58.0,7.0,18.0,7.0,7.1,,,2.0,,8.0,,,1.0,1.0,,,2.0,3.0,,,1.0,,,,,,,,,,,,home,main,,
14,14,D,False,Katie Bowen,K. Bowen,D,32,131809,NZ,New Zealand,766368000,45.0,35.0,7.0,3.0,7.0,,,,90.0,59.0,7.3,11.0,7.3,7.3,,,1.0,4.0,3.0,,,1.0,1.0,,3.0,1.0,,,,,4.0,,,,,,,,,,,home,main,,
7,7,D,False,Ali Riley,A. Riley,D,35,29142,NZ,New Zealand,562550400,27.0,16.0,4.0,,,,,,90.0,50.0,6.6,15.0,6.6,6.3,1.0,,,5.0,3.0,4.0,,1.0,,,1.0,3.0,,,,,,True,,,,,,,,,,home,main,,
20,20,M,False,Indiah-Paige Riley,I. Riley,M,46,1009447,NZ,New Zealand,977270400,16.0,11.0,2.0,1.0,,,,,90.0,55.0,8.0,16.0,8.0,7.9,2.0,,,9.0,17.0,1.0,,7.0,4.0,1.0,2.0,9.0,4.0,1.0,1.0,,4.0,,1.0,,,,,,,,,home,main,,
2,2,M,False,Ria Percival,R. Percival,D,31,29126,NZ,New Zealand,628992000,27.0,19.0,6.0,2.0,2.0,,,,90.0,53.0,7.0,17.0,7.0,7.1,8.0,1.0,5.0,5.0,11.0,1.0,,1.0,,2.0,,5.0,2.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,home,main,,
6,6,M,False,Malia Steinmetz,M. Steinmetz,M,29,1096340,NZ,New Zealand,916617600,41.0,28.0,3.0,1.0,3.0,,,,90.0,59.0,6.8,17.0,6.8,6.6,1.0,,4.0,9.0,6.0,3.0,1.0,,,1.0,,2.0,,,,,5.0,,,,,,1.0,,,,,home,main,,
12,12,M,False,Betsy Hassett,B. Hassett,M,8,121376,NZ,New Zealand,649728000,30.0,22.0,5.0,3.0,,,,,90.0,55.0,6.4,22.0,6.4,6.0,2.0,,2.0,11.0,4.0,1.0,7.0,1.0,,,1.0,2.0,,,,,2.0,,,,,,1.0,1.0,,,,home,main,,
16,16,F,False,Jacqui Hand,J. Hand,F,34,1154468,NZ,New Zealand,919382400,21.0,12.0,2.0,,2.0,,,,89.0,46.0,7.1,22.0,7.1,7.0,1.0,1.0,,4.0,2.0,,2.0,1.0,1.0,,,,1.0,,2.0,,2.0,,,,,,,,1.0,1.0,,home,main,,
17,17,F,False,Hannah Wilkinson,H. Wilkinson,F,102,121374,NZ,New Zealand,707011200,18.0,13.0,1.0,1.0,1.0,,,,86.0,38.0,7.3,17.0,7.3,7.1,1.0,,1.0,7.0,2.0,,3.0,2.0,,1.0,,,1.0,,1.0,,2.0,,1.0,,,,2.0,1.0,,,1.0,home,main,,
