shirtNumber,jerseyNumber,position,substitute,player.name,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.saves,statistics.punches,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.aerialLost,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.aerialWon,statistics.challengeLost,statistics.shotOffTarget,statistics.errorLeadToAShot,statistics.wasFouled,statistics.accurateCross,statistics.totalContest,statistics.keyPass,statistics.bigChanceMissed,statistics.blockedScoringAttempt,statistics.wonContest,statistics.outfielderBlock,captain,statistics.goalAssist,statistics.totalOffside,statistics.onTargetScoringAttempt,statistics.goals,team,player_type,statistics.savedShotsFromInsideTheBox
1,1,G,False,Lene Christensen,L. Christensen,G,25,1184595,DK,Denmark,949622400.0,27.0,22.0,6.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,90.0,41.0,7.3,5.0,7.3,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,
4,4,D,False,Rikke Sevecke,R. Sevecke,D,83,793179,DK,Denmark,834796800.0,45.0,36.0,8.0,3.0,2.0,,,,,,90.0,71.0,6.9,19.0,6.9,6.9,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,home,main,
3,3,D,False,Stine Pedersen,S. Pedersen,D,28,961942,DK,Denmark,757555200.0,93.0,73.0,17.0,6.0,3.0,,,,,,90.0,107.0,6.9,22.0,6.9,7.0,,1.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,home,main,
5,5,D,False,Simone Boye Sørensen,S. B. Sørensen,D,65,114838,DK,Denmark,699580800.0,88.0,75.0,5.0,2.0,5.0,,,,,,90.0,103.0,7.0,15.0,7.0,7.0,,3.0,6.0,10.0,1.0,,3.0,1.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,home,main,
11,11,D,False,Katrine Veje,K. Veje,D,55,80597,DK,Denmark,677289600.0,69.0,49.0,5.0,1.0,1.0,,,,,,90.0,108.0,7.1,36.0,7.1,7.4,10.0,,2.0,7.0,,,4.0,,2.0,,,,1.0,2.0,2.0,2.0,,,,,,,,,,home,main,
2,2,M,False,Josefine Hasbo,J. Hasbo,M,28,998118,DK,Denmark,1006214400.0,28.0,19.0,1.0,,2.0,,,,,,90.0,50.0,6.8,13.0,6.8,6.7,,1.0,6.0,5.0,,2.0,5.0,2.0,,1.0,1.0,,,,2.0,,1.0,1.0,,,,,,,,home,main,
6,6,M,False,Karen Holmgaard,K. Holmgaard,M,47,937372,DK,Denmark,917481600.0,43.0,32.0,1.0,,2.0,,,,,,90.0,75.0,7.1,20.0,7.1,7.3,,2.0,5.0,14.0,2.0,1.0,5.0,,5.0,1.0,,,2.0,,2.0,,,1.0,2.0,,,,,,,home,main,
12,12,M,False,Kathrine Møller Kühl,K. M. Kühl,M,155,1113614,DK,Denmark,1057363200.0,31.0,20.0,1.0,1.0,2.0,,,,,,62.0,52.0,7.1,16.0,7.1,7.1,,1.0,3.0,7.0,,,2.0,,,1.0,1.0,,1.0,,5.0,,,,4.0,,,,,,,home,main,
19,19,F,False,Janni Thomsen,J. Thomsen,M,38,973956,DK,Denmark,950659200.0,18.0,13.0,1.0,1.0,2.0,,,,,,85.0,32.0,6.9,13.0,6.9,6.8,,1.0,4.0,5.0,,,,,4.0,,,,1.0,,3.0,2.0,,,,1.0,,,,,,home,main,
10,10,F,False,Pernille Harder,P. Harder,F,1025,91248,DK,Denmark,721785600.0,17.0,9.0,,,,,,,,,90.0,40.0,6.8,19.0,6.8,6.8,3.0,3.0,9.0,7.0,1.0,,2.0,2.0,2.0,,1.0,,2.0,1.0,4.0,1.0,,1.0,1.0,,True,1.0,2.0,,,home,main,
