winnerCode,coverage,crowdsourcingDataDisplayEnabled,startTimestamp,tournament.name,tournament.category.name,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.flag,roundInfo.round,status.description,status.type,homeTeam.name,homeTeam.shortName,homeTeam.gender,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.country.alpha2,awayTeam.country.name,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changeTimestamp,homeScore.penalties,awayScore.penalties,homeScore.period2,awayScore.period2,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,homeRedCards,time.injuryTime3,time.injuryTime4
1,-1.0,False,1573126500,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1.0,Ended,finished,China,China,F,1,3093,CHN,True,7413,CN,China,[],#fff100,New Zealand,new-zealand,New Zealand,F,2848,NZL,True,NZ,New Zealand,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1573133450.0,1573133457,,,,,,,,,,,,,,,,
1,-1.0,False,1573385700,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,,AP,finished,China,China,F,1,3093,CHN,True,7413,CN,China,[],#fff100,Brazil,brazil,Brazil,F,44414,BRA,True,BR,Brazil,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,1573385700.0,1573543965,4.0,2.0,,,,,,,,,,,,,,
3,-1.0,False,1575962100,"East Asian Championship, Women",Asia,asia,"East Asian Championship, Women",Asia,Football,asia,1.0,Ended,finished,South Korea,South Korea,F,1,3568,KOR,True,21922,KR,South Korea,[],#0000ff,China,china,China,F,3093,CHN,True,CN,China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1575968841.0,1575968849,,,,,,,,,,,,,,,,
2,-1.0,False,1576306500,"East Asian Championship, Women",Asia,asia,"East Asian Championship, Women",Asia,Football,asia,2.0,Ended,finished,China,China,F,1,3093,CHN,True,7413,CN,China,[],#fff100,Japan,japan,Japan,F,5511,JPN,True,JP,Japan,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,1.0,3.0,1576313194.0,1576318891,,,,,,,,,,,,,,,,
2,-1.0,False,1576566900,"East Asian Championship, Women",Asia,asia,"East Asian Championship, Women",Asia,Football,asia,3.0,Ended,finished,Chinese Taipei,Chinese Taipei,F,1,331,TPE,True,39990,TW,Chinese Taipei,[],#ffffff,China,china,China,F,3093,CHN,True,CN,China,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1576573532.0,1576573532,,,,,,,,,,,,,,,,
1,-1.0,False,1581053400,"AFC Olympic Qualification, Women, Group B",Asia,asia,"AFC Olympic Qualification, Women",Asia,Football,asia,,Ended,finished,China,China,F,1,3093,CHN,True,7413,CN,China,[],#fff100,Thailand,thailand,Thailand,F,1706,THA,True,TH,Thailand,6.0,6.0,4.0,6.0,1.0,1.0,0.0,1.0,,,0.0,1581066551,,,2.0,1.0,,,,,,,,,,,,
2,-1.0,False,1581312600,"AFC Olympic Qualification, Women, Group B",Asia,asia,"AFC Olympic Qualification, Women",Asia,Football,asia,,Ended,finished,Chinese Taipei,Chinese Taipei,F,1,331,TPE,True,39990,TW,Chinese Taipei,[],#ffffff,China,china,China,F,3093,CHN,True,CN,China,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,,,1581316200.0,1581321862,,,0.0,0.0,,,,,,,,,,,,
3,-1.0,False,1581582600,"AFC Olympic Qualification, Women, Group B",Asia,asia,"AFC Olympic Qualification, Women",Asia,Football,asia,4.0,Ended,finished,Australia,Australia,F,1,5899,AUS,True,7410,AU,Australia,[],#2d324b,China,china,China,F,3093,CHN,True,CN,China,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,,1581586320.0,1581589283,,,1.0,1.0,,,,,,,,,,,,
2,-1.0,False,1617865200,"AFC Olympic Qualification, Women, Playoffs",Asia,asia,"AFC Olympic Qualification, Women",Asia,Football,asia,1.0,Ended,finished,South Korea,South Korea,F,1,3568,KOR,True,21922,KR,South Korea,[],#0000ff,China,china,China,F,3093,CHN,True,CN,China,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,1617868980.0,1617872035,,,0.0,1.0,Final,final,1.0,,,,,,,,,
3,-1.0,False,1618300800,"AFC Olympic Qualification, Women, Playoffs",Asia,asia,"AFC Olympic Qualification, Women",Asia,Football,asia,1.0,AET,finished,China,China,F,1,3093,CHN,True,7413,CN,China,[],#fff100,South Korea,south-korea,South Korea,F,3568,KOR,True,KR,South Korea,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,,,1618309200.0,1618310525,,,1.0,0.0,Final,final,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,
