winnerCode,coverage,crowdsourcingDataDisplayEnabled,startTimestamp,tournament.name,tournament.category.name,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.flag,roundInfo.round,status.description,status.type,homeTeam.name,homeTeam.shortName,homeTeam.gender,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.country.alpha2,awayTeam.country.name,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changeTimestamp,time.injuryTime1,time.injuryTime2,isAwarded,awayRedCards
1,-1.0,False,1623340800,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Australia,australia,Australia,F,5899,AUS,True,AU,Australia,3.0,3.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,2.0,1623347587.0,1623414261,,,,
1,-1.0,False,1623778200,"International Friendly Games, Women",World,international,"Int. Friendly Games, Women",World,Football,international,1,Ended,finished,Spain,Spain,F,1,15956,ESP,True,37371,ES,Spain,[],#ffffff,Denmark,denmark,Denmark,F,7114,DEN,True,DK,Denmark,3.0,3.0,1.0,,3.0,0.0,0.0,0.0,,0.0,1623784963.0,1623785233,2.0,3.0,,
1,-1.0,False,1631808000,"World Championship Qualification, Women, UEFA Group E",Europe,europe,World Championship Women Qual.,Europe,Football,europe,1,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Malta,malta,Malta,F,488,MLT,True,MT,Malta,7.0,7.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1631811840.0,1631814916,,,,
2,-1.0,False,1632240000,"World Championship Qualification, Women, UEFA Group E",Europe,europe,World Championship Women Qual.,Europe,Football,europe,1,Ended,finished,Azerbaijan,Azerbaijan,F,1,422,AZE,True,38080,AZ,Azerbaijan,[],#ffffff,Denmark,denmark,Denmark,F,7114,DEN,True,DK,Denmark,0.0,0.0,0.0,,0.0,8.0,8.0,4.0,,8.0,1632246572.0,1632246762,1.0,2.0,,
1,-1.0,False,1634832000,"World Championship Qualification, Women, UEFA Group E",Europe,europe,World Championship Women Qual.,Europe,Football,europe,1,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Bosnia & Herzegovina,bosnia-and-herzegovina,Bosnia & Herzegovina,F,915,BOH,True,BA,Bosnia & Herzegovina,8.0,8.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1634835889.0,1634838924,,,,
2,-1.0,False,1635264000,"World Championship Qualification, Women, UEFA Group E",Europe,europe,World Championship Women Qual.,Europe,Football,europe,1,Ended,finished,Montenegro,Montenegro,F,1,1281,MNE,True,70488,ME,Montenegro,[],#ffffff,Denmark,denmark,Denmark,F,7114,DEN,True,DK,Denmark,1.0,1.0,0.0,1.0,1.0,5.0,5.0,3.0,2.0,5.0,1635267824.0,1635270766,,,,
2,-1.0,False,1637841600,"World Championship Qualification, Women, UEFA Group E",Europe,europe,World Championship Women Qual.,Europe,Football,europe,1,Ended,finished,Bosnia & Herzegovina,Bosnia & Herzegovina,F,1,915,BOH,True,38082,BA,Bosnia & Herzegovina,[],#ffffff,Denmark,denmark,Denmark,F,7114,DEN,True,DK,Denmark,0.0,0.0,0.0,,0.0,3.0,3.0,2.0,,3.0,1637848294.0,1637848433,3.0,2.0,,
1,-1.0,False,1638291600,"World Championship Qualification, Women, UEFA Group E",Europe,europe,World Championship Women Qual.,Europe,Football,europe,1,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Russia,russia,Russia,F,1261,RUS,True,RU,Russia,3.0,3.0,0.0,,3.0,1.0,1.0,0.0,,1.0,1638298296.0,1638298434,,4.0,,
2,-1.0,False,1645012800,"Algarve Cup, Women",World,international,Algarve Cup Women,World,Football,international,1,Ended,finished,Denmark,Denmark,F,1,7114,DEN,True,7414,DK,Denmark,[],#ffffff,Italy,italy,Italy,F,17294,ITA,True,IT,Italy,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,1.0,1645019569.0,1645019570,1.0,4.0,,
1,-1.0,False,1645203600,"Algarve Cup, Women",World,international,Algarve Cup Women,World,Football,international,1,Ended,finished,Sweden,Sweden,F,1,10626,SWE,True,7423,SE,Sweden,[],#0000ff,Denmark,denmark,Denmark,F,7114,DEN,True,DK,Denmark,3.0,3.0,,,3.0,0.0,0.0,,,0.0,1645173772.0,1645434778,,,True,
