winnerCode,startTimestamp,tournament.name,tournament.category.name,tournament.uniqueTournament.name,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.flag,roundInfo.round,homeTeam.name,homeTeam.shortName,homeTeam.gender,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.country.alpha2,homeTeam.country.name,awayTeam.name,awayTeam.shortName,awayTeam.gender,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.country.alpha2,awayTeam.country.name,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changeTimestamp,time.injuryTime1
1,1626867000,"Olympic Games Women, Group G",World,Olympic Games Women,World,international,1.0,Australia,Australia,F,5938,AUS,True,AU,Australia,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,2,2,2.0,0.0,2,1,1,0.0,1.0,1,3.0,1626870654.0,1679384138,
2,1627126200,"Olympic Games Women, Group G",World,Olympic Games Women,World,international,2.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,USA,USA,F,15327,USA,True,US,USA,1,1,0.0,1.0,1,6,6,2.0,4.0,6,3.0,1627129935.0,1679384166,1.0
2,1627372800,"Olympic Games Women, Group G",World,Olympic Games Women,World,international,3.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,Sweden,Sweden,F,10659,SWE,True,SE,Sweden,0,0,0.0,0.0,0,2,2,2.0,0.0,2,3.0,1627376550.0,1679384168,1.0
1,1635016500,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Canada,Canada,F,6637,CAN,True,CA,Canada,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,5,5,2.0,3.0,5,1,1,0.0,1.0,1,,1635020400.0,1635023128,
1,1635291000,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Canada,Canada,F,6637,CAN,True,CA,Canada,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,1,1,1.0,,1,0,0,0.0,,0,,1635298963.0,1635298973,
1,1637989200,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,South Korea,South Korea,F,3594,KOR,True,KR,South Korea,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,2,2,0.0,,2,1,1,1.0,,1,3.0,1637995847.0,1637996443,1.0
2,1638266400,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,,South Korea,South Korea,F,3594,KOR,True,KR,South Korea,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,0,0,0.0,,0,2,2,0.0,,2,3.0,1638273087.0,1638273089,1.0
1,1645146000,"SheBelieves Cup, Women",World,SheBelieves Cup,World,international,1.0,Iceland,Iceland,F,2367,ISL,True,IS,Iceland,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,1,1,1.0,,1,0,0,0.0,,0,4.0,1645152661.0,1645174991,1.0
1,1645387200,"SheBelieves Cup, Women",World,SheBelieves Cup,World,international,1.0,USA,USA,F,15327,USA,True,US,USA,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,5,5,3.0,2.0,5,0,0,0.0,0.0,0,,1645392240.0,1645395354,
3,1645657200,"SheBelieves Cup, Women",World,SheBelieves Cup,World,international,1.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,Czech Republic,Czech Republic,F,1922,CZE,True,CZ,Czech Republic,0,0,0.0,,0,0,0,0.0,,0,3.0,1645663907.0,1645664078,
1,1649411100,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Australia,Australia,F,5938,AUS,True,AU,Australia,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,2,2,0.0,2.0,2,1,1,1.0,0.0,1,,1649415060.0,1649419432,
1,1649756700,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Australia,Australia,F,5938,AUS,True,AU,Australia,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,3,3,3.0,0.0,3,1,1,1.0,0.0,1,,1649763600.0,1649763620,
1,1656169200,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Norway,Norway,F,6633,NOR,True,NO,Norway,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,2,2,1.0,1.0,2,0,0,0.0,0.0,0,,1656176231.0,1656176266,
3,1656435600,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,Wales,Wales,F,1365,WAL,True,WA,Wales,0,0,0.0,,0,0,0,0.0,,0,4.0,1656442541.0,1656442551,1.0
2,1662159600,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Mexico,Mexico,F,3610,MEX,True,MX,Mexico,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,0,0,0.0,0.0,0,1,1,0.0,1.0,1,,,1662201885,
1,1662508800,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,Philippines,Philippines,F,2492,PHI,True,PH,Philippines,2,2,0.0,2.0,2,1,1,1.0,0.0,1,,,1662532753,
1,1665294900,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Japan,Japan,F,5967,JPN,True,JP,Japan,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,2,2,1.0,1.0,2,0,0,0.0,0.0,0,,1665298500.0,1665301494,
2,1668216600,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,South Korea,South Korea,F,3594,KOR,True,KR,South Korea,0,0,0.0,0.0,0,1,1,1.0,0.0,1,,1668223527.0,1668223530,
3,1668488400,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,South Korea,South Korea,F,3594,KOR,True,KR,South Korea,1,1,1.0,0.0,1,1,1,0.0,1.0,1,,1668492240.0,1668497092,
2,1674011100,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,USA,USA,F,15327,USA,True,US,USA,0,0,0.0,0.0,0,4,4,0.0,4.0,4,,,1674028830,
2,1674270300,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,USA,USA,F,15327,USA,True,US,USA,0,0,0.0,0.0,0,5,5,2.0,3.0,5,,,1674287036,
2,1676613600,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,Portugal,Portugal,F,15365,POR,True,PT,Portugal,0,0,0.0,0.0,0,5,5,2.0,3.0,5,,1676617500.0,1676620546,
2,1676872800,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,Argentina,Argentina,F,8813,ARG,True,AR,Argentina,0,0,0.0,0.0,0,2,2,0.0,2.0,2,,1676876580.0,1676879759,
