winnerCode,startTimestamp,tournament.name,tournament.category.name,tournament.uniqueTournament.name,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.flag,roundInfo.round,homeTeam.name,homeTeam.shortName,homeTeam.gender,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.country.alpha2,homeTeam.country.name,awayTeam.name,awayTeam.shortName,awayTeam.gender,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.country.alpha2,awayTeam.country.name,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changeTimestamp,homeScore.period2,awayScore.period2,time.injuryTime1,roundInfo.name,roundInfo.slug,awayRedCards
1,1623772800,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Netherlands,Netherlands,F,15663,NED,True,NL,Netherlands,Norway,Norway,F,6633,NOR,True,NO,Norway,7,7,2,7.0,0,0,0,0.0,2.0,1623779240,1623779251,,,,,,
1,1631808000,"World Championship Qualification, Women, UEFA Group F",Europe,World Championship Women Qual.,Europe,europe,1.0,Norway,Norway,F,6633,NOR,True,NO,Norway,Armenia,Armenia,F,564,ARM,True,AM,Armenia,10,10,3,10.0,0,0,0,0.0,,1631811693,1631814693,7.0,0.0,,,,
2,1632243600,"World Championship Qualification, Women, UEFA Group F",Europe,World Championship Women Qual.,Europe,europe,1.0,Kosovo,Kosovo,F,629,KOS,True,XK,Kosovo,Norway,Norway,F,6633,NOR,True,NO,Norway,0,0,0,0.0,3,3,2,3.0,,1632250432,1632250604,0.0,1.0,,,,
3,1634836500,"World Championship Qualification, Women, UEFA Group F",Europe,World Championship Women Qual.,Europe,europe,1.0,Poland,Poland,F,3243,POL,True,PL,Poland,Norway,Norway,F,6633,NOR,True,NO,Norway,0,0,0,0.0,0,0,0,0.0,,1634840399,1634843382,0.0,0.0,,,,
1,1635267600,"World Championship Qualification, Women, UEFA Group F",Europe,World Championship Women Qual.,Europe,europe,1.0,Norway,Norway,F,6633,NOR,True,NO,Norway,Belgium,Belgium,F,4806,BEL,True,BE,Belgium,4,4,2,4.0,0,0,0,0.0,,1635271284,1635274270,2.0,0.0,,,,
2,1637867400,"World Championship Qualification, Women, UEFA Group F",Europe,World Championship Women Qual.,Europe,europe,1.0,Albania,Albania,F,471,ALB,True,AL,Albania,Norway,Norway,F,6633,NOR,True,NO,Norway,0,0,0,0.0,7,7,1,7.0,,1637873981,1637874058,0.0,6.0,,,,
2,1638277200,"World Championship Qualification, Women, UEFA Group F",Europe,World Championship Women Qual.,Europe,europe,1.0,Armenia,Armenia,F,564,ARM,True,AM,Armenia,Norway,Norway,F,6633,NOR,True,NO,Norway,0,0,0,0.0,10,10,3,10.0,,1638343589,1638344027,,,2.0,,,
2,1645036200,"Algarve Cup, Women",World,Algarve Cup Women,World,international,,Norway,Norway,F,6633,NOR,True,NO,Norway,Portugal,Portugal,F,15365,POR,True,PT,Portugal,0,0,0,0.0,2,2,1,2.0,3.0,1645043059,1645043064,,,1.0,,,
1,1645358400,"Algarve Cup, Women",World,Algarve Cup Women,World,international,1.0,Italy,Italy,F,17409,ITA,True,IT,Italy,Norway,Norway,F,6633,NOR,True,NO,Norway,2,2,2,2.0,1,1,1,1.0,4.0,1645365132,1645365140,,,2.0,,,
2,1645614000,"Algarve Cup, Women, Final round",World,Algarve Cup Women,World,international,50.0,Portugal,Portugal,F,15365,POR,True,PT,Portugal,Norway,Norway,F,6633,NOR,True,NO,Norway,0,0,0,0.0,2,2,1,2.0,4.0,1645620750,1645620753,,,2.0,Match for 3rd place,match-for-3rd-place,
1,1649347200,"World Championship Qualification, Women, UEFA Group F",Europe,World Championship Women Qual.,Europe,europe,1.0,Norway,Norway,F,6633,NOR,True,NO,Norway,Kosovo,Kosovo,F,629,KOS,True,XK,Kosovo,5,5,3,5.0,1,1,0,1.0,,1649350866,1649353952,2.0,1.0,,,,
1,1649782800,"World Championship Qualification, Women, UEFA Group F",Europe,World Championship Women Qual.,Europe,europe,1.0,Norway,Norway,F,6633,NOR,True,NO,Norway,Poland,Poland,F,3243,POL,True,PL,Poland,2,2,2,2.0,1,1,0,1.0,5.0,1649789537,1649789678,,,1.0,,,
1,1656169200,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Norway,Norway,F,6633,NOR,True,NO,Norway,New Zealand,New Zealand,F,3171,NZL,True,NZ,New Zealand,2,2,1,2.0,0,0,0,0.0,,1656176231,1656176266,1.0,0.0,,,,
2,1656518400,"International Friendly Games, Women",World,"Int. Friendly Games, Women",World,international,1.0,Denmark,Denmark,F,7149,DEN,True,DK,Denmark,Norway,Norway,F,6633,NOR,True,NO,Norway,1,1,1,1.0,2,2,1,2.0,4.0,1656525263,1656525267,,,1.0,,,
