name,home,away,compareCode,groupName
Ball possession,54%,46%,1,Possession
Total shots,9,11,2,Shots
Shots on target,3,2,1,Shots
Shots off target,4,6,2,Shots
Blocked shots,2,3,2,Shots
Corner kicks,4,6,2,TVData
Offsides,1,0,1,TVData
Fouls,4,22,2,TVData
Yellow cards,0,1,2,TVData
Free kicks,22,4,1,TVData
Throw-ins,24,22,1,TVData
Goal kicks,12,5,1,TVData
Big chances,1,1,3,Shots extra
Big chances missed,1,1,3,Shots extra
Hit woodwork,1,0,1,Shots extra
Shots inside box,4,6,2,Shots extra
Shots outside box,5,5,3,Shots extra
Goalkeeper saves,2,3,2,Shots extra
Passes,491,407,1,Passes
Accurate passes,385 (78%),291 (71%),1,Passes
Long balls,37/69 (54%),26/70 (37%),1,Passes
Crosses,2/14 (14%),2/20 (10%),1,Passes
Dribbles,4/20 (20%),2/5 (40%),2,Duels
Possession lost,164,158,1,Duels
Duels won,56,40,1,Duels
Aerials won,21,8,1,Duels
Tackles,9,26,2,Defending
Interceptions,7,5,1,Defending
Clearances,25,10,1,Defending
Ball possession,59%,41%,1,Possession
Total shots,6,3,1,Shots
Shots on target,1,0,1,Shots
Shots off target,4,2,1,Shots
Blocked shots,1,1,3,Shots
Corner kicks,3,1,1,TVData
Offsides,0,0,3,TVData
Yellow cards,0,0,3,TVData
Free kicks,8,0,1,TVData
Throw-ins,13,11,1,TVData
Goal kicks,8,4,1,TVData
Big chances,0,0,3,Shots extra
Big chances missed,0,0,3,Shots extra
Hit woodwork,1,0,1,Shots extra
Shots inside box,2,2,3,Shots extra
Shots outside box,4,1,1,Shots extra
Goalkeeper saves,0,1,2,Shots extra
Passes,295,207,1,Passes
Accurate passes,241 (82%),152 (73%),1,Passes
Long balls,21/39 (54%),12/33 (36%),1,Passes
Crosses,2/10 (20%),1/5 (20%),1,Passes
Dribbles,3/9 (33%),1/3 (33%),1,Duels
Possession lost,82,71,1,Duels
Duels won,21,16,1,Duels
Aerials won,8,3,1,Duels
Tackles,2,12,2,Defending
Interceptions,4,4,3,Defending
Clearances,2,6,2,Defending
Ball possession,48%,52%,2,Possession
Total shots,3,8,2,Shots
Shots on target,2,2,3,Shots
Shots off target,0,4,2,Shots
Blocked shots,1,2,2,Shots
Corner kicks,1,5,2,TVData
Offsides,1,0,1,TVData
Yellow cards,0,1,2,TVData
Free kicks,14,4,1,TVData
Throw-ins,11,11,3,TVData
Goal kicks,4,1,1,TVData
Big chances,1,1,3,Shots extra
Big chances missed,1,1,3,Shots extra
Hit woodwork,0,0,3,Shots extra
Shots inside box,2,4,2,Shots extra
Shots outside box,1,4,2,Shots extra
Goalkeeper saves,2,2,3,Shots extra
Passes,196,200,2,Passes
Accurate passes,144 (73%),139 (70%),1,Passes
Long balls,16/30 (53%),14/37 (38%),1,Passes
Crosses,0/4 (0%),1/15 (7%),2,Passes
Dribbles,1/11 (9%),1/2 (50%),2,Duels
Possession lost,82,87,2,Duels
Duels won,35,24,1,Duels
Aerials won,13,5,1,Duels
Tackles,7,14,2,Defending
Interceptions,3,1,1,Defending
Clearances,23,4,1,Defending
