averageX,averageY,pointsCount,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_userCount,player_id,team
58.151327433628,85.16017699115,113,Marlon,,,marlon,Marlon,D,409,870787,home
10.270588235294,47.235294117647,17,Rafael Cabral,,,rafael-cabral,Rafael Cabral,G,348,124980,home
65.06875,39.384375,32,Gilberto,,,gilberto,Gilberto,F,890,158561,home
42.399166666667,66.68,120,Luciano Castan,,,luciano-castan,Luciano Castan,D,131,845110,home
44.532,40.224,100,Filipe Machado,,,filipe-machado,Filipe Machado,M,224,844601,home
50.021428571429,54.896428571429,28,Neto Moura,,,neto-moura,N. Moura,M,252,559034,home
52.970588235294,14.747058823529,17,Paulo Vitor,,,paulo-vitor,P. Vitor,M,97,881153,home
57.785365853659,36.419512195122,41,Wallisson Luiz,,,wallisson-luiz,Wallisson Luiz,M,165,922601,home
88.666666666667,54.033333333333,3,Henrique Dourado,,,henrique-dourado,Henrique,F,426,329219,home
54.35,14.014406779661,118,William,,,william,William,D,260,604274,home
35.8,91.15,4,Stênio,,,stenio,Stênio,F,258,1046740,home
56.9765625,23.0171875,64,Wesley,,,wesley,Wesley,F,726,985766,home
67.802816901408,70.753521126761,71,Mateus Vital,,,mateus-vital,Mateus Vital,M,720,823653,home
37.090196078431,27.490196078431,51,Lucas Oliveira,,,lucas-oliveira,Lucas Oliveira,D,200,867907,home
71.482894736842,58.044736842105,76,Bruno Rodrigues,,,bruno-rodrigues,Bruno Rodrigues,F,736,817650,home
48.332432432432,45.045945945946,74,Matheus Jussa,,,matheus-jussa,Matheus Jussa,M,114,794849,home
44.938888888889,74.872222222222,18,Higor Meritão,,,higor-meritao,H. Meritão,M,72,973845,away
58.240425531915,58.410638297872,47,João Magno,,,joao-magno,João Magno,F,53,945307,away
49.286666666667,45.06,30,Guilherme,,,guilherme,Guilherme,M,280,109610,away
36.011627906977,17.679069767442,43,Maguinho,,,maguinho,Maguinho,D,116,871209,away
57.588461538462,80.117307692308,52,Vinícius,,,vinicius,Vinícius,M,148,124807,away
56.79696969697,40.672727272727,33,Anderson Oliveira,,,anderson-oliveira,Anderson Oliveira,M,70,931538,away
51.08064516129,21.206451612903,31,Allano,,,allano,Allano,M,63,796925,away
26.882608695652,34.565217391304,46,Lucas Halter,,,lucas-halter,L. Halter,D,171,905450,away
9.7156862745098,50.298039215686,51,Tadeu,,,tadeu,Tadeu,G,330,552172,away
67.209090909091,47.377272727273,22,Diego Gonçalves,,,diego-goncalves,Diego Gonçalves,M,76,344077,away
27.221052631579,66.438596491228,57,Sidimar,,,sidimar,Sidimar,D,34,312072,away
35.783636363636,59.567272727273,55,Willian Oliveira,,,willian-oliveira,Willian Oliveira,M,82,295167,away
42.433333333333,83.9,12,Hugo,,,hugo,Hugo,D,49,1017827,away
41.694827586207,58.060344827586,58,Everton Morelli,,,everton-morelli,E. Morelli,M,43,928137,away
45.66,86.257777777778,90,Sander,,,sander,Sander,D,148,795014,away
