averageX,averageY,pointsCount,player_name,player_slug,player_shortName,player_position,player_userCount,player_id,player_firstName,player_lastName,team
61.768181818182,50.715909090909,44,Gabriel,gabriel,Gabriel,M,141,243459,,,home
48.808333333333,46.675,24,Flávio,flavio,Flávio,M,32,981813,,,home
7.7,48.338709677419,31,Alex Muralha,alex-muralha,A. Santana,G,152,340113,,,home
58.567901234568,69.304938271605,81,Danielzinho,danielzinho,Danielzinho,M,37,356514,,,home
31.087179487179,65.441025641026,78,Luiz Otávio,luiz-otavio,L. Otávio,D,76,874778,,,home
43.75,83.71875,16,Fernandinho,fernandinho,Fernandinho,F,73,871219,,,home
72.8875,23.4625,8,Julimar,julimar,Julimar,F,26,1167536,,,home
64.2,56.411111111111,9,Camilo,camilo,Camilo,M,92,345609,,,home
68.222,67.11,50,Zé Roberto,ze-roberto,Z. Roberto,F,174,842076,,,home
61.092857142857,57.957142857143,14,Cristian Renato,cristian-renato,C. Renato,M,9,1148306,,,home
62.334920634921,33.065079365079,63,Negueba,negueba,Negueba,F,64,872007,,,home
48.517346938775,85.810204081633,98,Guilherme Biro,guilherme-biro,Guilherme Biro,D,59,1047850,Guilherme Biro,,home
32.52,30.852,75,Thalisson Kelven,thalisson-kelven,T. Kelven,D,39,863277,,,home
46.645454545455,51.945454545455,66,Yuri,yuri,Yuri,M,100,842734,,,home
45.684615384615,18.64358974359,78,Lucas Ramon,lucas-ramon,L. Ramon,D,30,797225,,,home
63.005333333333,81.805333333333,75,Chico,chico,Chico,M,163,880132,,,home
62.017857142857,64.532142857143,28,Marcelinho,marcelinho,Marcelinho,F,98,1046439,Marcelinho,,away
56.495,55.775,20,Fernandão,fernandao,Fernandão,F,152,329251,,,away
8.805,49.9125,40,Felipe Garcia,felipe-garcia,F. Garcia,G,23,34060,,,away
64.775,53.809375,32,Alexandre Jesus,alexandre-jesus,Alexandre Jesus,F,62,1016865,,,away
48.12,34.92,5,Keké,keke,Keké,M,28,866785,,,away
69.776470588235,44.988235294118,17,Kleiton,kleiton,Kleiton,D,5,1046696,,,away
60.135714285714,57.807142857143,14,Rafinha,rafinha,Rafinha,F,4,1510236,Rafinha,,away
45.483333333333,20.458333333333,36,Kevin,kevin,Kevin,D,116,810691,,,away
45.278333333333,37.551666666667,60,João Pedro,joao-pedro,J. Pedro,M,40,1104713,,,away
45.288524590164,12.595081967213,61,Pedro,pedro,Pedro,D,13,868018,,,away
36.234246575342,46.857534246575,73,Bruno Silva,bruno-silva,B. Silva,M,89,125235,,,away
46.7625,85.7421875,64,Egídio,egidio,Egídio,D,182,34147,,,away
30.29625,30.2875,80,Augusto,augusto,Augusto,D,40,826355,,,away
59.149382716049,58.438271604938,81,Matheus Frizzo,matheus-frizzo,M. Frizzo,M,97,1005337,,,away
29.9825,68.27375,80,Ze Vitor,ze-vitor,Zé Vitor,D,29,1112474,,,away
