customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,coverage,homeRedCards,homeTeam.disabled,time.injuryTime1
OLosNWq,1,True,True,True,6.0,False,10981564,1.0,1690148700,sarmiento-defensa-y-justicia,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,26,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,[],#ffff00,#339900,#339900,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,False,0,42338,[],#006600,#006600,#006600,3,3,1,2.0,3,0,0,0,0.0,0,3.0,1690155348.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1690155501,,,,
OLosNWq,1,True,True,True,6.0,False,10340831,,1657922400,sarmiento-defensa-y-justicia,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,8,100,Ended,finished,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,0,42338,[],#006600,#006600,#006600,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,[],#ffff00,#339900,#339900,2,2,1,1.0,2,0,0,0,0.0,0,4.0,1657929473.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1657929477,1.0,1.0,False,2.0
OLosNWq,1,True,True,True,1.0,False,10067284,,1650567600,sarmiento-defensa-y-justicia,False,Copa de la Liga,copa-de-la-liga,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa de la Liga Profesional,copa-de-la-liga-profesional,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",21523,13475,True,False,False,False,0,72142,11,100,Ended,finished,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,0,42338,[],#006600,#006600,#006600,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,[],#ffff00,#339900,#339900,2,2,2,0.0,2,1,1,1,0.0,1,8.0,1650571593.0,"['status.code', 'status.description', 'status.type']",1650574875,3.0,,False,
OLosNWq,1,True,True,True,1.0,False,9626272,,1629155700,sarmiento-defensa-y-justicia,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,6,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,[],#ffff00,#339900,#339900,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,False,0,42338,[],#006600,#006600,#006600,4,4,2,,4,2,2,1,,2,5.0,1629162537.0,['time.currentPeriodStart'],1636406349,1.0,,,3.0
OLosNWq,1,True,True,True,1.0,False,9326812,,1616346000,sarmiento-defensa-y-justicia,False,Copa de la Liga,copa-de-la-liga,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa de la Liga Profesional,copa-de-la-liga-profesional,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",21523,13475,True,False,False,False,0,72142,6,100,Ended,finished,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,0,42338,[],#006600,#006600,#006600,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,[],#ffff00,#339900,#339900,3,3,1,,3,1,1,0,,1,4.0,1616352923.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1616352925,3.0,,False,4.0
OLosNWq,1,False,True,True,1.0,False,7166447,,1496440800,sarmiento-defensa-y-justicia,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,27,100,Ended,finished,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,0,42338,[],#006600,#006600,#006600,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,[],#ffff00,#339900,#339900,1,1,0,1.0,1,0,0,0,0.0,0,4.0,1496447479.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1496447481,1.0,,False,
OLosNWq,1,False,,,,False,6573959,,1442621400,sarmiento-defensa-y-justicia,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,25,100,Ended,finished,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,0,42338,[],#006600,#006600,#006600,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,[],#ffff00,#339900,#339900,2,2,1,1.0,2,1,1,0,1.0,1,3.0,1442628064.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1442628071,1.0,,False,1.0
OLosNWq,1,False,,,,False,4032383,,1396308600,sarmiento-defensa-y-justicia,False,Primera Nacional,primera-nacional,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",8675,703,False,False,False,False,0,5071,31,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,False,0,36839,[],#ffff00,#339900,#339900,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,False,0,42338,[],#006600,#006600,#006600,2,2,0,2.0,2,0,0,0,0.0,0,,1396315329.0,,0,-1.0,,,
OLosNWq,2,False,,,,False,4031921,,1380583200,sarmiento-defensa-y-justicia,False,Primera Nacional,primera-nacional,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",8675,703,False,False,False,False,0,5071,10,100,Ended,finished,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,0,42338,[],#006600,#006600,#006600,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,[],#ffff00,#339900,#339900,2,2,1,1.0,2,4,4,1,3.0,4,,1380589967.0,,0,,,False,
OLosNWq,3,False,,,,False,2877775,,1369756800,sarmiento-defensa-y-justicia,False,Primera Nacional,primera-nacional,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",8675,703,False,False,False,False,0,5071,35,100,Ended,finished,Sarmiento,sarmiento,Sarmiento,M,Football,football,1,6513,CAS,False,0,42338,[],#006600,#006600,#006600,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,[],#ffff00,#339900,#339900,2,2,2,0.0,2,2,2,1,1.0,2,,,,0,,,False,
