customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,tournament.category.alpha2,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.alpha2,homeRedCards,aggregatedWinnerCode,previousLegEventId,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated
Rdbsoeb,1,False,True,True,1.0,False,11137257,1.0,1681326000,napoli-milan,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,557,23,27.0,Quarterfinal,4.0,100,Ended,finished,Milan,milan,Milan,Football,football,1,0,ACM,False,0,2692,IT,Italy,[],#52b030,#52b030,#ffffff,Napoli,napoli,Napoli,Football,football,1,0,NAP,False,0,2714,IT,Italy,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1681330045.0,"['status.code', 'status.description', 'status.type']",1681333075,,,,,,,,,,,,,
NsEgb,1,False,True,True,1.0,False,11137259,1.0,1681326000,chelsea-real-madrid,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,557,23,27.0,Quarterfinal,4.0,100,Ended,finished,Real Madrid,real-madrid,Real Madrid,Football,football,1,0,RMA,False,0,2829,ES,Spain,[],#52b030,#52b030,#ffffff,Chelsea,chelsea,Chelsea,Football,football,1,0,CHE,False,0,38,EN,England,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,5.0,1681329862.0,"['status.code', 'status.description', 'status.type']",1681332876,,,,,,,,,,,,,
cebsjjb,1,False,True,True,1.0,False,11137397,,1681404300,feyenoord-roma,False,"UEFA Europa League, Knockout stage",uefa-europa-league-knockout-stage,Europe,europe,Football,football,1,1465,europe,UEFA Europa League,uefa-europa-league,Europe,europe,Football,football,1,1465,europe,0,False,False,679,True,False,530,10909,27.0,Quarterfinal,4.0,100,Ended,finished,Feyenoord,feyenoord,Feyenoord,Football,football,1,0,FEY,False,0,2959,NL,Netherlands,[],#52b030,#52b030,#ffffff,Roma,roma,Roma,Football,football,1,0,ROM,False,0,2702,IT,Italy,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1681411153.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681411156,,,,,,,,,,,,,
GdbskXb,3,False,True,True,1.0,False,11137396,,1681412400,royale-union-saint-gilloise-bayer-04-leverkusen,False,"UEFA Europa League, Knockout stage",uefa-europa-league-knockout-stage,Europe,europe,Football,football,1,1465,europe,UEFA Europa League,uefa-europa-league,Europe,europe,Football,football,1,1465,europe,0,False,False,679,True,False,530,10909,27.0,Quarterfinal,4.0,100,Ended,finished,Bayer 04 Leverkusen,bayer-04-leverkusen,Leverkusen,Football,football,1,0,LEV,False,0,2681,DE,Germany,[],#52b030,#52b030,#ffffff,Royale Union Saint-Gilloise,royale-union-saint-gilloise,USG,Football,football,1,0,USG,False,0,4860,BE,Belgium,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,1681419142.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681419145,,,,,,,,,,,,,
Mdbsbkb,1,False,True,True,1.0,False,11137395,,1681412400,sporting-juventus,False,"UEFA Europa League, Knockout stage",uefa-europa-league-knockout-stage,Europe,europe,Football,football,1,1465,europe,UEFA Europa League,uefa-europa-league,Europe,europe,Football,football,1,1465,europe,0,False,False,679,True,False,530,10909,27.0,Quarterfinal,4.0,100,Ended,finished,Juventus,juventus,Juventus,Football,football,1,0,JUV,False,0,2687,IT,Italy,[],#52b030,#52b030,#ffffff,Sporting,sporting,Sporting,Football,football,1,0,SPO,False,0,3001,PT,Portugal,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1681416433.0,"['status.code', 'status.description', 'status.type']",1681419345,,,,,,,,,,,,,
KsIgb,3,False,True,True,1.0,False,11137355,,1681412400,manchester-united-sevilla,False,"UEFA Europa League, Knockout stage",uefa-europa-league-knockout-stage,Europe,europe,Football,football,1,1465,europe,UEFA Europa League,uefa-europa-league,Europe,europe,Football,football,1,1465,europe,0,False,False,679,True,False,530,10909,27.0,Quarterfinal,4.0,100,Ended,finished,Manchester United,manchester-united,Man Utd,Football,football,1,0,MUN,False,0,35,EN,England,[],#52b030,#52b030,#ffffff,Sevilla,sevilla,Sevilla,Football,football,1,0,SEV,False,0,2833,ES,Spain,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,1681416328.0,"['status.code', 'status.description', 'status.type']",1681419450,,,,,,,,,,,,,
Msdib,3,False,True,True,1.0,False,11137439,,1681404300,west-ham-united-gent,False,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,527,93705,27.0,Quarterfinal,4.0,100,Ended,finished,Gent,gent,Gent,Football,football,1,0,KAA,False,0,2903,BE,Belgium,[],#52b030,#52b030,#ffffff,West Ham United,west-ham-united,West Ham,Football,football,1,0,WHU,False,0,37,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,6.0,1681408414.0,['time.injuryTime2'],1681411812,,,,,,,,,,,,,
aibsajb,1,False,True,True,1.0,False,11137436,,1681412400,az-alkmaar-anderlecht,False,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,527,93705,27.0,Quarterfinal,4.0,100,Ended,finished,Anderlecht,anderlecht,Anderlecht,Football,football,1,0,RSC,False,0,2900,BE,Belgium,[],#52b030,#52b030,#ffffff,AZ Alkmaar,az-alkmaar,AZ,Football,football,1,0,AZA,False,0,2950,NL,Netherlands,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,3.0,1681419133.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681419136,,,,,,,,,,,,,
lIsbab,3,False,True,True,1.0,False,11137437,,1681412400,basel-nice,False,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,527,93705,27.0,Quarterfinal,4.0,100,Ended,finished,Basel,basel,Basel,Football,football,1,0,FCB,False,0,2501,CH,Switzerland,[],#52b030,#52b030,#ffffff,Nice,nice,Nice,Football,football,1,0,NIC,False,0,1661,FR,France,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,1681419101.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681419103,,,,,,,,,,,,,
Tdbswmb,2,False,True,True,1.0,False,11137438,,1681412400,lech-poznan-fiorentina,False,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,527,93705,27.0,Quarterfinal,4.0,100,Ended,finished,Lech Poznań,lech-poznan,Lech,Football,football,1,0,LPO,False,0,3121,PL,Poland,[],#52b030,#52b030,#ffffff,Fiorentina,fiorentina,Fiorentina,Football,football,1,0,FIO,False,0,2693,IT,Italy,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,1681419079.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681419082,,,,,,,,,,,,,
