shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,captain,player.firstName,player.lastName,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.shotOffTarget,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.challengeLost,statistics.penaltyConceded,statistics.fouls,statistics.totalCross,statistics.totalContest,statistics.wonContest,statistics.outfielderBlock,statistics.accurateCross,statistics.totalOffside,statistics.keyPass,team,player_type,statistics.bigChanceMissed,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.penaltyWon,statistics.bigChanceCreated,statistics.goals
1,1,G,False,Olivia Davies McDaniel,davies-mcdaniel-olivia,O. D. McDaniel,G,26,1174045,PH,Philippines,EUR,876787200.0,31.0,16.0,25.0,10.0,1.0,2.0,6.0,6.0,1.0,90.0,43.0,7.9,15.0,7.9,7.3,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,,,
5,5,D,False,Hali Long,long-hali,H. Long,D,10,1174048,PH,Philippines,EUR,790646400.0,33.0,28.0,2.0,,6.0,,,,,90.0,50.0,6.6,7.0,6.6,6.5,True,,,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,home,main,,,,,,
3,3,D,False,Jessika Cowart,jessika-cowart,J. Cowart,D,4,1390655,PH,Philippines,EUR,,29.0,22.0,2.0,,3.0,,,,,90.0,33.0,5.9,7.0,5.9,5.8,,,,1.0,1.0,3.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,home,main,,,,,,
13,13,D,False,Angela Beard,angela-beard,A. Beard,D,15,1010475,PH,Philippines,EUR,871689600.0,40.0,27.0,8.0,2.0,4.0,,,,,90.0,57.0,6.5,18.0,6.5,6.5,,,,3.0,1.0,4.0,4.0,,,2.0,1.0,1.0,1.0,,,3.0,1.0,1.0,,,,,home,main,,,,,,
17,17,M,False,Alicia Barker,alicia-barker,A. Barker,D,6,1470426,PH,Philippines,EUR,895795200.0,14.0,6.0,5.0,1.0,2.0,,,,,90.0,32.0,7.1,9.0,7.1,7.2,,,,,1.0,,5.0,,,3.0,3.0,1.0,,,,,,,2.0,,,,home,main,,,,,,
20,20,M,False,Quinley Quezada,quinley-quezada,Q. Quezada,M,10,1174052,PH,Philippines,EUR,860371200.0,6.0,2.0,1.0,,2.0,,,,,70.0,18.0,6.3,11.0,6.3,6.2,,,,,,3.0,2.0,1.0,,1.0,,,1.0,,,,3.0,2.0,,,,,home,main,,,,,,
4,4,M,False,Jaclyn Sawicki,jaclyn-sawicki,J. Sawicki,M,13,1426943,PH,Philippines,EUR,721699200.0,31.0,26.0,,,3.0,,,,,90.0,44.0,6.7,7.0,6.7,6.6,,,,,,4.0,5.0,,,1.0,3.0,1.0,3.0,,1.0,,1.0,1.0,,,,,home,main,,,,,,
8,8,M,False,Sara Kristine Eggesvik,eggesvik-sara-kristine,S. K. Eggesvik,M,16,912760,PH,Philippines,EUR,862272000.0,17.0,10.0,1.0,,2.0,,,,,70.0,28.0,6.5,10.0,6.5,6.5,,,,,1.0,2.0,4.0,,,,2.0,1.0,,,1.0,,1.0,,,,,,home,main,,,,,,
16,16,M,False,Sofia Harrison,harrison-sofia,S. Harrison,D,5,1174047,PH,Philippines,EUR,919123200.0,23.0,13.0,,,2.0,,,,,90.0,55.0,6.5,22.0,6.5,6.4,,,,,3.0,6.0,7.0,1.0,1.0,2.0,2.0,,4.0,,1.0,1.0,2.0,2.0,,,,,home,main,,,,,,
21,21,F,False,Katrina Guillou,katrina-guillou,K. Guillou,M,16,1126721,PH,Philippines,EUR,755740800.0,13.0,8.0,2.0,2.0,,,,,,90.0,31.0,6.6,13.0,6.6,6.5,,,,3.0,1.0,10.0,6.0,3.0,,,3.0,2.0,1.0,,1.0,1.0,2.0,,,1.0,1.0,1.0,home,main,,,,,,
7,7,F,False,Sarina Bolden,bolden-sarina,S. Bolden,F,37,1174658,PH,Philippines,EUR,836092800.0,17.0,9.0,1.0,,,,,,,81.0,30.0,6.7,15.0,6.7,6.6,,,,2.0,3.0,4.0,6.0,2.0,,,1.0,1.0,,,,,1.0,1.0,,,,,home,main,,,,,,
9,9,F,True,Isabella Flanigan,flanigan-isabella,I. Flanigan,D,11,1174058,,,EUR,,2.0,,,,,,,,,20.0,4.0,6.6,2.0,6.6,6.6,,,,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,home,substitute,,,,,,
