shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.duelLost,statistics.totalClearance,statistics.errorLeadToAShot,statistics.penaltyConceded,statistics.fouls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.challengeLost,statistics.interceptionWon,statistics.aerialLost,statistics.aerialWon,statistics.duelWon,statistics.totalContest,statistics.wonContest,statistics.outfielderBlock,statistics.totalTackle,statistics.clearanceOffLine,statistics.wasFouled,statistics.dispossessed,player.firstName,captain,player.lastName,statistics.totalOffside,statistics.accurateCross,team,player_type,statistics.goodHighClaim,statistics.bigChanceCreated,statistics.keyPass,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.goalAssist,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.goals,statistics.hitWoodwork,statistics.penaltyWon
1,1,G,False,Catherine Musonda,musonda-catherine,C. Musonda,G,31,1130444,ZM,Zambia,EUR,887932800.0,34.0,23.0,15.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,90.0,51.0,6.2,12.0,6.2,5.7,,,,,,,,,,,,,,,,,,,home,main,,,,,,,,,,,
8,8,D,False,Margaret Belemu,belemu-margaret,M. Belemu,D,27,1130428,ZM,Zambia,EUR,856742400.0,52.0,38.0,7.0,2.0,1.0,,,,,,,,90.0,74.0,5.8,20.0,5.8,5.6,1.0,1.0,2.0,,,,,,,,,,,,,,,,home,main,,,,,,,,,,,
15,15,D,False,Agness Musase,musase-agness,A. Musase,M,19,1130443,ZM,Zambia,EUR,876096000.0,42.0,27.0,8.0,1.0,1.0,3.0,1.0,,,,,,90.0,51.0,5.3,19.0,5.3,5.3,,,,1.0,,,,,,,,,,,,,,,home,main,,,,,,,,,,,
3,3,D,False,Lushomo Mweemba,mweemba-lushomo,L. Mweemba,D,23,1130435,ZM,Zambia,EUR,986860800.0,39.0,20.0,15.0,3.0,1.0,3.0,,,,,,,82.0,46.0,6.0,19.0,6.0,6.0,,,,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,home,main,,,,,,,,,,,
13,13,D,False,Martha Tembo,tembo-martha,M. Tembo,D,29,1130787,ZM,Zambia,EUR,889315200.0,47.0,38.0,2.0,1.0,5.0,2.0,,,3.0,,,,90.0,73.0,6.3,17.0,6.3,6.2,,1.0,2.0,1.0,,,1.0,,2.0,,1.0,,,,,,,,home,main,,,,,,,,,,,
4,4,M,False,Susan Banda,banda-susan,S. Banda,M,20,1487432,ZM,Zambia,EUR,647222400.0,42.0,32.0,4.0,1.0,3.0,2.0,,,2.0,,,,90.0,56.0,6.6,11.0,6.6,6.5,1.0,1.0,1.0,,,4.0,1.0,1.0,,3.0,,,,,,,,,home,main,,,,,,,,,,,
17,17,M,False,Racheal Kundananji,kundananji-racheal,R. Kundananji,F,127,1130786,ZM,Zambia,EUR,959990400.0,27.0,15.0,6.0,3.0,6.0,,,,1.0,,,,90.0,56.0,6.5,24.0,6.5,6.4,,2.0,2.0,,,7.0,4.0,1.0,1.0,5.0,,1.0,,,,,,,home,main,,,,,,,,,,,
14,14,M,False,Ireen Lungu,lungu-ireen,I. Lungu,F,31,1130432,ZM,Zambia,EUR,876096000.0,19.0,12.0,2.0,,2.0,,,,,,,,72.0,26.0,6.0,10.0,6.0,6.0,,,1.0,,,2.0,1.0,,,,,2.0,1.0,,,,,,home,main,,,,,,,,,,,
12,12,M,False,Evarine Katongo,katongo-evarine,E. Katongo,M,34,1130439,ZM,Zambia,EUR,1041120000.0,61.0,41.0,2.0,1.0,3.0,2.0,,,2.0,,,,90.0,74.0,6.4,23.0,6.4,6.4,,1.0,,,1.0,5.0,2.0,2.0,,2.0,,,,,,,,,home,main,,,,,,,,,,,
19,19,M,False,Siomala  Mapepa,siomala-mapepa,S. Mapepa,F,13,1511594,ZM,Zambia,EUR,1028764800.0,16.0,11.0,,,5.0,,,,,,,,72.0,25.0,5.9,11.0,5.9,5.8,1.0,2.0,,1.0,,2.0,,,,1.0,,1.0,2.0,Siomala Mapepa,,,,,home,main,,,,,,,,,,,
11,11,F,False,Barbra Banda,barbra-banda,B. Banda,F,1378,1130427,ZM,Zambia,EUR,953510400.0,17.0,7.0,1.0,,10.0,,,,1.0,,,,90.0,39.0,6.1,25.0,6.1,6.0,,,,3.0,3.0,5.0,4.0,2.0,,,,,4.0,,True,,1.0,,home,main,,,,,,,,,,,
7,7,F,True,Ochumba Lubandji,lubandji-ochumba,O. Lubandji,F,21,1130441,ZM,Zambia,EUR,993945600.0,2.0,1.0,,,3.0,,,,,,,,18.0,5.0,6.4,3.0,6.4,6.4,,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,home,substitute,,,,,,,,,,,
21,21,F,True,Avell Chitundu,chitundu-avell,A. Chitundu,F,26,1130430,ZM,Zambia,EUR,870220800.0,4.0,3.0,,,1.0,,,,,,,,17.0,7.0,6.4,3.0,6.4,6.5,1.0,,,,,,,,,,,,1.0,,,,,1.0,home,substitute,,,,,,,,,,,
23,23,D,True,Vast Phiri,phiri-vast,V. Phiri,D,5,1131419,ZM,Zambia,EUR,823305600.0,11.0,10.0,2.0,2.0,,,,,,,,,8.0,11.0,6.4,1.0,6.4,6.4,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,,,,,,
18,18,G,True,Eunice Sakala,sakala-eunice,E. Sakala,G,7,1426936,ZM,Zambia,EUR,1022112000.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,,,,,,
