shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,captain,statistics.goalAssist,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.keyPass,statistics.aerialWon,statistics.onTargetScoringAttempt,statistics.goals,statistics.aerialLost,statistics.wasFouled,statistics.fouls,statistics.totalOffside,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.blockedScoringAttempt,team,player_type,statistics.outfielderBlock
1,1,G,False,Daphne van Domselaar,,,daphne-van-domselaar,D. v. Domselaar,G,23,1382883,NL,Netherlands,EUR,952300800,21.0,9.0,16.0,5.0,1.0,1.0,1.0,90.0,23.0,6.8,12.0,6.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,
8,8,D,False,Sherida Spitse,,,sherida-spitse,S. Spitse,M,110,80741,NL,Netherlands,EUR,643939200,44.0,36.0,8.0,6.0,,,,90.0,59.0,8.0,12.0,8.0,7.8,True,1.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,home,main,
3,3,D,False,Stefanie van der Gragt,,,stefanie-van-der-gragt,S. van der Gragt,D,148,796526,NL,Netherlands,EUR,713923200,39.0,30.0,7.0,4.0,,,,90.0,51.0,8.0,9.0,8.0,7.8,,,,,,5.0,,,,,,9.0,,,,5.0,1.0,1.0,,,,,,,,home,main,
20,20,D,False,Dominique Janssen,,,dominique-janssen,D. Janssen,D,180,1032140,NL,Netherlands,EUR,790300800,46.0,29.0,12.0,4.0,,,,90.0,59.0,7.1,17.0,7.1,7.0,,,,,1.0,5.0,1.0,,,,,9.0,1.0,1.0,,4.0,,,,,,,,,,home,main,
14,14,M,False,Jackie Groenen,,,jackie-groenen,J. Groenen,M,589,836276,NL,Netherlands,EUR,787622400,30.0,26.0,3.0,3.0,,,,90.0,47.0,7.4,6.0,7.4,7.8,,,,,6.0,9.0,1.0,,1.0,,,2.0,2.0,8.0,2.0,,,,1.0,1.0,3.0,,,,,home,main,
17,17,M,False,Victoria Pelova,,,pelova-victoria,V. Pelova,M,253,944676,NL,Netherlands,EUR,928368000,33.0,26.0,3.0,1.0,,,,89.0,74.0,7.2,17.0,7.2,6.9,,,,,10.0,8.0,1.0,5.0,5.0,4.0,,1.0,3.0,3.0,1.0,,,,1.0,1.0,2.0,1.0,,,,home,main,
6,6,M,False,Jill Roord,,,jill-roord,J. Roord,M,427,231502,NL,Netherlands,EUR,861667200,45.0,34.0,2.0,1.0,,,,90.0,66.0,6.7,17.0,6.7,6.7,,,,,5.0,8.0,1.0,4.0,1.0,1.0,,,,7.0,,,,,,,,,1.0,1.0,,home,main,
10,10,M,False,Danielle van de Donk,,,danielle-van-de-donk,D. v. d. Donk,M,639,181569,NL,Netherlands,EUR,681350400,42.0,33.0,3.0,1.0,,,,80.0,72.0,7.4,16.0,7.4,6.8,,,,,8.0,12.0,2.0,2.0,2.0,1.0,,,3.0,2.0,,3.0,2.0,,2.0,6.0,2.0,,1.0,,,home,main,
22,22,M,False,Esmee Brugts,Esmee Brugts,,esmee-brugts,E. Brugts,F,97,1093419,NL,Netherlands,EUR,1059350400,38.0,24.0,5.0,2.0,,,,90.0,84.0,7.2,25.0,7.2,7.2,,,1.0,,6.0,10.0,1.0,1.0,2.0,,,2.0,2.0,7.0,1.0,,,,1.0,3.0,1.0,,,1.0,,home,main,
7,7,F,False,Lineth Beerensteyn,,,lineth-beerensteyn,L. Beerensteyn,F,197,886370,NL,Netherlands,EUR,844992000,13.0,7.0,,,,,,87.0,31.0,6.5,14.0,6.5,6.4,,,,,8.0,3.0,,4.0,3.0,1.0,,,,,,,1.0,,2.0,2.0,,1.0,,1.0,2.0,home,main,
