shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,player.firstName,player.lastName,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.duelLost,statistics.dispossessed,statistics.keyPass,statistics.aerialWon,statistics.duelWon,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.goals,statistics.totalClearance,statistics.totalTackle,statistics.wasFouled,statistics.interceptionWon,statistics.goalAssist,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.fouls,statistics.totalOffside,statistics.challengeLost,captain,statistics.outfielderBlock,team,player_type,statistics.punches
1,1,G,False,Zećira Mušović,zecira-musovic,Z. Mušović,G,345,287095,SE,Sweden,EUR,832982400.0,20.0,15.0,10.0,6.0,2.0,3.0,90.0,26.0,6.8,5.0,6.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,
14,14,D,False,Nathalie Bjorn,bjorn-nathalie,N. Bjorn,D,66,953785,SE,Sweden,EUR,862704000.0,83.0,74.0,7.0,4.0,,,90.0,107.0,6.8,13.0,6.8,6.6,,,2.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,home,main,
13,13,D,False,Amanda Ilestedt,amanda-ilestedt,A. Ilestedt,D,232,94320,SE,Sweden,EUR,727228800.0,68.0,63.0,8.0,5.0,,,90.0,78.0,8.1,5.0,8.1,8.0,,,,,2.0,2.0,,,3.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,home,main,
6,6,D,False,Magdalena Eriksson,magdalena-eriksson,M. Eriksson,D,432,94322,SE,Sweden,EUR,747446400.0,74.0,60.0,23.0,13.0,,,90.0,79.0,7.0,14.0,7.0,6.9,,,,,,,,,,,1.0,,,,3.0,,,1.0,,,,,,,,,,home,main,
19,19,M,False,Johanna Rytting Kaneryd,rytting-kaneryd-johanna,J. R. Kaneryd,M,219,287129,SE,Sweden,EUR,855705600.0,48.0,37.0,1.0,,,,88.0,69.0,7.3,20.0,7.3,7.0,,,5.0,1.0,,7.0,,2.0,,5.0,,,,,,1.0,,,1.0,9.0,4.0,1.0,2.0,1.0,,,,home,main,
16,16,M,False,Filippa Angeldahl,filippa-angeldahl,F. Angeldahl,M,50,1025156,SE,Sweden,EUR,868838400.0,53.0,38.0,6.0,3.0,,,67.0,75.0,7.4,22.0,7.4,7.1,,,2.0,,1.0,4.0,1.0,,,5.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,3.0,3.0,,1.0,,1.0,,,home,main,
23,23,M,False,Elin Rubensson,elin-rubensson,E. Rubensson,M,59,94328,SE,Sweden,EUR,737078400.0,42.0,33.0,2.0,2.0,,,81.0,56.0,7.2,12.0,7.2,7.0,,,1.0,,1.0,4.0,1.0,,2.0,7.0,1.0,,,,2.0,3.0,1.0,1.0,,1.0,1.0,,2.0,,,,,home,main,
2,2,M,False,Jonna Andersson,jonna-andersson,J. Andersson,D,107,71736,SE,Sweden,EUR,725932800.0,44.0,33.0,1.0,,,,90.0,76.0,7.2,22.0,7.2,7.3,,,12.0,5.0,1.0,2.0,,5.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,home,main,
9,9,F,False,Kosovare Asllani,kosovare-asllani,K. Asllani,F,554,71731,SE,Sweden,EUR,617673600.0,34.0,22.0,1.0,,,,90.0,64.0,7.4,29.0,7.4,7.1,,,6.0,3.0,1.0,9.0,3.0,3.0,,4.0,,,,,,1.0,2.0,,1.0,4.0,1.0,1.0,1.0,,1.0,True,,home,main,
18,18,F,False,Fridolina Rolfö,fridolina-rolfo,F. Rolfö,D,719,94339,SE,Sweden,EUR,754099200.0,28.0,22.0,3.0,1.0,,,67.0,34.0,7.4,6.0,7.4,7.3,,,,,,,,,2.0,2.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,home,main,
