shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.wonContest,statistics.shotOffTarget,statistics.interceptionWon,statistics.wasFouled,statistics.possessionLostCtrl,statistics.keyPass,statistics.totalClearance,captain,statistics.challengeLost,statistics.outfielderBlock,statistics.totalTackle,statistics.fouls,statistics.dispossessed,statistics.bigChanceCreated,statistics.totalOffside,statistics.goalAssist,statistics.bigChanceMissed,statistics.onTargetScoringAttempt,statistics.goals,statistics.blockedScoringAttempt,statistics.errorLeadToAShot,team,player_type,statistics.goodHighClaim,statistics.punches
12,12,G,False,Lelê,,,lele,Lelê,G,146,1023760,BR,Brazil,EUR,776736000.0,10.0,10.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,14.0,7.2,7.2,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,
2,2,D,False,Antônia Silva,,,antonia-silva,A. Silva,D,107,1022543,BR,Brazil,EUR,767318400.0,50.0,38.0,4.0,2.0,,,,,59.0,73.0,7.2,7.2,7.1,2.0,2.0,1.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,14.0,2.0,,,,,,,,,,,,,,,,home,main,,
14,14,D,False,Lauren,,,lauren,Lauren,D,86,1023833,BR,Brazil,EUR,1031875200.0,73.0,67.0,4.0,4.0,,,,,90.0,80.0,7.3,7.3,7.2,,,1.0,3.0,1.0,3.0,,,1.0,,,7.0,,4.0,,,,,,,,,,,,,,,home,main,,
4,4,D,False,Rafaelle,,,rafaelle,Rafaelle,D,229,796781,BR,Brazil,EUR,677203200.0,85.0,73.0,13.0,8.0,,,,,90.0,101.0,7.9,7.9,7.7,,,,2.0,2.0,7.0,2.0,2.0,1.0,,1.0,14.0,1.0,4.0,True,1.0,1.0,2.0,1.0,,,,,,,,,,home,main,,
6,6,D,False,Tamires,,,tamires,Tamires,D,265,796778,BR,Brazil,EUR,560822400.0,66.0,54.0,6.0,2.0,,,,,90.0,88.0,7.2,7.2,7.0,8.0,1.0,1.0,1.0,5.0,3.0,1.0,,,,,22.0,1.0,1.0,,1.0,,2.0,1.0,2.0,1.0,1.0,,,,,,,home,main,,
17,17,M,False,Ary Borges,,,borges-ary,A. Borges,M,437,1023952,BR,Brazil,EUR,946339200.0,43.0,41.0,1.0,1.0,,,,,75.0,63.0,10.0,10.0,10.0,7.0,3.0,1.0,2.0,3.0,3.0,,,,,1.0,8.0,5.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,4.0,3.0,,,home,main,,
21,21,M,False,Kerolin,,,kerolin,Kerolin,F,191,944363,BR,Brazil,EUR,942796800.0,59.0,54.0,3.0,3.0,,,,,90.0,77.0,8.2,8.2,7.7,,,1.0,2.0,7.0,7.0,4.0,3.0,2.0,1.0,,11.0,3.0,,,1.0,,2.0,1.0,3.0,1.0,,,,,,1.0,,home,main,,
5,5,M,False,Luana Bertolucci,,,luana-bertolucci,Luana,M,185,794302,BR,Brazil,EUR,736300800.0,48.0,36.0,4.0,2.0,,,,,75.0,61.0,7.4,7.4,7.3,,,,2.0,3.0,8.0,1.0,,,2.0,2.0,14.0,,,,,,4.0,2.0,,,,,,1.0,,1.0,,home,main,,
11,11,M,False,Adriana,,,adriana,Adriana,M,173,1023777,BR,Brazil,EUR,848188800.0,50.0,43.0,1.0,,,,,,90.0,71.0,8.0,8.0,7.6,4.0,1.0,,,2.0,4.0,4.0,4.0,3.0,1.0,,15.0,3.0,,,,,,,2.0,1.0,,,1.0,1.0,,1.0,,home,main,,
16,16,F,False,Bia Zaneratto,,,bia-zaneratto,B. Zaneratto,F,334,131547,BR,Brazil,EUR,756086400.0,20.0,15.0,,,,,,,59.0,45.0,7.7,7.7,7.4,,,,1.0,4.0,7.0,5.0,3.0,3.0,,2.0,13.0,1.0,,,1.0,,1.0,1.0,,1.0,,,2.0,3.0,1.0,1.0,,home,main,,
9,9,F,False,Debinha,,,debinha,Debinha,M,445,315832,BR,Brazil,EUR,687916800.0,13.0,11.0,,,,,,,59.0,30.0,7.5,7.5,7.4,2.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,,1.0,7.0,3.0,,,,,1.0,,,1.0,,1.0,,,,,,home,main,,
13,13,D,True,Bruninha,,,bruninha,Bruninha,D,112,1065484,BR,Brazil,EUR,1024185600.0,15.0,12.0,,,,,,,31.0,23.0,6.6,6.6,6.6,2.0,,,,,2.0,,,1.0,,,5.0,,,,,,2.0,,,,,,,,,,1.0,home,substitute,,
23,23,F,True,Gabi Nunes,,,nunes-gabi,G. Nunes,F,177,860760,BR,Brazil,EUR,857952000.0,9.0,8.0,,,,,,,31.0,15.0,6.7,6.7,6.5,,,1.0,,4.0,2.0,2.0,1.0,,,1.0,5.0,1.0,,,,,,,2.0,,,,,,,,,home,substitute,,
18,18,F,True,Geyse Ferreira,,,geyse-ferreira,G. Ferreira,F,1172,860772,BR,Brazil,EUR,890956800.0,6.0,3.0,,,,,,,31.0,21.0,7.5,7.5,7.4,2.0,1.0,,1.0,3.0,5.0,4.0,3.0,1.0,,1.0,10.0,3.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,home,substitute,,
