shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.aerialWon,statistics.duelWon,statistics.totalClearance,statistics.wasFouled,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.aerialLost,statistics.duelLost,statistics.challengeLost,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.keyPass,statistics.outfielderBlock,statistics.totalCross,statistics.goalAssist,statistics.accurateCross,statistics.totalContest,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.shotOffTarget,statistics.blockedScoringAttempt,statistics.dispossessed,statistics.totalOffside,captain,statistics.goals,team,player_type,statistics.savedShotsFromInsideTheBox
22,22,G,False,Francesca Durante,,,francesca-durante,F. Durante,G,32,886427,IT,Italy,EUR,855705600,27.0,23.0,9.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,90.0,35.0,7.1,4.0,7.1,7.3,,,,,,,,,,,,,,,,,,,,,home,main,
4,4,D,False,Lucia Di Guglielmo,,,di-guglielmo-lucia,L. D. Guglielmo,D,23,1388825,IT,Italy,EUR,867283200,41.0,30.0,4.0,1.0,2.0,7.0,2.0,,,,90.0,63.0,7.2,19.0,7.2,7.3,1.0,4.0,1.0,1.0,5.0,2.0,1.0,,,,,,,,,,,,,,home,main,
5,5,D,False,Elena Linari,,,elena-linari,E. Linari,D,61,96457,IT,Italy,EUR,766368000,57.0,54.0,9.0,8.0,3.0,6.0,2.0,1.0,,,90.0,67.0,7.6,3.0,7.6,7.6,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,,home,main,
23,23,D,False,Cecilia Salvai,,,cecilia-salvai,C. Salvai,D,100,96453,IT,Italy,EUR,754790400,55.0,43.0,6.0,1.0,2.0,3.0,3.0,,,,90.0,66.0,7.2,13.0,7.2,7.1,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,home,main,
17,17,D,False,Lisa Boattin,,,lisa-boattin,L. Boattin,D,158,266675,IT,Italy,EUR,862617600,51.0,34.0,8.0,2.0,2.0,13.0,1.0,2.0,,,90.0,102.0,8.0,36.0,8.0,8.1,4.0,12.0,,2.0,3.0,4.0,2.0,1.0,8.0,1.0,2.0,10.0,6.0,1.0,,,,,,,home,main,
6,6,M,False,Manuela Giugliano,,,manuela-giugliano,M. Giugliano,M,193,266693,IT,Italy,EUR,871862400,47.0,37.0,10.0,5.0,1.0,2.0,,,,,90.0,65.0,6.8,15.0,6.8,6.6,1.0,7.0,4.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,1.0,,,,,home,main,
18,18,M,False,Arianna Caruso,,,caruso-arianna,A. Caruso,M,134,995807,IT,Italy,EUR,941846400,17.0,11.0,3.0,1.0,,4.0,1.0,,,,58.0,35.0,6.2,13.0,6.2,6.0,,10.0,2.0,,2.0,3.0,1.0,,1.0,,,6.0,2.0,,,,1.0,1.0,,,home,main,
8,8,M,False,Barbara Bonansea,,,barbara-bonansea,B. Bonansea,F,279,92095,IT,Italy,EUR,676771200,23.0,10.0,2.0,2.0,2.0,9.0,1.0,4.0,,,90.0,57.0,6.9,26.0,6.9,6.6,1.0,9.0,2.0,,1.0,2.0,1.0,,3.0,,1.0,4.0,2.0,,1.0,1.0,2.0,,True,,home,main,
16,16,M,False,Giulia Dragoni,,,dragoni-giulia,G. Dragoni,M,92,1436120,IT,Italy,EUR,1162857600,22.0,20.0,,,,7.0,,,,,83.0,44.0,7.2,7.0,7.2,7.2,,5.0,1.0,1.0,2.0,1.0,,,,,,8.0,5.0,,,,,,,,home,main,
14,14,M,False,Chiara Beccari,,,beccari-chiara,C. Beccari,F,56,1135183,IT,Italy,EUR,1096243200,24.0,14.0,,,3.0,8.0,1.0,3.0,,,90.0,48.0,7.0,18.0,7.0,6.5,4.0,11.0,4.0,,,1.0,2.0,,1.0,,,3.0,2.0,,1.0,,2.0,,,,home,main,
9,9,F,False,Valentina Giacinti,,,valentina-giacinti,V. Giacinti,F,312,828578,IT,Italy,EUR,757468800,3.0,2.0,,,,,,,,,74.0,18.0,6.4,10.0,6.4,6.3,1.0,8.0,1.0,,,3.0,,,,,,2.0,,1.0,1.0,,1.0,1.0,,,home,main,
20,20,M,True,Giada Greggi,,,greggi-giada,G. Greggi,M,58,1000078,IT,Italy,EUR,950832000,12.0,9.0,1.0,1.0,,1.0,,,,,32.0,17.0,6.7,5.0,6.7,6.8,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,home,substitute,
7,7,F,True,Sofia Cantore,,,cantore-sofia,S. Cantore,F,87,1007228,IT,Italy,EUR,938649600,4.0,3.0,1.0,1.0,,2.0,,2.0,,,16.0,10.0,6.8,3.0,6.8,6.7,,2.0,,,,2.0,,,,,,,,,1.0,,,,,,home,substitute,
10,10,F,True,Cristiana Girelli,,,cristiana-girelli,C. Girelli,F,330,93342,IT,Italy,EUR,640828800,5.0,3.0,,,3.0,3.0,,,,,15.0,8.0,7.4,3.0,7.4,7.4,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,home,substitute,
1,1,G,True,Laura Giuliani,,,laura-giuliani,L. Giuliani,G,124,810051,IT,Italy,EUR,739238400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
12,12,G,True,Rachele Baldi,,,baldi-rachele,R. Baldi,G,30,1007240,IT,Italy,EUR,781056000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
3,3,D,True,Benedetta Orsi,,,orsi-benedetta,B. Orsi,D,35,1007195,IT,Italy,EUR,951436800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
19,19,D,True,Martina Lenzini,,,martina-lenzini,M. Lenzini,D,96,951284,IT,Italy,EUR,901152000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
13,13,D,True,Elisa Bartoli,,,elisa-bartoli,E. Bartoli,D,50,92090,IT,Italy,EUR,673574400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
2,2,M,True,Emma Severini,,,severini-emma,E. Severini,M,21,1007118,IT,Italy,EUR,1058486400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
21,21,M,True,Valentina Cernoia,,,valentina-cernoia,V. Cernoia,M,118,363442,IT,Italy,EUR,677548800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
11,11,F,True,Benedetta Glionna,,,benedetta-glionna,B. Glionna,F,93,938767,IT,Italy,EUR,932947200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
15,15,F,True,Annamaria Serturini,,,serturini-annamaria,A. Serturini,F,56,985564,IT,Italy,EUR,895017600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
1,1,G,False,Vanina Correa,,,vanina-correa,V. Correa,G,26,28434,AR,Argentina,EUR,429667200,18.0,15.0,6.0,3.0,1.0,1.0,4.0,,3.0,4.0,90.0,27.0,7.1,3.0,7.1,7.1,,,,,,,,,,,,,,,,,,,True,,away,main,2.0
13,13,D,False,Sophía Braun,,,sophia-braun,S. Braun,M,25,1103775,AR,Argentina,EUR,961977600,43.0,21.0,11.0,2.0,3.0,9.0,7.0,1.0,,,90.0,82.0,6.5,35.0,6.5,6.5,1.0,7.0,3.0,2.0,4.0,1.0,,,1.0,,1.0,3.0,1.0,,,,,,,,away,main,
14,14,D,False,Miriam Mayorga,,,miriam-mayorga,M. Mayorga,D,21,985617,AR,Argentina,EUR,627523200,16.0,12.0,1.0,,,5.0,4.0,1.0,,,90.0,33.0,6.9,4.0,6.9,7.0,,4.0,2.0,6.0,3.0,2.0,,,,,,1.0,1.0,,,,,,,,away,main,
6,6,D,False,Aldana Cometti,,,aldana-cometti,A. Cometti,D,34,1009113,AR,Argentina,EUR,825811200,18.0,13.0,7.0,4.0,1.0,6.0,6.0,2.0,,,90.0,40.0,7.2,7.0,7.2,7.2,2.0,3.0,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,away,main,
3,3,D,False,Eliana Stábile,,,eliana-stabile,E. Stábile,D,21,985604,AR,Argentina,EUR,754272000,47.0,37.0,7.0,3.0,2.0,6.0,2.0,2.0,,,90.0,78.0,6.9,14.0,6.9,6.8,3.0,7.0,1.0,4.0,2.0,2.0,,,2.0,,,1.0,,,,1.0,,,,,away,main,
8,8,M,False,Daiana Falfan,,,falfan-daiana,D. Falfán,M,23,1004623,AR,Argentina,EUR,971481600,26.0,17.0,,,1.0,6.0,3.0,2.0,,,89.0,41.0,6.9,11.0,6.9,6.9,2.0,4.0,,1.0,1.0,1.0,,1.0,,,,3.0,2.0,,,,,,,,away,main,
16,16,M,False,Lorena Benítez,,,lorena-benitez,L. Benítez,M,37,985619,AR,Argentina,EUR,912643200,47.0,37.0,6.0,3.0,,3.0,3.0,1.0,,,90.0,68.0,6.4,18.0,6.4,6.3,1.0,6.0,4.0,,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,away,main,
7,7,M,False,Romina Nunez,,,nunez-romina,R. Núñez,M,29,1103774,AR,Argentina,EUR,757382400,20.0,15.0,1.0,1.0,,8.0,1.0,4.0,,,77.0,41.0,7.0,9.0,7.0,6.8,1.0,6.0,2.0,,4.0,3.0,,,2.0,,,,,,,,1.0,,,,away,main,
22,22,M,False,Estefanía Banini,,,estefania-banini,E. Banini,M,145,985611,AR,Argentina,EUR,645926400,53.0,40.0,4.0,1.0,,11.0,2.0,2.0,,,90.0,86.0,7.2,23.0,7.2,7.1,1.0,6.0,,1.0,1.0,,1.0,,1.0,,,12.0,8.0,,,1.0,1.0,,,,away,main,
15,15,M,False,Florencia Bonsegundo,,,florencia-bonsegundo,F. Bonsegundo,M,47,985613,AR,Argentina,EUR,742608000,31.0,22.0,1.0,,,5.0,,2.0,,,90.0,58.0,6.7,20.0,6.7,6.4,2.0,8.0,1.0,,2.0,3.0,,,2.0,,,3.0,1.0,1.0,,1.0,,,,,away,main,
19,19,F,False,Mariana Larroquette,,,mariana-larroquette,M. Larroquette,F,67,985621,AR,Argentina,EUR,719884800,18.0,9.0,2.0,,4.0,8.0,1.0,2.0,,,89.0,37.0,6.3,19.0,6.3,6.3,7.0,16.0,2.0,,1.0,2.0,,,,,,1.0,1.0,,1.0,,5.0,,,,away,main,
11,11,F,True,Yamila Rodríguez,,,yamila-rodriguez,Y. Rodríguez,F,128,1103773,AR,Argentina,EUR,885600000,9.0,6.0,,,2.0,3.0,,,,,13.0,13.0,6.6,5.0,6.6,6.6,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,away,substitute,
10,10,F,True,Dalila Ippólito,,,dalila-ippolito,D. Ippólito,M,71,985623,AR,Argentina,EUR,1016928000,4.0,3.0,,,,,,,,,1.0,4.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,away,substitute,
9,9,F,True,Paulina Gramaglia,,,gramaglia-paulina,P. Gramaglia,F,15,1163969,AR,Argentina,EUR,1048204800,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,away,substitute,
12,12,G,True,Lara Esponda,,,lara-esponda,L. Esponda,G,39,1163967,AR,Argentina,EUR,1131408000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
23,23,G,True,Abigaíl Cháves,,,abigail-chaves,A. Cháves,G,9,1503843,AR,Argentina,EUR,868579200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
18,18,D,True,Gabriela Chávez,,,gabriela-chavez,G. Chávez,D,7,28426,AR,Argentina,EUR,608083200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
2,2,D,True,Adriana Sachs,,,adriana-sachs,A. Sachs,D,13,985605,AR,Argentina,EUR,756777600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
4,4,D,True,Julieta Cruz Navarrete,,,julieta-cruz-navarrete,J. C. Navarrete,D,17,1143281,AR,Argentina,EUR,836438400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
5,5,M,True,Vanesa Santana,,,vanesa-santana,V. Santana,M,21,985609,AR,Argentina,EUR,652320000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
17,17,M,True,Camila Gómez Ares,,,camila-gomez-ares,C. G. Ares,M,19,1427120,AR,Argentina,EUR,783129600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
21,21,F,True,Érica Lonigro,,,erica-lonigro,É. Lonigro,F,15,1143289,AR,Argentina,EUR,773452800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
20,20,M,True,Chiara Singarella,,,chiara-singarella,C.Singarella,F,20,1185849,AR,Argentina,EUR,1070582400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,
