shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.totalContest,statistics.wonContest,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.goalAssist,statistics.bigChanceCreated,statistics.totalClearance,statistics.outfielderBlock,statistics.aerialLost,statistics.blockedScoringAttempt,statistics.dispossessed,statistics.shotOffTarget,statistics.hitWoodwork,statistics.totalOffside,statistics.bigChanceMissed,statistics.onTargetScoringAttempt,statistics.goals,captain,team,player_type,statistics.errorLeadToAGoal,statistics.punches,statistics.clearanceOffLine,statistics.ownGoals
1,1,G,False,Merle Frohms,,,frohms-merle,M. Frohms,G,215,170735,DE,Germany,EUR,791251200,18.0,17.0,3.0,2.0,2.0,4.0,90.0,29.0,7.5,2.0,7.5,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,
9,9,D,False,Svenja Huth,,,svenja-huth,S. Huth,M,180,68254,DE,Germany,EUR,664761600,45.0,40.0,2.0,1.0,,,90.0,82.0,7.5,12.0,7.5,7.6,4.0,1.0,1.0,3.0,10.0,1.0,4.0,3.0,1.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,home,main,,,,
3,3,D,False,Kathrin Hendrich,,,hendrich-kathrin,K. Hendrich,D,165,117572,DE,Germany,EUR,702518400,113.0,101.0,7.0,2.0,,,90.0,121.0,7.5,12.0,7.5,7.7,1.0,1.0,1.0,,3.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,4.0,,,,,,,,,,,,home,main,,,,
23,23,D,False,Sara Doorsoun-Khajeh,,,sara-doorsoun-khajeh,S. Doorsoun-Khajeh,D,98,838495,DE,Germany,EUR,690336000,124.0,115.0,12.0,6.0,,,90.0,132.0,7.2,9.0,7.2,7.1,,,1.0,3.0,4.0,3.0,,,1.0,1.0,2.0,,,,,2.0,1.0,,,,,,,,,,,home,main,,,,
17,17,D,False,Felicitas Rauch,,,felicitas-rauch,F. Rauch,D,149,951287,DE,Germany,EUR,830822400,93.0,86.0,4.0,4.0,,,89.0,131.0,7.3,14.0,7.3,7.2,4.0,1.0,,4.0,5.0,2.0,2.0,1.0,1.0,4.0,,,1.0,,,,,1.0,1.0,,,,,,,,,home,main,,,,
13,13,M,False,Sara Däbritz,,,sara-dabritz,S. Däbritz,M,390,151104,DE,Germany,EUR,792806400,55.0,48.0,1.0,1.0,,,90.0,74.0,7.2,16.0,7.2,7.0,,,4.0,6.0,9.0,,3.0,3.0,,2.0,,2.0,,,,,,1.0,,3.0,1.0,1.0,1.0,,,,,home,main,,,,
18,18,M,False,Melanie Leupolz,,,melanie-leupolz,M. Leupolz,M,405,94472,DE,Germany,EUR,766281600,59.0,51.0,5.0,2.0,,,65.0,72.0,6.8,13.0,6.8,6.8,1.0,,2.0,8.0,6.0,3.0,3.0,1.0,3.0,3.0,,,,,,,,3.0,,,,,,,,,,home,main,,,,
22,22,M,False,Jule Brand,,,jule-brand,J. Brand,M,440,1064651,DE,Germany,EUR,1034726400,30.0,21.0,,,,,90.0,60.0,7.6,23.0,7.6,7.2,1.0,,2.0,11.0,12.0,,10.0,7.0,,2.0,1.0,2.0,2.0,,1.0,,,2.0,,4.0,2.0,,,,,,,home,main,,,,
20,20,M,False,Lina Magull,,,lina-magull,L. Magull,M,319,114578,DE,Germany,EUR,776908800,35.0,29.0,,,,,65.0,46.0,7.1,9.0,7.1,6.9,1.0,1.0,,2.0,5.0,,3.0,3.0,1.0,1.0,1.0,,1.0,,,,,,1.0,2.0,,1.0,,1.0,,,,home,main,,,,
19,19,M,False,Klara Bühl,,,klara-buhl,K. Bühl,M,356,945626,DE,Germany,EUR,976147200,21.0,14.0,2.0,,,,64.0,51.0,7.8,22.0,7.8,7.8,8.0,3.0,,8.0,5.0,,11.0,4.0,,1.0,,,2.0,1.0,,,,,1.0,1.0,,,2.0,,2.0,1.0,,home,main,,,,
11,11,F,False,Alexandra Popp,,,alexandra-popp,A. Popp,M,701,68256,DE,Germany,EUR,670896000,29.0,21.0,2.0,1.0,,,83.0,42.0,9.0,10.0,9.0,8.8,,,2.0,2.0,6.0,1.0,1.0,1.0,2.0,,3.0,1.0,,,,1.0,,,,,1.0,,,,3.0,2.0,True,home,main,,,,
16,16,F,True,Nicole Anyomi,,,nicole-anyomi,N. Anyomi,F,84,1008973,DE,Germany,EUR,950140800,17.0,13.0,1.0,,,,26.0,21.0,6.5,5.0,6.5,6.5,1.0,,,4.0,1.0,2.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,home,substitute,,,,
14,14,M,True,Lena Lattwein,,,lattwein-lena,L. Lattwein,M,90,964031,DE,Germany,EUR,957225600,20.0,18.0,1.0,,,,25.0,27.0,7.1,3.0,7.1,7.1,1.0,,1.0,2.0,4.0,,,,,3.0,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,home,substitute,,,,
7,7,F,True,Lea Schüller,,,lea-schuller,L. Schüller,F,439,860816,DE,Germany,EUR,879292800,11.0,8.0,,,,,25.0,18.0,7.4,6.0,7.4,7.3,,,,2.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,2.0,,1.0,1.0,,home,substitute,,,,
10,10,F,True,Laura Freigang,,,freigang-laura,L. Freigang,M,145,883571,DE,Germany,EUR,886291200,10.0,8.0,,,,,17.0,13.0,6.8,4.0,6.8,6.8,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,home,substitute,,,,
2,2,M,True,Chantal Hagel,,,hagel-chantal,C. Hagel,M,33,1008904,DE,Germany,EUR,900892800,14.0,12.0,1.0,1.0,,,11.0,23.0,6.8,4.0,6.8,7.0,1.0,,,1.0,3.0,,1.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,home,substitute,,,,
12,12,G,True,Ann Katrin Berger,,,berger-ann-katrin,A. K. Berger,G,293,168415,DE,Germany,EUR,655430400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
21,21,G,True,Stina Johannes,,,johannes-stina,S. Johannes,G,46,1008917,DE,Germany,EUR,948585600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
5,5,D,True,Marina Hegering,,,marina-hegering,M. Hegering,D,74,68252,DE,Germany,EUR,640310400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
15,15,M,True,Sjoeke Nüsken,,,sjoeke-nusken,S. Nüsken,D,98,1009005,DE,Germany,EUR,980121600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
4,4,D,True,Sophia Kleinherne,,,kleinherne-sophia,S. Kleinherne,D,97,883561,DE,Germany,EUR,955497600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
6,6,M,True,Lena Oberdorf,,,lena-oberdorf,L. Oberdorf,M,501,985560,DE,Germany,EUR,1008720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
8,8,M,True,Sydney Lohmann,,,sydney-lohmann,S. Lohmann,M,244,964032,DE,Germany,EUR,961372800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
1,1,G,False,Khadija Er-Rmichi,,,er-rmichi-khadija,K. Er-Rmichi,G,25,1426945,MA,Morocco,EUR,621907200,18.0,5.0,15.0,3.0,2.0,3.0,90.0,26.0,5.1,13.0,5.1,4.9,,,1.0,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,away,main,1.0,2.0,,
