shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.aerialWon,statistics.duelWon,statistics.totalClearance,statistics.errorLeadToAShot,statistics.punches,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.duelLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.interceptionWon,statistics.totalTackle,statistics.keyPass,statistics.challengeLost,statistics.wasFouled,statistics.fouls,captain,statistics.bigChanceMissed,statistics.totalOffside,statistics.hitWoodwork,team,player_type,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.outfielderBlock,statistics.goalAssist,statistics.goals
21,21,G,False,Victoria Esson,,,victoria-esson,V. Esson,G,19,985695,NZ,New Zealand,EUR,857606400.0,24.0,19.0,6.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,90.0,29.0,6.4,5.0,6.4,6.3,,,,,,,,,,,,,,,,,,,,,,home,main,,,,,,
4,4,D,False,Catherine Bott,,,catherine-bott,C. Bott,D,34,796544,NZ,New Zealand,EUR,798508800.0,64.0,40.0,7.0,2.0,2.0,5.0,3.0,,,,,90.0,108.0,7.3,38.0,7.3,7.2,7.0,1.0,1.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,home,main,,,,,,
13,13,D,False,Rebekah Stott,,,rebekah-stott,R. Stott,M,16,242293,NZ,New Zealand,EUR,740275200.0,49.0,35.0,14.0,5.0,1.0,3.0,3.0,,,,,90.0,63.0,6.8,17.0,6.8,6.7,2.0,1.0,1.0,2.0,,2.0,2.0,,,,,,,2.0,1.0,1.0,,,,,,home,main,,,,,,
14,14,D,False,Katie Bowen,,,katie-bowen,K. Bowen,D,32,131809,NZ,New Zealand,EUR,766368000.0,78.0,64.0,18.0,11.0,3.0,6.0,4.0,,,,,90.0,91.0,7.4,16.0,7.4,7.4,,,,,,2.0,2.0,,1.0,,,,,2.0,,1.0,,,,,,home,main,,,,,,
7,7,D,False,Ali Riley,,,ali-riley,A. Riley,D,35,29142,NZ,New Zealand,EUR,562550400.0,89.0,61.0,14.0,2.0,4.0,6.0,,,,,,90.0,121.0,6.7,42.0,6.7,6.7,6.0,1.0,3.0,3.0,,,,,,,,1.0,1.0,,,1.0,,,,,,home,main,,,,,,
20,20,M,False,Indiah-Paige Riley,,,indiah-paige-riley,I. Riley,M,46,1009447,NZ,New Zealand,EUR,977270400.0,19.0,17.0,,,,2.0,,,,,,45.0,31.0,6.7,7.0,6.7,6.6,3.0,,1.0,4.0,,2.0,1.0,,1.0,,,,1.0,,,,2.0,,,,,home,main,,,,,,
6,6,M,False,Malia Steinmetz,Malia Steinmetz,,steinmetz-malia,M. Steinmetz,M,29,1096340,NZ,New Zealand,EUR,916617600.0,38.0,20.0,6.0,2.0,2.0,9.0,,,,,,90.0,54.0,6.8,23.0,6.8,6.9,,,2.0,6.0,3.0,2.0,2.0,,,,1.0,,4.0,1.0,1.0,1.0,,,,,,home,main,,,,,,
2,2,M,False,Ria Percival,,,ria-percival,R. Percival,D,31,29126,NZ,New Zealand,EUR,628992000.0,42.0,33.0,6.0,3.0,3.0,7.0,1.0,,,,,84.0,60.0,7.3,14.0,7.3,7.4,4.0,1.0,1.0,3.0,,,,,1.0,1.0,,1.0,3.0,1.0,,1.0,2.0,True,,,,home,main,,,,,,
12,12,M,False,Betsy Hassett,,,betsy-hassett,B. Hassett,M,8,121376,NZ,New Zealand,EUR,649728000.0,23.0,19.0,2.0,1.0,1.0,3.0,1.0,,,,,45.0,30.0,6.8,7.0,6.8,6.7,2.0,,1.0,2.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,home,main,,,,,,
17,17,F,False,Hannah Wilkinson,,,hannah-wilkinson,H. Wilkinson,F,102,121374,NZ,New Zealand,EUR,707011200.0,20.0,13.0,2.0,1.0,5.0,6.0,,,,,,90.0,35.0,6.6,13.0,6.6,6.4,,,9.0,13.0,,1.0,,,3.0,1.0,,,1.0,,,,3.0,,1.0,2.0,,home,main,,,,,,
16,16,F,False,Jacqui Hand,,,hand-jacqui,J. Hand,F,34,1154468,NZ,New Zealand,EUR,919382400.0,37.0,28.0,3.0,1.0,,5.0,1.0,,,,,90.0,68.0,6.9,20.0,6.9,6.6,3.0,,3.0,9.0,3.0,5.0,2.0,,1.0,,,1.0,2.0,,,1.0,,,,,1.0,home,main,,,,,,
10,10,M,True,Annalie Longo,,,annalie-longo,A. Longo,M,4,29139,NZ,New Zealand,EUR,678326400.0,26.0,21.0,3.0,1.0,1.0,2.0,,,,,,45.0,33.0,6.7,8.0,6.7,6.6,,,,2.0,1.0,,,,,,,1.0,1.0,,1.0,,1.0,,,,,home,substitute,,,,,,
11,11,M,True,Olivia Chance,,,olivia-chance,O. Chance,M,26,985696,NZ,New Zealand,EUR,749779200.0,17.0,14.0,3.0,2.0,,1.0,1.0,,,,,45.0,31.0,7.2,11.0,7.2,7.1,8.0,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,,2.0,,,1.0,,,,,home,substitute,,,,,,
18,18,F,True,Grace Jale,Grace Jale,,jale-grace,G. Jale,M,13,1159570,NZ,New Zealand,EUR,923702400.0,3.0,3.0,,,1.0,1.0,,,,,,12.0,7.0,6.3,1.0,6.3,6.3,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,home,substitute,,,,,,
1,1,G,True,Erin Nayler,,,erin-nayler,E. Nayler,G,19,121387,NZ,New Zealand,EUR,703468800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
23,23,G,True,Anna Leat,,,anna-leat,A. Leat,G,22,1022544,NZ,New Zealand,EUR,993513600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
19,19,D,True,Elizabeth Anton,Elizabeth Anton,,elizabeth-anton,E. Anton,D,13,1096412,NZ,New Zealand,EUR,913420800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
3,3,D,True,Claudia Bunge,,,claudia-bunge,C. Bunge,D,8,1004568,NZ,New Zealand,EUR,937872000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
8,8,M,True,Daisy Cleverley,,,daisy-cleverley,D. Cleverley,M,7,796545,NZ,New Zealand,EUR,862358400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,
