shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.aerialWon,statistics.duelWon,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.totalContest,statistics.wonContest,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.duelLost,statistics.bigChanceCreated,statistics.outfielderBlock,statistics.fouls,statistics.keyPass,player.firstName,player.lastName,statistics.aerialLost,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.accurateCross,statistics.challengeLost,statistics.onTargetScoringAttempt,statistics.goals,captain,statistics.dispossessed,statistics.blockedScoringAttempt,statistics.goalAssist,team,player_type,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.ownGoals,statistics.totalOffside
1,1,G,False,Kailen Sheridan,sheridan-kailen,K. Sheridan,G,39,974079,CA,Canada,EUR,805852800,34.0,18.0,21.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,90.0,44.0,7.4,16.0,7.4,7.6,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,
8,8,D,False,Jayde Riviere,riviere-jayde,J. Riviere,D,96,985251,CA,Canada,EUR,980121600,56.0,41.0,4.0,2.0,1.0,9.0,,,,,,89.0,83.0,7.4,20.0,7.4,7.3,1.0,4.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,home,main,,,,
3,3,D,False,Kadeisha Buchanan,kadeisha-buchanan,K. Buchanan,D,309,276441,CA,Canada,EUR,815529600,46.0,40.0,6.0,2.0,1.0,2.0,2.0,,,,,45.0,52.0,6.9,7.0,6.9,6.8,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,home,main,,,,
14,14,D,False,Vanessa Gilles,gilles-vanessa,V. Gilles,D,110,974082,CA,Canada,EUR,826502400,65.0,53.0,9.0,2.0,8.0,11.0,13.0,,,,,90.0,89.0,7.0,13.0,7.0,6.9,1.0,,,1.0,2.0,1.0,3.0,,,1.0,1.0,,,2.0,2.0,3.0,,,,,,,,,home,main,,,,
10,10,D,False,Ashley Lawrence,ashley-lawrence,A. Lawrence,D,268,131944,CA,Canada,EUR,802828800,42.0,31.0,3.0,1.0,,7.0,1.0,,,,,90.0,75.0,6.9,16.0,6.9,6.9,2.0,6.0,4.0,,3.0,,5.0,,,1.0,2.0,,,1.0,,1.0,2.0,1.0,,,,,,,home,main,,,,
5,5,M,False,Quinn,quinn,Quinn,M,43,845623,CA,Canada,EUR,808099200,73.0,60.0,6.0,4.0,2.0,9.0,2.0,,,,,90.0,97.0,7.6,19.0,7.6,7.6,,3.0,2.0,3.0,5.0,,4.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,home,main,,,,
7,7,M,False,Julia Grosso,julia-grosso,J. Grosso,M,226,974078,CA,Canada,EUR,967507200,24.0,20.0,1.0,,,2.0,1.0,,,,,45.0,34.0,7.2,5.0,7.2,7.1,1.0,,,2.0,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,home,main,,,,
19,19,M,False,Adriana Leon,adriana-leon,A. Leon,F,211,256353,CA,Canada,EUR,717984000,12.0,10.0,,,,2.0,,,,,,59.0,22.0,7.3,6.0,7.3,7.2,2.0,1.0,,1.0,2.0,,2.0,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,home,main,,,,
17,17,M,False,Jessie Fleming,jessie-fleming,J. Fleming,M,466,796623,CA,Canada,EUR,889574400,47.0,37.0,3.0,2.0,4.0,12.0,,,,,,90.0,78.0,7.3,25.0,7.3,7.3,9.0,4.0,1.0,1.0,5.0,2.0,16.0,1.0,,1.0,3.0,,,8.0,,,3.0,3.0,,,True,1.0,,,home,main,,,,
9,9,M,False,Jordyn Huitema,jordyn-huitema,J. Huitema,F,1451,958599,CA,Canada,EUR,989280000,11.0,9.0,,,5.0,11.0,2.0,,,,,90.0,53.0,7.9,13.0,7.9,7.6,2.0,6.0,2.0,5.0,2.0,2.0,8.0,,,1.0,,,,3.0,,,,,4.0,,,,2.0,,home,main,,,,
