shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.aerialWon,statistics.duelWon,statistics.totalClearance,statistics.wasFouled,statistics.goodHighClaim,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.aerialLost,statistics.duelLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.goals,statistics.interceptionWon,statistics.totalTackle,statistics.keyPass,captain,statistics.challengeLost,statistics.fouls,statistics.totalCross,statistics.shotOffTarget,statistics.blockedScoringAttempt,statistics.accurateCross,statistics.goalAssist,statistics.bigChanceCreated,statistics.bigChanceMissed,statistics.totalOffside,team,player_type,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.outfielderBlock
23,23,G,False,Enrique Bologna,,,enrique-bologna,E. Bologna,G,75,107418,AR,Argentina,EUR,382406400.0,28.0,21.0,12.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,90.0,40.0,7.1,7.0,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,home,main,,,
4,4,D,False,Nicolás Tripichio,,,nicolas-tripichio,N. Tripichio,D,86,358924,AR,Argentina,EUR,820800000.0,67.0,62.0,8.0,8.0,2.0,10.0,2.0,3.0,,,90.0,92.0,8.6,7.0,8.6,8.7,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,,,,,,,,,,,,home,main,,,
2,2,D,False,Julián Malatini,Julian Malatini,,julian-malatini,J. Malatini,D,29,1087043,AR,Argentina,EUR,991267200.0,68.0,57.0,12.0,6.0,5.0,5.0,4.0,,,,90.0,78.0,7.3,13.0,7.3,7.3,1.0,1.0,,,,,,4.0,,,,,,,,,,,,,,home,main,,,
25,25,D,False,Tomás Cardona,,,tomas-cardona,T. Cardona,D,61,849020,AR,Argentina,EUR,813283200.0,57.0,46.0,11.0,9.0,3.0,5.0,4.0,,,,90.0,70.0,7.6,11.0,7.6,7.8,,3.0,,1.0,1.0,1.0,,4.0,1.0,,True,1.0,2.0,,,,,,,,,home,main,,,
26,26,D,False,Darío Cáceres,,,dario-caceres,D. Cáceres,D,33,922462,PY,Paraguay,EUR,884908800.0,48.0,36.0,3.0,1.0,4.0,11.0,1.0,1.0,,,90.0,74.0,7.6,19.0,7.6,7.6,,1.0,,2.0,2.0,,,,4.0,,,,1.0,1.0,1.0,,,,,,,home,main,,,
8,8,M,False,Julián López,,,julian-lopez,J. López,M,76,922455,AR,Argentina,EUR,947289600.0,53.0,44.0,6.0,6.0,,3.0,1.0,1.0,,,90.0,66.0,7.2,13.0,7.2,7.4,,3.0,,2.0,2.0,,,1.0,,4.0,,2.0,1.0,1.0,1.0,1.0,,,,,,home,main,,,
5,5,M,False,Kevin Gutiérrez,,,kevin-gutierrez,K. Gutiérrez,M,94,914145,AR,Argentina,EUR,865296000.0,95.0,84.0,15.0,10.0,,3.0,2.0,,,,89.0,105.0,7.4,14.0,7.4,7.4,,1.0,,1.0,1.0,,,,2.0,2.0,,1.0,,1.0,,,,,,,,home,main,,,
19,19,M,False,David Barbona,,,david-barbona,D. Barbona,M,64,789910,AR,Argentina,EUR,793411200.0,56.0,50.0,6.0,4.0,,3.0,,2.0,,,66.0,69.0,8.2,8.0,8.2,8.6,,1.0,,1.0,,4.0,1.0,,1.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,home,main,,,
27,27,F,False,Santiago Solari,,,solari-santiago,S. Solari,M,45,1104323,AR,Argentina,EUR,885168000.0,42.0,36.0,,,2.0,4.0,,,,,89.0,61.0,7.2,17.0,7.2,7.3,2.0,6.0,2.0,2.0,1.0,2.0,,,1.0,2.0,,1.0,,8.0,,,1.0,1.0,1.0,1.0,,home,main,,,
29,29,F,False,Nicolás Fernández,,,nicolas-fernandez,N. Fernández,F,356,581804,AR,Argentina,EUR,823737600.0,25.0,21.0,2.0,2.0,,3.0,1.0,1.0,,,90.0,37.0,6.8,10.0,6.8,7.0,1.0,7.0,3.0,2.0,1.0,,,,1.0,3.0,,1.0,1.0,,,1.0,,,,,1.0,home,main,,,
