shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.totalClearance,statistics.totalTackle,statistics.wasFouled,statistics.aerialLost,statistics.totalContest,statistics.wonContest,statistics.shotOffTarget,statistics.interceptionWon,statistics.penaltyConceded,statistics.fouls,player.firstName,player.lastName,statistics.onTargetScoringAttempt,statistics.outfielderBlock,statistics.challengeLost,statistics.keyPass,captain,statistics.accurateCross,team,player_type,statistics.blockedScoringAttempt,statistics.bigChanceCreated,statistics.bigChanceMissed,statistics.goals,statistics.penaltyWon
12,12,G,False,Ramiro Macagno,ramiro-macagno,R. Macagno,G,51,818326,AR,Argentina,EUR,858643200,20.0,13.0,14.0,7.0,2.0,2.0,2.0,2.0,90.0,25.0,6.7,7.0,6.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,,
2,2,D,False,Raúl Lozano,raul-lozano,R. Lozano,D,19,884971,AR,Argentina,EUR,873158400,34.0,23.0,5.0,1.0,,,,,90.0,61.0,6.6,20.0,6.6,6.8,4.0,3.0,1.0,7.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,home,main,,,,,
13,13,D,False,Ignacio Vazquez,ignacio-vazquez,I. Vazquez,D,6,883922,AR,Argentina,EUR,866332800,62.0,41.0,11.0,6.0,,,,,90.0,77.0,6.8,23.0,6.8,6.9,,4.0,6.0,10.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,,,,,,,,,home,main,,,,,
31,31,D,False,Marco Pellegrino,pellegrino-marco,M. Pellegrino,D,46,1095023,AR,Argentina,EUR,1026950400,51.0,30.0,12.0,6.0,,,,,90.0,71.0,7.4,23.0,7.4,7.7,,2.0,5.0,4.0,1.0,7.0,2.0,,2.0,,,,3.0,,2.0,Marco Pellegrino,,1.0,3.0,,,,,home,main,,,,,
3,3,D,False,Juan Infante,juan-infante,J. Infante,D,4,941542,AR,Argentina,EUR,820972800,22.0,8.0,3.0,,,,,,89.0,46.0,6.3,22.0,6.3,6.4,2.0,1.0,4.0,4.0,,1.0,1.0,2.0,2.0,,,,1.0,,1.0,,,,,1.0,,,,home,main,,,,,
8,8,M,False,Franco Díaz,franco-diaz,F. Díaz,M,60,1018402,AR,Argentina,EUR,967420800,23.0,15.0,1.0,,,,,,61.0,38.0,6.4,14.0,6.4,6.6,,,4.0,2.0,3.0,,,,1.0,2.0,2.0,1.0,,,,,,,1.0,,,,,home,main,,,,,
15,15,M,False,Iván Rossi,ivan-rossi,I. Rossi,M,29,581728,AR,Argentina,EUR,752112000,58.0,44.0,5.0,2.0,,,,,90.0,70.0,7.0,17.0,7.0,7.1,,3.0,2.0,5.0,,1.0,2.0,,1.0,,,,3.0,,,,,,,1.0,1.0,,,home,main,,,,,
77,77,M,False,Ronaldo Martinez,ronaldo-martinez,R. Martinez,F,67,874452,PY,Paraguay,EUR,830390400,19.0,10.0,,,,,,,90.0,36.0,6.1,19.0,6.1,6.3,,1.0,9.0,5.0,1.0,,2.0,1.0,1.0,4.0,1.0,1.0,,,2.0,,,,,2.0,,,,home,main,,,,,
11,11,M,False,Nicolás Castro,nicolas-castro,N. Castro,M,34,896985,AR,Argentina,EUR,650678400,33.0,23.0,4.0,1.0,,,,,90.0,60.0,7.0,19.0,7.0,7.1,4.0,,6.0,7.0,2.0,,5.0,1.0,2.0,2.0,1.0,,1.0,,,,,1.0,,1.0,1.0,True,1.0,home,main,,,,,
18,18,M,False,Sasha Marcich,sasha-marcich,S. Marcich,D,41,992126,AR,Argentina,EUR,896400000,19.0,13.0,,,,,,,87.0,28.0,6.5,12.0,6.5,6.6,1.0,1.0,3.0,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,2.0,,,home,main,,,,,
20,20,F,False,Nicolás Servetto,servetto-nicolas,N. Servetto,F,71,838304,AR,Argentina,EUR,827884800,18.0,13.0,,,,,,,87.0,31.0,6.7,13.0,6.7,6.8,1.0,1.0,6.0,5.0,1.0,,,1.0,3.0,5.0,3.0,,,,,,,,1.0,,1.0,,,home,main,,,,,
10,10,F,True,Vicente Taborda,vicente-taborda,V. Taborda,M,294,1131037,AR,Argentina,EUR,992649600,15.0,12.0,3.0,2.0,,,,,29.0,31.0,6.5,11.0,6.5,6.5,1.0,,4.0,2.0,,,1.0,1.0,1.0,3.0,,1.0,,,,Vicente Taborda,,1.0,,,,,,home,substitute,,,,,
7,7,M,True,‪Ignacio Schor,ignacio-schor,‪I. Schor,M,101,1092305,AR,Argentina,EUR,965347200,4.0,3.0,,,,,,,20.0,7.0,6.7,1.0,6.7,6.8,,1.0,1.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,home,substitute,,,,,
43,43,F,True,Maximiliano Zalazar,maximiliano-zalazar,M. Zalazar,F,82,1067653,AR,Argentina,EUR,984009600,3.0,1.0,,,,,,,20.0,9.0,6.4,7.0,6.4,6.5,2.0,,3.0,,2.0,,,,,1.0,,1.0,,,,Maximiliano Zalazar,,,,,1.0,,,home,substitute,,,,,
29,29,F,True,Nadir Zeineddin,nadir-zeineddin,N. Zeineddin,F,12,1093117,AR,Argentina,EUR,958348800,1.0,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,
1,1,G,True,Alejandro Sánchez,alejandro-sanchez,A. Sánchez,G,2,789919,AR,Argentina,EUR,530582400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,
27,27,D,True,Miguel Jacquet,miguel-jacquet,M. Jacquet,D,32,385746,PY,Paraguay,EUR,800928000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,
4,4,D,True,Nicolás Morgantini,nicolas-morgantini,N. Morgantini,D,11,941545,AR,Argentina,EUR,779241600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,
6,6,D,True,Gastón Suso,gaston-suso,G. Suso,D,26,850925,AR,Argentina,EUR,668736000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,
32,32,M,True,Franco Baldassarra,franco-baldassarra,F. Baldassarra,M,15,981340,AR,Argentina,EUR,907027200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,
39,39,M,True,Alejo Monje,alejo-monje,A. Monje,M,1,1466521,AR,Argentina,EUR,997142400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alejo Monje,,,,,,,,home,substitute,,,,,
33,33,M,True,Jerónimo Cacciabue,jeronimo-cacciabue,J. Cacciabue,M,93,922458,AR,Argentina,EUR,885600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,
1,1,G,False,Lucas Cháves,lucas-chaves,L. Cháves,G,83,789855,AR,Argentina,EUR,807926400,32.0,23.0,15.0,6.0,1.0,3.0,,,90.0,40.0,7.4,9.0,7.4,7.2,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,away,main,,,,,
12,12,D,False,Guillermo Soto,guillermo-soto,G. Soto,D,269,924526,CL,Chile,EUR,758160000,25.0,18.0,4.0,1.0,,,,,90.0,64.0,7.2,24.0,7.2,7.4,3.0,2.0,3.0,6.0,,3.0,4.0,,1.0,,,,3.0,,1.0,,,,,1.0,,,,away,main,,,,,
2,2,D,False,Fernando Tobio,fernando-tobio,F. Tobio,D,34,80918,AR,Argentina,EUR,624672000,42.0,26.0,12.0,3.0,,,,,90.0,56.0,7.2,16.0,7.2,7.3,,6.0,2.0,7.0,,6.0,1.0,,2.0,,,,5.0,,,,,,,,,True,,away,main,,,,,
3,3,D,False,Lucas Carrizo,lucas-carrizo,L. Carrizo,D,4,871798,AR,Argentina,EUR,864086400,48.0,31.0,20.0,8.0,,,,,90.0,58.0,7.1,17.0,7.1,6.9,,,2.0,5.0,,4.0,4.0,1.0,,,,,,,2.0,,,,,,,,,away,main,1.0,,,,
14,14,D,False,Guillermo Benitez,guillermo-benitez,G. Benitez,D,12,830583,AR,Argentina,EUR,755308800,23.0,11.0,4.0,,,,,,89.0,52.0,6.4,24.0,6.4,6.4,3.0,,5.0,2.0,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,1.0,away,main,,1.0,,,
15,15,M,False,Agostino Spina,agostino-spina,A. Spina,M,24,1103068,AR,Argentina,EUR,1004486400,44.0,24.0,6.0,,,,,,90.0,55.0,6.9,20.0,6.9,7.0,,2.0,,4.0,,,2.0,,,,,1.0,4.0,,,Agostino Spina,,,,,,,,away,main,1.0,,,,
21,21,M,False,Walter Mazzantti,walter-mazzantti,W. Mazzantti,F,28,861339,AR,Argentina,EUR,841881600,12.0,8.0,1.0,,,,,,89.0,32.0,6.5,13.0,6.5,6.7,,,6.0,5.0,2.0,,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,3.0,,,,,1.0,1.0,,,away,main,1.0,,,,
5,5,M,False,Santiago Hezze,santiago-hezze,S. Hezze,M,570,989886,AR,Argentina,EUR,1003708800,51.0,33.0,12.0,7.0,,,,,90.0,65.0,7.1,22.0,7.1,7.2,1.0,2.0,3.0,6.0,,1.0,4.0,,,,,,3.0,,,,,,,3.0,1.0,,,away,main,,,,,
33,33,M,False,Juan Gauto,juan-gauto,J. Gauto,M,496,1018426,AR,Argentina,EUR,1086134400,23.0,15.0,2.0,2.0,,,,,89.0,44.0,6.7,18.0,6.7,6.9,2.0,1.0,8.0,5.0,3.0,,1.0,,2.0,4.0,3.0,,1.0,,,,,1.0,,2.0,1.0,,1.0,away,main,,,,,
9,9,F,False,Nicolás Cordero,nicolas-cordero,N. Cordero,F,125,860051,AR,Argentina,EUR,923788800,13.0,7.0,1.0,1.0,,,,,86.0,26.0,6.7,11.0,6.7,6.7,,2.0,8.0,5.0,1.0,,2.0,1.0,4.0,,,,,,3.0,,,,,,,,,away,main,1.0,,,,
7,7,F,False,Matías Cóccaro,matias-coccaro,M. Cóccaro,F,197,903286,UY,Uruguay,EUR,879552000,20.0,8.0,6.0,1.0,,,,,78.0,30.0,6.8,17.0,6.8,6.9,,1.0,9.0,2.0,1.0,,,1.0,3.0,3.0,,1.0,,,1.0,,,2.0,,1.0,1.0,,,away,main,,,1.0,1.0,1.0
25,25,D,True,César Ibáñez,cesar-ibanez,C. Ibáñez,D,57,988327,AR,Argentina,EUR,929577600,4.0,2.0,2.0,1.0,,,,,12.0,9.0,6.5,4.0,6.5,6.5,,,3.0,1.0,,,1.0,,2.0,,,,,,1.0,,,,,,,,,away,substitute,1.0,,,,
19,19,F,True,Juan Manuel García,juan-manuel-garcia,J. M. García,F,74,830755,AR,Argentina,EUR,721699200,7.0,2.0,2.0,,,,,,21.0,12.0,6.7,6.0,6.7,6.8,,2.0,2.0,4.0,,,2.0,,1.0,,,,,,1.0,,,,,,1.0,,,away,substitute,,,,,
35,35,D,True,Patricio Pizarro,patricio-pizarro,P. Pizarro,D,17,1384823,AR,Argentina,EUR,964656000,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,Patricio Pizarro,,,,,,,,away,substitute,,,,,
30,30,F,True,Jonas Acevedo,jonas-acevedo,J. Acevedo,M,22,875895,AR,Argentina,EUR,855187200,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,
26,26,F,True,Enzo Luna,enzo-luna,E. Luna,F,9,1385677,AR,Argentina,EUR,1023667200,1.0,1.0,,,,,,,1.0,7.0,,4.0,,,,,3.0,1.0,3.0,,,,,1.0,1.0,,,,,Enzo Luna,,,,,,,,away,substitute,,,,,
40,40,G,True,Nazareno Durán,nazareno-duran,N. Durán,G,1,1510814,AR,Argentina,EUR,1084147200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,
4,4,D,True,Fernando Torrent,fernando-torrent,F. Torrent,D,16,943996,AR,Argentina,EUR,686361600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,,
