shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.fouls,statistics.expectedAssists,statistics.outfielderBlock,statistics.totalTackle,statistics.wasFouled,player.firstName,player.lastName,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.interceptionWon,statistics.aerialLost,captain,statistics.totalCross,statistics.accurateCross,statistics.keyPass,statistics.shotOffTarget,statistics.penaltyWon,statistics.totalOffside,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.goals,team,player_type,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.penaltyConceded
1,1,G,False,Tomás Marchiori,tomas-marchiori,T. Marchiori,G,14,898750,AR,Argentina,EUR,790560000,23.0,10.0,19.0,6.0,1.0,2.0,2.0,5.0,90.0,33.0,8.1,13.0,0.0,8.1,8.0,0.5443,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,
3,3,D,False,Marcelo Ortíz,marcelo-ortiz,M. Ortíz,D,5,895340,AR,Argentina,EUR,758419200,16.0,5.0,7.0,1.0,5.0,,,,90.0,37.0,6.4,14.0,0.0,6.4,6.6,,1.0,4.0,1.0,4.0,0.00507214,,,,,,,,,,,,,,,,,,,,,,home,main,,,
2,2,D,False,Bruno Bianchi,bruno-felix-bianchi,B. Bianchi,D,10,34007,AR,Argentina,EUR,603676800,24.0,14.0,14.0,7.0,3.0,,,,90.0,31.0,6.7,10.0,0.0,6.7,6.8,,2.0,1.0,4.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,home,main,,,
20,20,D,False,Nicolás Romero,nicolas-romero,N. Romero,D,25,1102816,AR,Argentina,EUR,1069977600,24.0,13.0,9.0,4.0,10.0,,,,90.0,42.0,7.5,12.0,0.0,7.5,7.5,,2.0,2.0,5.0,,0.00892153,2.0,2.0,,Nicolás Romero,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,home,main,,,
39,39,D,False,Matías Orihuela,matias-orihuela,M. Orihuela,D,15,584422,AR,Argentina,EUR,698284800,22.0,18.0,3.0,2.0,3.0,,,,90.0,55.0,7.8,11.0,0.0,7.8,7.9,,1.0,3.0,8.0,,0.0107878,1.0,5.0,2.0,,,,1.0,,,3.0,2.0,,,,,,,,,,,home,main,,,
24,24,M,False,Renzo Tesuri,renzo-tesuri,R. Tesuri,M,15,897044,AR,Argentina,EUR,834105600,20.0,10.0,4.0,1.0,1.0,,,,90.0,38.0,7.1,13.0,0.0,7.1,7.1,,1.0,4.0,6.0,1.0,0.128528,1.0,4.0,1.0,,,2.0,,,,,1.0,,,,,,,,,,,home,main,,,
8,8,M,False,Guillermo Acosta,guillermo-acosta,G. Acosta,M,15,830747,AR,Argentina,EUR,594259200,35.0,25.0,5.0,2.0,1.0,,,,88.0,47.0,7.3,11.0,0.0,7.3,7.1,,1.0,2.0,7.0,,0.0538387,,3.0,2.0,,,,,1.0,1.0,1.0,2.0,True,1.0,1.0,1.0,,,,,,,home,main,,,
5,5,M,False,Adrián Sánchez,adrian-sanchez,A. Sánchez,M,46,1009957,AR,Argentina,EUR,926640000,21.0,15.0,3.0,2.0,5.0,,,,90.0,42.0,7.0,10.0,0.0527,7.0,7.2,,4.0,3.0,7.0,,0.0187154,,1.0,2.0,,,1.0,2.0,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,home,main,,,
17,17,M,False,Braian Guille,braian-guille,B. Guille,F,21,873642,AR,Argentina,EUR,870307200,20.0,13.0,4.0,2.0,,,,,64.0,41.0,6.7,17.0,0.0,6.7,6.9,,,8.0,5.0,1.0,0.0269891,,2.0,1.0,,,1.0,4.0,4.0,2.0,,,,3.0,1.0,1.0,,1.0,,,,,home,main,,,
37,37,F,False,Mateo Coronel,mateo-coronel,M. Coronel,F,202,898982,AR,Argentina,EUR,909187200,14.0,8.0,1.0,,,,,,71.0,19.0,6.4,9.0,0.0,6.4,6.4,,,4.0,,2.0,0.019643,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,home,main,,,
19,19,F,False,Marcelo Estigarribia,marcelo-estigarribia,M. Estigarribia,F,45,943166,AR,Argentina,EUR,797472000,28.0,12.0,2.0,,2.0,,,,88.0,42.0,7.5,21.0,0.855,7.5,7.5,,9.0,6.0,10.0,1.0,0.0076946,1.0,,,,,1.0,,1.0,1.0,,4.0,,,,,,,,2.0,2.0,1.0,home,main,,,
18,18,F,True,Ramiro Ruiz Rodríguez,ramiro-ruiz-rodriguez,R. R. Rodríguez,F,38,935094,AR,Argentina,EUR,953596800,5.0,3.0,1.0,,,,,,26.0,14.0,6.2,10.0,0.0,6.2,6.2,,1.0,5.0,1.0,1.0,0.0218855,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,home,substitute,,,
16,16,M,True,Bautista Kociubinski,bautista-kociubinski,B. Kociubinski,M,58,1086935,AR,Argentina,EUR,988243200,4.0,4.0,1.0,1.0,,,,,19.0,8.0,6.5,2.0,0.0,6.5,6.6,,1.0,3.0,1.0,,,,,,Bautista Kociubinski,,1.0,,1.0,,2.0,1.0,,1.0,,,,,,,,,home,substitute,,,
15,15,M,True,Francisco Di Franco,francisco-di-franco,F. D. Franco,M,7,331867,AR,Argentina,EUR,791251200,1.0,1.0,,,,,,,13.0,5.0,6.1,3.0,0.0,6.1,6.2,,,3.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,home,substitute,,,
9,9,F,True,Ignacio Maestro Puch,maestro-puch-ignacio,I. M. Puch,F,305,1096798,AR,Argentina,EUR,1060732800,1.0,,,,1.0,,,,13.0,5.0,6.3,2.0,0.0,6.3,6.3,,,3.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,home,substitute,,,
12,12,G,True,Luis Ojeda,luis-ojeda,L. Ojeda,G,5,122654,AR,Argentina,EUR,637977600,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
34,34,D,True,Agustín Lagos,agustin-lagos,A. Lagos,D,21,993929,AR,Argentina,EUR,1002585600,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
31,31,D,True,Yonatan Cabral,yonatan-cabral,Y. Cabral,D,8,385318,AR,Argentina,EUR,705456000,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
30,30,D,True,Wilson Ibarrola,wilson-ibarrola,W. Ibarrola,D,27,922783,PY,Paraguay,EUR,836265600,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
4,4,D,True,Hernán de la Fuente,hernan-de-la-fuente,H. d. l. Fuente,D,94,912936,AR,Argentina,EUR,852595200,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
6,6,D,True,Alexis Francisco Flores,alexis-francisco-flores,A. F. Flores,D,102,1003008,AR,Argentina,EUR,1010707200,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
21,21,M,True,Marcelo Gonzalez,gonzalez-marcelo,M. Gonzalez,M,38,924350,PY,Paraguay,EUR,833155200,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
11,11,F,True,Cristian Menéndez,cristian-menendez,C. Menéndez,F,24,47333,AR,Argentina,EUR,575942400,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,
33,33,G,False,Rodrigo Rey,rodrigo-rey,R. Rey,G,104,158249,AR,Argentina,EUR,668390400,25.0,18.0,10.0,3.0,1.0,,1.0,1.0,90.0,32.0,6.7,7.0,0.0,6.7,6.8,0.1405,,,,,,,,,,,,,,,,,,,,,,,,,,,away,main,2.0,2.0,
4,4,D,False,Patricio Ostachuk,patricio-ostachuk,P. Ostachuk,D,18,1093193,AR,Argentina,EUR,957484800,31.0,16.0,8.0,1.0,1.0,,,,81.0,56.0,6.9,21.0,0.0429,6.9,7.1,,3.0,2.0,8.0,1.0,0.0733547,,1.0,3.0,Javier Osatchuk,,,,1.0,1.0,2.0,1.0,,1.0,,1.0,,,,2.0,,,away,main,,,1.0
2,2,D,False,Joaquín Laso,joaquin-laso,J. Laso,D,55,789853,AR,Argentina,EUR,647049600,57.0,42.0,14.0,4.0,2.0,,,,90.0,71.0,6.5,16.0,0.0496,6.5,6.6,,1.0,8.0,6.0,1.0,,,2.0,2.0,,,1.0,,1.0,1.0,1.0,6.0,,1.0,,,,,,,1.0,,away,main,,,
13,13,D,False,Christian Javier Báez,christian-javier-baez,C. J. Báez,D,63,136758,PY,Paraguay,EUR,639619200,48.0,33.0,13.0,5.0,3.0,,,,90.0,59.0,6.7,16.0,0.1472,6.7,6.6,,1.0,2.0,3.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,away,main,,,
79,79,D,False,Ayrton Costa,ayrton-costa,A. Costa,D,61,976485,AR,Argentina,EUR,931824000,61.0,43.0,11.0,3.0,,,,,90.0,86.0,7.1,22.0,0.1401,7.1,7.3,,2.0,4.0,5.0,1.0,0.135827,1.0,1.0,,,,1.0,1.0,2.0,2.0,3.0,1.0,,1.0,1.0,3.0,1.0,,,1.0,1.0,,away,main,,,
23,23,M,False,Iván Marcone,ivan-marcone,I. Marcone,M,213,122634,AR,Argentina,EUR,644371200,60.0,50.0,8.0,3.0,1.0,,,,89.0,66.0,6.6,11.0,0.0,6.6,6.7,,1.0,3.0,2.0,,0.0156395,,,,,,1.0,,1.0,1.0,1.0,2.0,True,,,,,,,,,,away,main,,,
30,30,M,False,Mateo Barcia,mateo-barcia,M. Barcia,M,60,1116590,UY,Uruguay,EUR,982540800,8.0,6.0,,,,,,,75.0,33.0,6.4,16.0,0.1149,6.4,6.5,,2.0,7.0,7.0,1.0,,,4.0,,Mateo Barcia,,1.0,3.0,2.0,1.0,,1.0,,2.0,,,,,,1.0,2.0,,away,main,,,
28,28,M,False,Sergio Ortiz,ortiz-sergio,S. Ortíz,M,21,1199248,AR,Argentina,EUR,982886400,26.0,17.0,,,,,,,75.0,40.0,6.8,16.0,0.0,6.8,6.8,,1.0,4.0,5.0,2.0,0.0252096,,4.0,,Sergio Ortíz,,,,,,,2.0,,6.0,,1.0,,,,,,,away,main,,,
14,14,M,False,Martín Sarrafiore,martin-sarrafiore,M. Sarrafiore,M,162,789677,AR,Argentina,EUR,869356800,12.0,9.0,1.0,1.0,1.0,,,,45.0,21.0,6.7,7.0,0.0,6.7,6.7,,2.0,4.0,2.0,1.0,0.0796722,,,,,,,,,,1.0,3.0,,4.0,2.0,1.0,,,,,,,away,main,,,
29,29,M,False,Braian Martínez,braian-martinez,B. Martínez,F,31,1020255,AR,Argentina,EUR,934934400,22.0,16.0,,,,,,,90.0,51.0,6.1,22.0,0.0,6.1,6.4,,,9.0,6.0,1.0,0.0370984,,,4.0,,,,3.0,7.0,2.0,,,,6.0,1.0,1.0,,,,,,,away,main,,,
9,9,F,False,Martín Cauteruccio,martin-cauteruccio,M. Cauteruccio,F,266,47435,UY,Uruguay,EUR,545356800,14.0,13.0,1.0,1.0,,,,,90.0,20.0,6.6,3.0,0.142,6.6,6.7,,,5.0,1.0,,0.0141048,,,1.0,,,1.0,1.0,1.0,,,2.0,,,,,1.0,,1.0,1.0,1.0,,away,main,,,
34,34,F,True,Matías Giménez Rojas,matias-gimenez-rojas,M. Giménez Rojas,F,89,977680,AR,Argentina,EUR,920678400,13.0,9.0,1.0,,,,,,45.0,22.0,6.4,9.0,0.0903,6.4,6.4,,,5.0,1.0,,,,1.0,,,,,,2.0,,,3.0,,1.0,,,,,,,1.0,,away,substitute,,,
8,8,M,True,Kevin Lopez,lopez-kevin,K. López,M,38,1163996,AR,Argentina,EUR,1009497600,17.0,13.0,7.0,4.0,,,,,15.0,21.0,6.7,6.0,0.0197,6.7,6.8,,,1.0,,,0.0474835,,,,,,,,,,,1.0,,2.0,,,1.0,,,,,,away,substitute,,,
35,35,F,True,Santiago Salle,salle-santiago,S. Salle,F,11,1461801,AR,Argentina,EUR,1086307200,4.0,2.0,1.0,,,,,,15.0,14.0,6.8,5.0,0.0,6.8,7.0,,,1.0,4.0,1.0,,,2.0,1.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,away,substitute,,,
18,18,F,True,Tomas Rambert,rambert-tomas,T. Rambert,F,9,1199249,AR,Argentina,EUR,1073088000,,,,,,,,,9.0,2.0,6.6,,0.0,6.6,6.6,,,,1.0,,,,,1.0,Tomás Rambert,,,,,,,,,,,,,,,,,,away,substitute,,,
16,16,F,True,Santiago Hidalgo,santiago-hidalgo,S. Hidalgo,F,76,1199247,AR,Argentina,EUR,1108598400,,,,,,,,,12.0,2.0,6.6,,0.0248,6.6,6.6,,,,,,,,,,Santiago Hidalgo,,,,,,,,,,,,1.0,,,,,,away,substitute,,,
25,25,G,True,Diego Segovia,diego-segovia,D. Segovia,G,19,1117018,UY,Uruguay,EUR,958348800,,,,,,,,,,,,,0.0,,,,,,,,,,,,Diego Segovia,,,,,,,,,,,,,,,,,,away,substitute,,,
38,38,D,True,Agustin Quiroga,quiroga-agustin,A. Quiroga,G,2,1484795,AR,Argentina,EUR,1018051200,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,
15,15,D,True,Damián Pérez,damian-perez,D. Pérez,D,26,39697,AR,Argentina,EUR,598752000,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,
19,19,D,True,Luciano Gómez,luciano-gomez,L. Gómez,M,18,830605,AR,Argentina,EUR,827452800,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,
21,21,F,True,Javier Vallejo,javier-vallejo,J. Vallejo,M,92,1199242,AR,Argentina,EUR,1073088000,,,,,,,,,,,,,0.0,,,,,,,,,,,,Javier Vallejo,,,,,,,,,,,,,,,,,,away,substitute,,,
5,5,M,True,Agustín Mulet,agustin-mulet,A. Mulet,M,54,1093121,AR,Argentina,EUR,951177600,,,,,,,,,,,,,0.0,,,,,,,,,,,,Agustín Mulet,,,,,,,,,,,,,,,,,,away,substitute,,,
39,39,F,True,Santiago Lopez,lopez-santiago,S. López,F,121,1482391,AR,Argentina,EUR,1139443200,,,,,,,,,,,,,0.0,,,,,,,,,,,,Santiago López,,,,,,,,,,,,,,,,,,away,substitute,,,
