shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.keyPass,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,player.firstName,player.lastName,statistics.totalCross,statistics.aerialLost,statistics.aerialWon,statistics.shotOffTarget,statistics.lastManTackle,statistics.totalContest,statistics.wonContest,statistics.blockedScoringAttempt,statistics.onTargetScoringAttempt,statistics.accurateCross,statistics.bigChanceCreated,statistics.totalOffside,statistics.bigChanceMissed,statistics.hitWoodwork,team,player_type,statistics.outfielderBlock,statistics.goalAssist,statistics.goals
13,13,G,False,True,Augusto Batalla,augusto-batalla,A. Batalla,G,161,358910,AR,Argentina,EUR,830822400.0,22.0,14.0,17.0,9.0,1.0,3.0,5.0,90.0,32.0,7.2,9.0,1.0,7.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,
2,2,D,False,,Rafael Pérez,rafael-perez,R. Pérez,D,132,355846,CO,Colombia,EUR,631843200.0,27.0,21.0,4.0,,,,,89.0,36.0,6.3,7.0,,6.3,6.3,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,home,main,,,
35,35,D,False,,Gonzalo Luján,gonzalo-lujan,G. Luján,D,33,1106584,AR,Argentina,EUR,988329600.0,35.0,31.0,4.0,3.0,,,,90.0,46.0,7.0,5.0,,7.0,6.9,3.0,4.0,,,4.0,,3.0,,1.0,Gonzalo Lujan,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,home,main,,,
23,23,D,False,,Gastón Hernández,gaston-hernandez,G. Hernández,D,81,980886,AR,Argentina,EUR,885168000.0,53.0,45.0,5.0,1.0,,,,90.0,73.0,6.6,12.0,,6.6,6.6,7.0,9.0,1.0,1.0,5.0,1.0,5.0,1.0,3.0,,,,2.0,2.0,2.0,,1.0,1.0,,,,,,,,home,main,,,
47,47,M,False,,Agustín Giay,agustin-giay,A. Giay,M,530,1106603,AR,Argentina,EUR,1074211200.0,33.0,27.0,3.0,1.0,,,,90.0,51.0,6.2,11.0,,6.2,6.4,6.0,4.0,2.0,1.0,,,1.0,2.0,1.0,Agustín Giay,,2.0,1.0,,1.0,,2.0,1.0,,,,,,,,home,main,,,
5,5,M,False,,Jalil Elias,jalil-elias,J. Elias,M,151,797031,AR,Argentina,EUR,830390400.0,73.0,70.0,4.0,3.0,,,,90.0,80.0,6.7,4.0,1.0,6.7,6.9,5.0,4.0,1.0,,2.0,,2.0,,3.0,,,,1.0,2.0,,,,,1.0,,,,,,,home,main,,,
22,22,M,False,,Gastón Campi,gaston-campi,G. Campi,D,52,351824,AR,Argentina,EUR,670896000.0,12.0,10.0,2.0,2.0,,,,45.0,15.0,6.6,4.0,,6.6,6.7,2.0,2.0,,1.0,,,,,1.0,,,1.0,,2.0,,,,,,1.0,,,,,,home,main,,,
21,21,M,False,,Malcom Braida,malcom-braida,M. Braida,M,108,994453,AR,Argentina,EUR,863827200.0,43.0,33.0,2.0,1.0,,,,90.0,68.0,7.0,17.0,4.0,7.0,7.1,6.0,6.0,3.0,,1.0,,1.0,2.0,1.0,,,4.0,1.0,1.0,,,3.0,2.0,,,1.0,1.0,1.0,,,home,main,,,
41,41,F,False,,Ivan Leguizamon,ivan-leguizamon,I. Leguizamon,M,150,1161823,PY,Paraguay,EUR,1025654400.0,17.0,14.0,1.0,1.0,,,,68.0,30.0,6.3,8.0,,6.3,6.5,3.0,3.0,2.0,,,,,2.0,,Ivan Leguizamon,,1.0,,,1.0,,2.0,1.0,1.0,1.0,,,1.0,1.0,,home,main,,,
8,8,F,False,,Gonzalo Maroni,gonzalo-maroni,G. Maroni,M,335,840510,AR,Argentina,EUR,921715200.0,27.0,24.0,,,,,,61.0,40.0,6.5,9.0,2.0,6.5,6.7,3.0,1.0,,1.0,,,,,1.0,,,4.0,,,1.0,,2.0,1.0,1.0,,2.0,1.0,,1.0,,home,main,,,
