shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.totalClearance,statistics.totalTackle,statistics.wasFouled,statistics.possessionLostCtrl,statistics.keyPass,player.firstName,player.lastName,statistics.aerialLost,statistics.challengeLost,statistics.outfielderBlock,statistics.interceptionWon,statistics.aerialWon,statistics.shotOffTarget,statistics.fouls,statistics.dispossessed,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.bigChanceCreated,statistics.blockedScoringAttempt,statistics.goals,statistics.bigChanceMissed,statistics.hitWoodwork,team,player_type,statistics.errorLeadToAGoal,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalOffside
21,21,G,False,True,Mariano Andújar,mariano-andujar,M. Andújar,G,83,12758,AR,Argentina,EUR,428371200.0,11.0,11.0,2.0,2.0,90.0,16.0,6.9,6.9,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,
29,29,D,False,,Leonardo Godoy,leonardo-godoy,L. Godoy,D,101,794006,AR,Argentina,EUR,799027200.0,43.0,37.0,3.0,1.0,90.0,62.0,7.5,7.5,7.5,6.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,16.0,2.0,,,,,,,,,,,,,,,,,,home,main,,,,
4,4,D,False,,Santiago Núñez,santiago-nunez,S. Núñez,D,41,1161819,AR,Argentina,EUR,956966400.0,56.0,51.0,8.0,6.0,90.0,68.0,7.2,7.2,7.4,,,2.0,1.0,,6.0,,1.0,5.0,,Santiago Núñez,,1.0,1.0,1.0,1.0,,,,,,,,,,,,home,main,,,,
26,26,D,False,,Luciano Lollo,luciano-lollo,L. Lollo,D,38,249009,AR,Argentina,EUR,543974400.0,67.0,59.0,9.0,8.0,90.0,76.0,7.3,7.3,7.4,,,5.0,4.0,,3.0,2.0,,9.0,,,,,,,1.0,2.0,1.0,5.0,,,,,,,,,home,main,,,,
13,13,D,False,,Gastón Benedetti,gaston-benedetti,G. Benedetti,M,80,1018407,AR,Argentina,EUR,985824000.0,40.0,38.0,3.0,3.0,90.0,63.0,7.2,7.2,7.4,3.0,1.0,4.0,7.0,2.0,1.0,4.0,,9.0,,,,,2.0,,1.0,1.0,,,2.0,2.0,,,,,,,home,main,,,,
5,5,M,False,,Santiago Ascacíbar,santiago-ascacibar,S. Ascacíbar,M,758,830667,AR,Argentina,EUR,856828800.0,74.0,66.0,3.0,3.0,90.0,89.0,7.2,7.2,7.4,,,10.0,5.0,1.0,4.0,5.0,,9.0,1.0,,,2.0,2.0,,1.0,,1.0,5.0,,,1.0,,,,,,home,main,,,,
30,30,M,False,,Jorge Rodríguez,jorge-rodriguez,J. Rodríguez,M,85,583332,AR,Argentina,EUR,811123200.0,63.0,50.0,12.0,5.0,90.0,78.0,7.8,7.8,7.7,1.0,1.0,2.0,9.0,2.0,1.0,7.0,,13.0,1.0,,,,1.0,,1.0,,,1.0,,2.0,,1.0,1.0,,,,home,main,,,,
15,15,M,False,,Franco Zapiola Yamartino,zapiola-yamartino-franco,F. Z. Yamartino,M,77,1212545,AR,Argentina,EUR,982540800.0,36.0,26.0,4.0,1.0,60.0,54.0,6.6,6.6,6.6,4.0,,7.0,7.0,1.0,,4.0,2.0,19.0,,,,,2.0,,,1.0,,3.0,1.0,,1.0,,,,,,home,main,,,,
10,10,F,False,,Benjamín Rollheiser,benjamin-rollheiser,B. Rollheiser,F,385,922454,AR,Argentina,EUR,953856000.0,43.0,35.0,8.0,6.0,74.0,56.0,9.1,9.1,9.2,5.0,2.0,2.0,3.0,2.0,,2.0,,13.0,3.0,,,,1.0,,,,,,,1.0,3.0,,,2.0,,,home,main,,,,
9,9,F,False,,Guido Carrillo,guido-carrillo,G. Carrillo,F,286,174519,AR,Argentina,EUR,675129600.0,29.0,25.0,,,76.0,34.0,7.3,7.3,7.6,,,1.0,8.0,,,,2.0,4.0,2.0,,,1.0,,,,6.0,2.0,1.0,,,,1.0,,,,,home,main,,,,
