shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.totalContest,statistics.shotOffTarget,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.expectedAssists,statistics.aerialWon,player.firstName,player.lastName,statistics.aerialLost,statistics.outfielderBlock,statistics.accurateCross,statistics.wonContest,statistics.dispossessed,statistics.onTargetScoringAttempt,statistics.goalAssist,statistics.bigChanceCreated,statistics.blockedScoringAttempt,statistics.hitWoodwork,statistics.goals,team,player_type,statistics.totalOffside,statistics.bigChanceMissed
1,1,G,False,True,Jorge Broun,jorge-broun,J. Broun,G,56,789406,AR,Argentina,EUR,517449600,20.0,15.0,12.0,7.0,3.0,5.0,1.0,1.0,90.0,28.0,6.7,6.0,0.0,6.7,7.2,-0.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,
4,4,D,False,,Damián Martínez,damian-martinez,D. Martínez,D,28,38106,AR,Argentina,EUR,633744000,24.0,19.0,4.0,2.0,,,,,90.0,51.0,6.3,13.0,0.011,6.3,6.4,,2.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0124009,,,,,,,,,,,,,,,home,main,,
15,15,D,False,,Facundo Mallo,facundo-mallo,F. Mallo,D,60,877400,UY,Uruguay,EUR,790214400,30.0,19.0,8.0,2.0,,,,,90.0,43.0,6.6,11.0,0.0,6.6,6.6,,,1.0,6.0,1.0,,,4.0,3.0,4.0,,,,,2.0,,,,,,,,,,,,,,home,main,,
6,6,D,False,,Juan Komar,juan-komar,J. Komar,D,108,376734,AR,Argentina,EUR,839894400,15.0,12.0,3.0,3.0,,,,,90.0,35.0,7.2,3.0,0.0752,7.2,7.3,,,1.0,7.0,,,1.0,9.0,4.0,1.0,1.0,,,0.00582222,5.0,,,1.0,1.0,,,,,,,,,,home,main,,
16,16,D,False,,Alan Rodríguez,alan-rodriguez,A. Rodríguez,D,189,990289,PY,Paraguay,EUR,966297600,22.0,13.0,1.0,,,,,,90.0,46.0,6.9,13.0,0.0,6.9,6.8,,6.0,1.0,5.0,,1.0,,4.0,1.0,2.0,1.0,1.0,2.0,0.20634,1.0,,,,,2.0,1.0,,,,,,,,home,main,,
8,8,M,False,,Agustin Toledo,toledo-agustin,A. Toledo,M,15,1115981,AR,Argentina,EUR,951868800,27.0,16.0,2.0,1.0,,,,,90.0,40.0,6.9,12.0,0.0218,6.9,6.9,,,7.0,6.0,1.0,,1.0,2.0,4.0,3.0,,4.0,2.0,0.00823539,3.0,,,2.0,,,,,,,,,,,home,main,,
5,5,M,False,,Francis Mac Allister,francis-mac-allister,F. M. Allister,M,76,1089454,AR,Argentina,EUR,815011200,36.0,30.0,6.0,3.0,,,,,90.0,51.0,6.5,10.0,0.0,6.5,6.6,,2.0,5.0,1.0,2.0,,,1.0,3.0,1.0,,1.0,,0.0392315,,,,1.0,1.0,,,1.0,,,,,,,home,main,,
22,22,M,False,,Lautaro Giaccone,lautaro-giaccone,L. Giaccone,M,132,1087087,AR,Argentina,EUR,980985600,16.0,11.0,1.0,1.0,,,,,70.0,37.0,6.7,14.0,0.0663,6.7,6.8,,2.0,6.0,6.0,2.0,4.0,1.0,,1.0,2.0,1.0,1.0,,0.0170528,1.0,Laurtaro Giaccone,,,,1.0,2.0,1.0,1.0,,,,,,home,main,,
10,10,M,False,,Ignacio Malcorra,ignacio-malcorra,I. Malcorra,M,141,789427,AR,Argentina,EUR,554083200,24.0,17.0,5.0,2.0,,,,,84.0,42.0,6.2,18.0,0.0894,6.2,6.6,,2.0,8.0,3.0,4.0,2.0,,1.0,,,1.0,,2.0,0.159582,1.0,,,1.0,,,1.0,2.0,,1.0,1.0,2.0,,,home,main,,
13,13,M,False,,Jaminton Campaz,jaminton-campaz,Jaminton Campaz,M,754,877299,CO,Colombia,EUR,959126400,18.0,13.0,2.0,2.0,,,,,88.0,52.0,7.2,18.0,0.0444,7.2,7.5,,6.0,8.0,9.0,3.0,9.0,2.0,,,2.0,1.0,,3.0,0.521169,,,,,,1.0,6.0,2.0,,1.0,1.0,,,,home,main,,
