shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.aerialLost,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.onTargetScoringAttempt,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.expectedAssists,statistics.aerialWon,statistics.totalContest,statistics.wonContest,statistics.totalClearance,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.blockedScoringAttempt,statistics.outfielderBlock,statistics.accurateCross,captain,statistics.bigChanceCreated,statistics.goalAssist,statistics.totalOffside,statistics.goals,team,player_type,statistics.punches,statistics.hitWoodwork
25,25,G,False,Matheus Cunha,Matheus Cunha,,matheus-cunha,Matheus Cunha,G,1043,1105835,BR,Brazil,EUR,990662400,42.0,37.0,12.0,7.0,1.0,3.0,3.0,90.0,51.0,7.0,6.0,0.0,7.0,7.2,0.0492,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,
43,43,D,False,Wesley França,,,wesley-franca,W. França,D,649,1134200,BR,Brazil,EUR,1062806400,41.0,36.0,,,,,,90.0,68.0,7.0,12.0,0.0244,7.0,7.4,,3.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0315118,,,,,,,,,,,,,,,home,main,,
23,23,D,False,David Luiz,,,david-luiz,D. Luiz,D,5550,21300,BR,Brazil,EUR,546048000,73.0,61.0,5.0,5.0,,,,90.0,93.0,7.4,18.0,0.0,7.4,7.5,,2.0,,2.0,9.0,,,,,5.0,,,,0.0505981,3.0,3.0,1.0,6.0,,,,,,,,,,,home,main,,
4,4,D,False,Léo Pereira,,,leo-pereira,Léo Pereira,D,1257,358548,BR,Brazil,EUR,823046400,88.0,73.0,9.0,5.0,,,,90.0,106.0,7.6,18.0,0.296,7.6,7.8,,,,2.0,5.0,1.0,,,1.0,2.0,,,2.0,0.0386897,1.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,,,,,,,home,main,,
6,6,D,False,Ayrton Lucas,,,ayrton-lucas,Ayrton Lucas,D,2130,818473,BR,Brazil,EUR,866678400,49.0,46.0,1.0,1.0,,,,90.0,74.0,6.4,10.0,0.0,6.4,6.6,,3.0,,6.0,3.0,,3.0,,1.0,1.0,,2.0,,0.0182528,,3.0,2.0,2.0,,,,,,,,,,,home,main,,
21,21,M,False,Allan,,,allan,Allan,M,903,828839,BR,Brazil,EUR,857347200,79.0,71.0,4.0,2.0,,,,90.0,89.0,6.7,12.0,0.0,6.7,7.0,,3.0,,5.0,4.0,3.0,,,1.0,1.0,3.0,2.0,,0.212641,,,,,,,,,1.0,,,,,,home,main,,
20,20,M,False,Gerson,,,gerson,Gerson,M,7837,611876,BR,Brazil,EUR,864086400,45.0,42.0,2.0,2.0,,,,90.0,63.0,6.3,10.0,0.6856,6.3,6.6,,1.0,,4.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0404542,1.0,1.0,,,2.0,,,1.0,,,,,,,home,main,,
7,7,M,False,Everton Ribeiro,,,everton-ribeiro,Everton Ribeiro,M,5886,145063,BR,Brazil,EUR,608169600,38.0,30.0,3.0,2.0,,,,60.0,52.0,7.0,11.0,0.0201,7.0,7.1,,2.0,1.0,8.0,5.0,4.0,2.0,,,3.0,2.0,1.0,1.0,0.21262,,,,,,2.0,,,1.0,True,1.0,,,,home,main,,
14,14,M,False,Giorgian De Arrascaeta,,,giorgian-de-arrascaeta,G. De Arrascaeta,M,14172,333587,UY,Uruguay,EUR,770428800,44.0,34.0,1.0,,,,,90.0,84.0,7.7,31.0,0.2593,7.7,8.0,,20.0,,8.0,6.0,2.0,5.0,1.0,,1.0,1.0,1.0,4.0,0.995244,,4.0,4.0,1.0,1.0,,,,5.0,,3.0,1.0,,,home,main,,
27,27,M,False,Bruno Henrique,,,bruno-henrique,Bruno Henrique,F,7258,795291,BR,Brazil,EUR,662515200,13.0,10.0,,,,,,75.0,31.0,7.0,9.0,0.1962,7.0,7.1,,1.0,1.0,3.0,7.0,,,,,3.0,3.0,,1.0,0.198279,2.0,2.0,,2.0,1.0,,2.0,,,,1.0,,2.0,,home,main,,
10,10,F,False,Gabriel Barbosa,,,gabriel-barbosa,Gabriel,F,17157,358554,BR,Brazil,EUR,841363200,23.0,19.0,1.0,,,,,90.0,29.0,6.0,5.0,0.9243,6.0,6.1,,,1.0,2.0,,1.0,,1.0,,,,,1.0,0.0650673,,,,,2.0,1.0,1.0,,,,,,2.0,,home,main,,
29,29,M,True,Victor Hugo,,,victor-hugo,V. Hugo,M,1233,1170954,BR,Brazil,EUR,1084233600,27.0,25.0,,,,,,30.0,40.0,7.6,5.0,0.1832,7.6,7.5,,,,,3.0,,,2.0,1.0,2.0,,,,0.0135658,1.0,,,,,,,,,,,,,1.0,home,substitute,,
9,9,F,True,Pedro,,,pedro,Pedro,F,13520,840219,BR,Brazil,EUR,866764800,3.0,3.0,,,,,,15.0,4.0,6.5,,0.0,6.5,6.5,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,home,substitute,,
1,1,G,True,Santos,,,santos,Santos,G,1392,166491,BR,Brazil,EUR,637632000,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
17,17,G,True,Agustín Rossi,,,agustin-rossi,Agustín Rossi,G,890,1140986,AR,Argentina,EUR,808963200,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
15,15,D,True,Fabrício Bruno,,,fabricio-bruno,Fabrício Bruno,D,1004,840220,BR,Brazil,EUR,824083200,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
16,16,D,True,Filipe Luís,,,filipe-luis,F. Luís,D,2909,26029,BR,Brazil,EUR,492393600,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
3,3,D,True,Rodrigo Caio,,,rodrigo-caio,R. Caio,D,1513,166273,BR,Brazil,EUR,745545600,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
2,2,D,True,Guillermo Varela,,,guillermo-varela,G. Varela,D,1068,311456,UY,Uruguay,EUR,732931200,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
30,30,D,True,Pablo,,,pablo,Pablo,D,750,243735,BR,Brazil,EUR,677462400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
48,48,M,True,Igor,Igor,,igor,Igor,M,170,1128846,BR,Brazil,EUR,1046995200,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,
