shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.keyPass,statistics.expectedAssists,player.firstName,player.lastName,statistics.penaltyConceded,statistics.challengeLost,statistics.wasFouled,statistics.shotOffTarget,captain,statistics.dispossessed,statistics.outfielderBlock,statistics.bigChanceMissed,statistics.totalOffside,team,player_type,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.goals,statistics.goalAssist,statistics.penaltyWon
1,1,G,False,Léo Jardim,leo-jardim,L. Jardim,G,498,595598,BR,Brazil,EUR,795657600,26.0,22.0,11.0,7.0,1.0,1.0,90.0,31.0,6.1,4.0,0.0,6.1,6.5,-0.3043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,,,
2,2,D,False,Puma Rodríguez,puma-rodriguez,Puma Rodríguez,D,436,877591,UY,Uruguay,EUR,858297600,38.0,27.0,2.0,2.0,,,90.0,63.0,7.2,20.0,0.2847,7.2,7.3,,8.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.154927,,,,,,,,,,,,home,main,,,,,,
35,35,D,False,Miranda,miranda,Miranda,D,120,926868,BR,Brazil,EUR,948240000,48.0,42.0,6.0,4.0,,,90.0,58.0,6.5,6.0,0.0,6.5,6.5,,,,3.0,1.0,6.0,1.0,,,,,,6.0,1.0,,3.0,1.0,0.00543971,,,,,,,,,,,,home,main,,,,,,
44,44,D,False,Zé Vitor,ze-vitor,Zé Vitor,D,55,1174625,BR,Brazil,EUR,1023667200,46.0,41.0,6.0,4.0,,,90.0,51.0,5.9,6.0,0.0,5.9,5.9,,2.0,1.0,2.0,1.0,5.0,1.0,,,,,,1.0,,,3.0,,0.0452025,Zé Vitor,,1.0,,,,,,,,,home,main,,,,,,
6,6,D,False,Lucas Piton,lucas-piton,L. Piton,D,691,982174,BR,Brazil,EUR,971049600,54.0,45.0,2.0,1.0,,,90.0,86.0,6.4,18.0,0.0214,6.4,6.6,,6.0,3.0,2.0,,6.0,2.0,1.0,,,,1.0,,,1.0,,3.0,0.0956072,,,,3.0,1.0,,,,,,,home,main,,,,,,
8,8,M,False,Jair,jair,Jair,M,513,268419,BR,Brazil,EUR,778032000,30.0,28.0,,,,,86.0,41.0,6.7,3.0,0.0268,6.7,6.7,,1.0,1.0,,,3.0,5.0,,,,,,,,,3.0,,0.0347683,,,,,5.0,1.0,,,,,,home,main,,,,,,
17,17,M,False,Gary Medel,gary-medel,G. Medel,M,1682,22975,CL,Chile,EUR,554947200,51.0,49.0,4.0,4.0,,,90.0,59.0,6.6,6.0,0.0,6.6,6.7,,,,,3.0,5.0,3.0,1.0,,,,,1.0,1.0,,3.0,,0.0282323,,,,,,,True,1.0,1.0,,,home,main,,,,,,
23,23,M,False,Zé Gabriel,ze-gabriel,J. Gabriel,M,146,988852,BR,Brazil,EUR,916876800,32.0,32.0,2.0,2.0,,,60.0,35.0,6.6,1.0,0.0154,6.6,6.8,,,,1.0,,2.0,1.0,,,,,1.0,,,,,,0.0159525,,,,,1.0,,,1.0,,,,home,main,,,,,,
14,14,F,False,Luca Orellano,luca-orellano,L. Orellano,M,674,965764,AR,Argentina,EUR,953683200,28.0,19.0,1.0,,,,82.0,50.0,6.8,20.0,0.0527,6.8,6.8,,2.0,,,1.0,9.0,10.0,5.0,3.0,,,,,,2.0,1.0,1.0,0.0262063,,,,1.0,4.0,1.0,,5.0,,,,home,main,,,,,,
15,15,F,False,Figueiredo,figueiredo,Figueiredo,F,439,1105790,BR,Brazil,EUR,997747200,19.0,14.0,,,,,86.0,34.0,6.1,7.0,0.8834,6.1,6.3,,,,4.0,7.0,6.0,11.0,,,,,,,1.0,1.0,2.0,1.0,0.0174912,Figueiredo,,,,4.0,6.0,,,,3.0,2.0,home,main,,,,,,
