shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.duelWon,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,player.firstName,player.lastName,statistics.duelLost,statistics.challengeLost,statistics.totalTackle,statistics.penaltyConceded,statistics.wasFouled,statistics.fouls,statistics.expectedAssists,captain,statistics.aerialLost,statistics.aerialWon,statistics.totalClearance,statistics.outfielderBlock,statistics.interceptionWon,statistics.keyPass,statistics.totalCross,statistics.accurateCross,statistics.shotOffTarget,statistics.totalContest,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.goals,statistics.dispossessed,statistics.totalOffside,statistics.goalAssist,statistics.bigChanceCreated,statistics.blockedScoringAttempt,statistics.hitWoodwork,statistics.bigChanceMissed,team,player_type,statistics.goodHighClaim
21,21,G,False,Weverton,weverton,Weverton,G,2464,243529,BR,Brazil,EUR,566352000,20.0,18.0,6.0,4.0,1.0,2.0,3.0,90.0,27.0,7.1,2.0,0.0,7.1,7.4,0.4801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,
2,2,D,False,Marcos Rocha,marcos-rocha,Marcos Rocha,D,788,82576,BR,Brazil,EUR,597801600,43.0,41.0,6.0,5.0,3.0,,,45.0,48.0,6.2,3.0,0.0,6.2,6.3,,,,4.0,2.0,1.0,1.0,2.0,3.0,0.0352658,,,,,,,,,,,,,,,,,,,,,,home,main,
15,15,D,False,Gustavo Gómez,gustavo-gomez,G. Gómez,D,2471,220833,PY,Paraguay,EUR,736646400,45.0,39.0,4.0,1.0,4.0,,,90.0,53.0,6.8,6.0,0.0,6.8,6.9,,,,3.0,,1.0,,1.0,1.0,,True,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,home,main,
26,26,D,False,Murilo,murilo,Murilo,D,904,874729,BR,Brazil,EUR,859420800,69.0,58.0,8.0,6.0,5.0,,,90.0,82.0,7.2,11.0,0.0,7.2,7.2,,,,2.0,1.0,2.0,,1.0,,0.010444,,1.0,2.0,4.0,,4.0,1.0,,,,,,,,,,,,,,,home,main,
22,22,D,False,Joaquín Piquerez,joaquin-piquerez,J. Piquerez,D,1367,881110,UY,Uruguay,EUR,903916800,47.0,37.0,8.0,4.0,6.0,,,90.0,79.0,7.1,18.0,0.0502,7.1,7.2,,,,2.0,1.0,1.0,,2.0,,0.0993362,,1.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,,,,,,,,,,,,home,main,
27,27,M,False,Richard Rios,richard-rios,R. Rios,M,869,1015292,CO,Colombia,EUR,959904000,23.0,16.0,,,3.0,,,64.0,37.0,7.6,10.0,0.0674,7.6,7.5,,,,2.0,1.0,2.0,,,1.0,0.0297628,,,,,,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,1.0,,,,,,,,home,main,
8,8,M,False,Zé Rafael,ze-rafael,Z. Rafael,M,1070,329069,BR,Brazil,EUR,740188800,43.0,35.0,6.0,3.0,7.0,,,90.0,59.0,6.3,14.0,0.0,6.3,6.4,,,,9.0,1.0,3.0,,2.0,5.0,0.0137735,,,2.0,,,,,2.0,,,3.0,,,,,,,,,,,home,main,
14,14,M,False,Artur,artur,Artur,M,2138,841128,BR,Brazil,EUR,887500800,18.0,14.0,1.0,1.0,3.0,,,64.0,26.0,6.6,6.0,0.0,6.6,6.7,,,,4.0,,,,3.0,,0.0184348,,3.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,home,main,
23,23,M,False,Raphael Veiga,raphael-veiga,Raphael Veiga,M,5522,840020,BR,Brazil,EUR,803520000,24.0,20.0,2.0,1.0,8.0,,,89.0,47.0,7.6,11.0,0.1244,7.6,7.9,,,,3.0,,,,5.0,1.0,0.0750204,,,,,,,,5.0,,1.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,,,home,main,
40,40,M,False,Jhon Jhon,jhon-jhon,Jhon Jhon,M,324,1167069,BR,Brazil,EUR,1031529600,14.0,10.0,2.0,2.0,6.0,,,45.0,29.0,6.6,8.0,0.0,6.6,6.7,,Jhon Jhon,,6.0,,3.0,,1.0,,0.00798085,,2.0,1.0,,,2.0,,,,,3.0,1.0,,,2.0,,,,,,,home,main,
