shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.duelWon,statistics.totalContest,statistics.wonContest,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,player.firstName,player.lastName,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.challengeLost,statistics.shotOffTarget,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.expectedAssists,statistics.aerialLost,statistics.aerialWon,statistics.outfielderBlock,statistics.keyPass,statistics.clearanceOffLine,statistics.goalAssist,statistics.dispossessed,statistics.bigChanceCreated,statistics.totalOffside,statistics.onTargetScoringAttempt,statistics.goals,statistics.blockedScoringAttempt,team,player_type,statistics.goodHighClaim,statistics.bigChanceMissed
34,34,G,False,True,João Paulo,joao-paulo,J. Paulo,G,830,795177,BR,Brazil,EUR,804384000,25.0,15.0,14.0,4.0,1.0,1.0,1.0,1.0,2.0,62.0,32.0,7.0,10.0,0.0,7.0,7.0,0.1412,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,
13,13,D,False,,João Lucas,joao-lucas,João Lucas,D,265,981019,BR,Brazil,EUR,904780800,24.0,14.0,5.0,1.0,6.0,1.0,1.0,,,86.0,49.0,6.8,17.0,0.0193,6.8,7.1,,,,3.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0394028,,,,,,,,,,,,,home,main,,
28,28,D,False,,Joaquim,joaquim,Joaquim,D,223,1047740,BR,Brazil,EUR,914803200,33.0,22.0,9.0,2.0,4.0,,,,,90.0,49.0,6.6,12.0,0.0,6.6,6.6,,,,,,3.0,,,8.0,3.0,1.0,1.0,1.0,,2.0,2.0,,,,,,,,,,,home,main,,
24,24,D,False,,Messias,messias,Messias,D,233,839765,BR,Brazil,EUR,783820800,32.0,24.0,3.0,,6.0,,,,,90.0,42.0,6.8,8.0,0.0,6.8,6.8,,,,,,4.0,,,5.0,,1.0,1.0,3.0,,1.0,4.0,3.0,,,,,,,,,,home,main,,
16,16,D,False,,Dodô,dodo,Dodô,D,337,108481,BR,Brazil,EUR,697334400,23.0,21.0,2.0,1.0,3.0,1.0,1.0,,,72.0,38.0,6.9,4.0,0.0,6.9,7.1,,,,,,2.0,1.0,,1.0,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,home,main,,
19,19,M,False,,Dodi,dodi,Dodi,M,217,870804,BR,Brazil,EUR,829699200,16.0,13.0,,,6.0,1.0,1.0,,,90.0,29.0,7.2,4.0,0.0539,7.2,7.3,,,,1.0,,2.0,,1.0,,4.0,3.0,1.0,2.0,0.0143149,,1.0,,1.0,,,,,,,,,home,main,,
14,14,M,False,,Rodrigo Fernández,rodrigo-fernandez,R. Fernández,M,304,877599,UY,Uruguay,EUR,820627200,32.0,22.0,8.0,2.0,3.0,1.0,,,,90.0,44.0,6.8,11.0,0.0,6.8,7.0,,,,,,10.0,4.0,,,3.0,3.0,,4.0,0.00822085,1.0,,2.0,,1.0,,,,,,,,home,main,,
8,8,M,False,,Jean Lucas,jean-lucas,J. Lucas,M,817,927975,BR,Brazil,EUR,898473600,21.0,16.0,4.0,2.0,5.0,1.0,1.0,,,72.0,36.0,7.2,12.0,0.0,7.2,7.2,,,,,,6.0,,,,2.0,1.0,3.0,2.0,0.113975,1.0,,,1.0,,1.0,3.0,1.0,,,,,home,main,,
23,23,F,False,,Lucas Lima,lucas-lima,L. Lima,M,899,244589,BR,Brazil,EUR,647481600,21.0,16.0,8.0,5.0,4.0,,,,,90.0,36.0,7.2,10.0,0.0,7.2,7.2,,,,3.0,,11.0,5.0,,1.0,,1.0,2.0,3.0,0.38171,3.0,1.0,,3.0,,1.0,,1.0,1.0,,,,home,main,,
9,9,F,False,,Marcos Leonardo,marcos-leonardo,M. Leonardo,F,3854,1047227,BR,Brazil,EUR,1051833600,12.0,8.0,1.0,1.0,5.0,3.0,2.0,,,86.0,27.0,8.5,8.0,0.7753,8.5,8.6,,,,,,10.0,,,2.0,,,2.0,2.0,0.0134097,7.0,1.0,1.0,1.0,,,,,,2.0,2.0,,home,main,,
