shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,player.firstName,player.lastName,statistics.totalCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.shotOffTarget,statistics.totalTackle,statistics.fouls,statistics.expectedAssists,statistics.totalContest,statistics.totalClearance,statistics.outfielderBlock,statistics.interceptionWon,statistics.blockedScoringAttempt,statistics.wasFouled,statistics.accurateCross,statistics.wonContest,statistics.onTargetScoringAttempt,statistics.dispossessed,statistics.keyPass,statistics.hitWoodwork,team,player_type,statistics.punches,statistics.lastManTackle,statistics.errorLeadToAShot,statistics.totalOffside
1,1,G,False,True,Cleiton,cleiton,Cleiton,G,310,844576,BR,Brazil,EUR,871948800,26.0,23.0,12.0,9.0,1.0,3.0,5.0,1.0,1.0,90.0,40.0,8.1,4.0,0.0,8.1,8.4,0.6785,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,
34,34,D,False,,Andrés Hurtado,andres-hurtado,Andrés Hurtado,D,304,987589,EC,Ecuador,EUR,1009065600,38.0,23.0,7.0,1.0,,,,,,75.0,57.0,6.3,22.0,0.0061,6.3,6.3,,,,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,0.00945275,,,,,,,,,,,,,home,main,,,,
30,30,D,False,,Luan Patrick,luan-patrick,Luan Patrick,D,150,1002565,BR,Brazil,EUR,1011484800,49.0,39.0,12.0,7.0,,,,,,90.0,60.0,7.1,11.0,0.0,7.1,7.2,,,,,1.0,1.0,3.0,1.0,1.0,,,,0.00661421,1.0,3.0,2.0,2.0,,,,,,,,,home,main,,,,
4,4,D,False,,Natan,natan,Natan,D,582,1015287,BR,Brazil,EUR,981417600,35.0,25.0,4.0,,,,,,,90.0,47.0,7.5,11.0,0.1236,7.5,7.6,,,,,1.0,9.0,2.0,11.0,,1.0,2.0,1.0,,,,2.0,2.0,1.0,1.0,,,,,,,home,main,,,,
29,29,D,False,,Juninho Capixaba,juninho-capixaba,Juninho Capixaba,D,429,870556,BR,Brazil,EUR,868147200,43.0,36.0,6.0,3.0,,,,,,90.0,64.0,7.3,11.0,0.0451,7.3,7.6,,,,4.0,1.0,1.0,6.0,6.0,1.0,1.0,3.0,3.0,0.0311287,2.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,,home,main,,,,
8,8,M,False,,Lucas Evangelista,lucas-evangelista,L. Evangelista,M,420,331397,BR,Brazil,EUR,799718400,41.0,26.0,,,,,,,,90.0,80.0,7.8,31.0,0.1554,7.8,7.8,,,,16.0,3.0,1.0,8.0,5.0,1.0,2.0,2.0,,0.382683,2.0,1.0,,1.0,2.0,2.0,6.0,,1.0,2.0,8.0,,home,main,,,,
35,35,M,False,,Matheus Fernandes,matheus-fernandes,Matheus Fernandes,M,1037,840150,BR,Brazil,EUR,899164800,26.0,21.0,5.0,5.0,,,,,,59.0,40.0,7.1,9.0,0.0,7.1,7.2,,,,,1.0,1.0,5.0,7.0,,,3.0,2.0,0.0111749,2.0,,,1.0,,1.0,,2.0,,2.0,,,home,main,,,,
7,7,M,False,,Eric Ramires,eric-ramires,Eric Ramires,M,316,950545,BR,Brazil,EUR,965865600,48.0,38.0,6.0,3.0,,,,,,90.0,60.0,6.8,11.0,0.0,6.8,6.9,,,,1.0,1.0,,5.0,4.0,2.0,,2.0,2.0,0.0654541,,,,,,2.0,1.0,,,1.0,,,home,main,,,,
27,27,F,False,,Sorriso,sorriso,Sorriso,M,182,1105595,BR,Brazil,EUR,982886400,20.0,15.0,,,,,,,,59.0,37.0,7.3,11.0,0.2228,7.3,7.4,,Sorriso,,5.0,3.0,3.0,4.0,7.0,,,2.0,,0.0102852,1.0,,,2.0,1.0,1.0,,1.0,2.0,1.0,,,home,main,,,,
19,19,F,False,,Eduardo Sasha,eduardo-sasha,E. Sasha,F,780,143846,BR,Brazil,EUR,698889600,23.0,15.0,,,,,,,,87.0,33.0,6.6,14.0,0.0541,6.6,6.7,,,,,2.0,2.0,6.0,3.0,,2.0,,1.0,0.0322253,1.0,,,,,1.0,,,,2.0,1.0,,home,main,,,,
