shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.keyPass,statistics.expectedAssists,statistics.outfielderBlock,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.bigChanceMissed,statistics.totalOffside,team,player_type,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.goalAssist,statistics.goals
1,1,G,False,True,Rafael Cabral,,,rafael-cabral,Rafael Cabral,G,348,124980,BR,Brazil,EUR,643161600,12.0,12.0,2.0,2.0,1.0,1.0,1.0,90.0,16.0,6.3,1.0,0.0,6.3,6.4,-0.8383,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,
12,12,D,False,,William,,,william,William,D,260,604274,BR,Brazil,EUR,796867200,57.0,37.0,12.0,5.0,2.0,,,90.0,100.0,6.9,39.0,0.0317,6.9,7.0,,10.0,2.0,1.0,2.0,7.0,7.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.275468,,,,,,home,main,,,,
6,6,D,False,,Lucas Oliveira,,,lucas-oliveira,Lucas Oliveira,D,200,867907,BR,Brazil,EUR,823219200,32.0,26.0,6.0,3.0,2.0,,,45.0,43.0,6.8,9.0,0.0,6.8,6.8,,,,,3.0,1.0,6.0,,1.0,,,,,,1.0,2.0,,,,1.0,,,,,home,main,,,,
4,4,D,False,,Luciano Castan,,,luciano-castan,Luciano Castan,D,131,845110,BR,Brazil,EUR,621648000,93.0,79.0,11.0,6.0,5.0,,,90.0,102.0,6.9,15.0,0.0232,6.9,7.1,,,,2.0,6.0,5.0,7.0,,1.0,,,,,,,1.0,2.0,,0.0174942,,1.0,,,,home,main,,,,
3,3,D,False,,Marlon,,,marlon,Marlon,D,409,870787,BR,Brazil,EUR,864086400,74.0,66.0,8.0,7.0,,,,90.0,102.0,7.7,14.0,0.0316,7.7,7.8,,8.0,2.0,2.0,2.0,3.0,7.0,,,1.0,1.0,,,1.0,3.0,1.0,1.0,2.0,0.157762,,,1.0,,,home,main,,,,
18,18,M,False,,Matheus Jussa,,,matheus-jussa,Matheus Jussa,M,114,794849,BR,Brazil,EUR,827452800,53.0,47.0,3.0,2.0,1.0,,,70.0,63.0,7.1,6.0,0.0241,7.1,7.1,,,,5.0,2.0,5.0,7.0,,,,,,,,5.0,,,1.0,0.0267216,,,1.0,,,home,main,,,,
11,11,M,False,,Wesley,,,wesley,Wesley,F,726,985766,BR,Brazil,EUR,922752000,28.0,21.0,2.0,,,,,70.0,51.0,7.4,13.0,0.0401,7.4,7.7,,3.0,,1.0,2.0,3.0,12.0,,1.0,2.0,2.0,,1.0,3.0,4.0,4.0,1.0,,0.0423653,,,,,,home,main,,,,
23,23,M,False,,Filipe Machado,,,filipe-machado,Filipe Machado,M,224,844601,BR,Brazil,EUR,822096000,68.0,57.0,10.0,5.0,3.0,,,90.0,83.0,6.6,15.0,0.5557,6.6,6.7,,4.0,,3.0,1.0,4.0,5.0,,,1.0,1.0,,1.0,,1.0,2.0,1.0,,0.0169266,,,,1.0,,home,main,,,,
7,7,M,False,,Mateus Vital,,,mateus-vital,Mateus Vital,M,720,823653,BR,Brazil,EUR,887241600,48.0,42.0,1.0,1.0,,,,87.0,62.0,6.9,12.0,0.1161,6.9,7.2,,5.0,1.0,1.0,,3.0,3.0,1.0,,4.0,3.0,,,,,,,3.0,0.193451,,,2.0,,,home,main,,,,
9,9,M,False,,Bruno Rodrigues,,,bruno-rodrigues,Bruno Rodrigues,F,736,817650,BR,Brazil,EUR,857692800,39.0,30.0,1.0,,,,,90.0,71.0,6.8,26.0,0.0281,6.8,7.2,,8.0,1.0,2.0,1.0,7.0,8.0,,3.0,4.0,2.0,,1.0,,2.0,3.0,,3.0,0.187128,,,1.0,,1.0,home,main,,,,
