shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.outfielderBlock,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,captain,statistics.wasFouled,statistics.keyPass,statistics.totalCross,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.blockedScoringAttempt,statistics.expectedAssists,statistics.onTargetScoringAttempt,statistics.goals,statistics.shotOffTarget,statistics.goalAssist,statistics.accurateCross,statistics.bigChanceCreated,statistics.bigChanceMissed,team,player_type,statistics.punches,statistics.totalOffside
12,12,G,False,Gabriel Grando,Gabriel Grando,,gabriel-grando,Gabriel Grando,G,419,1111770,BR,Brazil,EUR,954288000,21.0,9.0,21.0,9.0,2.0,2.0,3.0,90.0,28.0,7.6,12.0,0.0,7.6,7.4,0.8222,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,
15,15,D,False,Bruno Uvini,,,bruno-uvini,Bruno Uvini,D,167,158267,BR,Brazil,EUR,675907200,22.0,14.0,4.0,1.0,4.0,,,90.0,37.0,7.1,8.0,0.0,7.1,7.2,,2.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,home,main,,
34,34,D,False,Bruno Alves,,,bruno-alves,B. Alves,D,400,551810,BR,Brazil,EUR,671760000,23.0,12.0,10.0,1.0,5.0,,,90.0,36.0,7.1,11.0,0.0,7.1,6.9,,,1.0,1.0,4.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,home,main,,
4,4,D,False,Walter Kannemann,,,walter-kannemann,W. Kannemann,D,733,249647,AR,Argentina,EUR,668908800,29.0,20.0,4.0,,4.0,,,90.0,45.0,7.5,10.0,0.0,7.5,7.5,,1.0,2.0,4.0,8.0,1.0,1.0,2.0,4.0,2.0,True,2.0,1.0,,,,,,,,,,,,,,home,main,,
18,18,M,False,João Pedro,,,joao-pedro,João Pedro,D,282,605528,BR,Brazil,EUR,848016000,27.0,22.0,5.0,4.0,,,,90.0,56.0,7.1,11.0,0.1539,7.1,7.0,,2.0,,6.0,5.0,1.0,1.0,3.0,4.0,,,,,1.0,2.0,2.0,1.0,1.0,0.0150867,,,,,,,,home,main,,
35,35,M,False,Ronald Falkoski,Ronald Falkoski,,ronald-falkoski,R. Falkoski,M,169,1470941,BR,Brazil,EUR,1044921600,31.0,26.0,1.0,,,,,68.0,45.0,7.5,10.0,0.1048,7.5,7.5,,2.0,1.0,3.0,5.0,1.0,2.0,,2.0,,,2.0,,2.0,,,,,0.0249301,1.0,1.0,,,,,,home,main,,
8,8,M,False,Felipe Carballo,,,felipe-carballo,F. Carballo,M,443,805038,UY,Uruguay,EUR,844387200,55.0,40.0,9.0,3.0,2.0,,,90.0,67.0,6.7,18.0,0.0117,6.7,6.9,,,,4.0,4.0,3.0,,1.0,2.0,,,1.0,,2.0,1.0,1.0,1.0,,0.0211147,,,1.0,,,,,home,main,,
22,22,M,False,Reinaldo,,,reinaldo,Reinaldo,D,848,243109,BR,Brazil,EUR,622944000,42.0,27.0,7.0,2.0,2.0,,,90.0,64.0,6.5,21.0,0.0,6.5,6.7,,,1.0,4.0,5.0,,,1.0,3.0,1.0,,1.0,,1.0,2.0,1.0,,,0.017605,,,,,,,,home,main,,
19,19,F,False,Franco Cristaldo,,,franco-cristaldo,Franco Cristaldo,M,1040,558820,AR,Argentina,EUR,840067200,37.0,30.0,5.0,4.0,,,,85.0,57.0,7.2,16.0,0.0441,7.2,7.3,,4.0,,13.0,3.0,3.0,,2.0,3.0,1.0,,,1.0,4.0,5.0,,,,0.129742,1.0,,,1.0,1.0,1.0,,home,main,,
39,39,F,False,Bitello,Bitello,,bitello,Bitello,M,1047,1106839,BR,Brazil,EUR,947203200,26.0,18.0,2.0,,1.0,,,68.0,50.0,6.4,19.0,0.232,6.4,6.5,,1.0,1.0,6.0,6.0,1.0,,2.0,1.0,,,4.0,1.0,1.0,3.0,1.0,,1.0,0.0511034,,,,,,,1.0,home,main,,
77,77,F,False,André Henrique,,,andre-henrique,A. Henrique,F,91,1463912,BR,Brazil,EUR,1008547200,15.0,11.0,,,,,,61.0,27.0,6.8,8.0,0.0,6.8,6.9,,8.0,3.0,11.0,7.0,,,,1.0,1.0,,2.0,1.0,1.0,,3.0,1.0,,0.119208,,,,,,1.0,,home,main,,
59,59,F,True,Fredy Noguera,,,fredy-noguera,F. Noguera,F,36,1382425,PY,Paraguay,EUR,1073606400,3.0,2.0,,,,,,29.0,13.0,6.4,8.0,0.0,6.4,6.4,,7.0,,11.0,3.0,,,,,,,1.0,,,3.0,3.0,2.0,,,,,,,,,,home,substitute,,
