shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,statistics.totalCross,statistics.accurateCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.keyPass,statistics.expectedAssists,statistics.aerialLost,statistics.outfielderBlock,statistics.fouls,captain,statistics.totalOffside,statistics.blockedScoringAttempt,team,player_type,statistics.clearanceOffLine
22,22,G,False,Marcos Felipe,,,marcos-felipe,Marcos Felipe,G,176,358524,BR,Brazil,EUR,829353600,12.0,11.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,90.0,20.0,7.2,1.0,0.0,7.2,7.1,0.1543,,,,,,,,,,,,,,,,,,,,,,,home,main,
2,2,D,False,Gilberto,,,gilberto,Gilberto,D,965,261687,BR,Brazil,EUR,731462400,45.0,37.0,2.0,2.0,1.0,,,,,78.0,82.0,7.5,20.0,0.0922,7.5,7.8,,7.0,1.0,1.0,4.0,10.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,0.11229,,,,,,,home,main,
3,3,D,False,Gabriel Xavier,Gabriel Xavier,,gabriel-xavier,G. Xavier,D,70,1117710,BR,Brazil,EUR,989107200,67.0,59.0,5.0,3.0,8.0,,,,,90.0,86.0,7.7,8.0,0.0,7.7,7.8,,,,4.0,6.0,7.0,,,,,,,4.0,1.0,3.0,1.0,0.00951303,4.0,1.0,3.0,,,,home,main,
4,4,D,False,Kanu,,,kanu,Kanu,D,220,871705,BR,Brazil,EUR,857692800,52.0,48.0,3.0,1.0,2.0,,,,,90.0,64.0,7.1,5.0,0.0841,7.1,7.2,,,,2.0,6.0,5.0,,,1.0,1.0,1.0,,2.0,,3.0,,0.00535623,5.0,,1.0,True,,,home,main,
79,79,D,False,Matheus Bahia,,,matheus-bahia,M. Bahia,D,139,1047204,BR,Brazil,EUR,934329600,31.0,24.0,4.0,2.0,1.0,,,,,83.0,59.0,6.7,17.0,0.0,6.7,6.8,,5.0,1.0,,5.0,2.0,,,2.0,,,,,2.0,,1.0,0.155402,2.0,,1.0,,1.0,,home,main,
26,26,M,False,Nicolás Acevedo,,,nicolas-acevedo,Nicolás Acevedo,M,289,959620,UY,Uruguay,EUR,924048000,82.0,72.0,3.0,2.0,1.0,,,,,90.0,98.0,7.0,16.0,0.0,7.0,7.1,,1.0,,3.0,6.0,6.0,1.0,1.0,2.0,2.0,,,1.0,1.0,,1.0,0.039056,3.0,,1.0,,,,home,main,
5,5,M,False,Rezende,,,rezende,Rezende,M,133,868030,BR,Brazil,EUR,789004800,38.0,32.0,1.0,1.0,2.0,,,,,68.0,49.0,6.8,9.0,0.0,6.8,7.0,,,,3.0,8.0,6.0,1.0,,4.0,1.0,,,2.0,1.0,1.0,2.0,0.0194461,2.0,,2.0,,,,home,main,
16,16,M,False,Thaciano,,,thaciano,Thaciano,M,332,872039,BR,Brazil,EUR,800236800,31.0,27.0,2.0,2.0,1.0,,,,,90.0,44.0,7.3,6.0,0.6064,7.3,7.6,,1.0,,,3.0,4.0,2.0,,3.0,3.0,1.0,1.0,,1.0,,3.0,0.110045,1.0,,,,,2.0,home,main,
8,8,M,False,Cauly,,,cauly,Cauly,M,382,255873,BR,Brazil,EUR,811123200,59.0,48.0,2.0,1.0,,,,,,90.0,100.0,7.5,27.0,0.2219,7.5,7.8,,8.0,1.0,,6.0,13.0,1.0,1.0,8.0,5.0,2.0,1.0,,4.0,4.0,1.0,0.186179,,,1.0,,,2.0,home,main,
7,7,F,False,Ademir,,,ademir,Ademir,M,539,922546,BR,Brazil,EUR,792892800,28.0,19.0,,,,,,,,90.0,58.0,7.1,24.0,0.216,7.1,7.3,,7.0,,2.0,12.0,13.0,1.0,3.0,5.0,2.0,1.0,1.0,,3.0,6.0,1.0,0.10285,2.0,,3.0,,1.0,,home,main,
9,9,F,False,Everaldo,,,everaldo,Everaldo,F,419,386212,BR,Brazil,EUR,678672000,10.0,4.0,1.0,,1.0,,,,,78.0,19.0,7.0,8.0,0.0198,7.0,7.0,,2.0,1.0,1.0,2.0,3.0,,,1.0,1.0,,,,1.0,,2.0,0.0556915,2.0,1.0,,,,1.0,home,main,
20,20,M,True,Yago Felipe,,,yago-felipe,Yago Felipe,M,156,552164,BR,Brazil,EUR,791769600,15.0,12.0,,,,,,,,22.0,20.0,6.3,4.0,0.0702,6.3,6.4,,,,,3.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,home,substitute,
40,40,D,True,Cicinho,,,cicinho,Cicinho,D,109,243271,BG,Bulgaria,EUR,599097600,8.0,6.0,,,1.0,,,,,12.0,22.0,6.9,7.0,0.1093,6.9,7.2,,3.0,,3.0,3.0,3.0,1.0,,,,1.0,1.0,,,,,,2.0,1.0,,,,,home,substitute,
21,21,F,True,Vinicius Mingotti,,,vinicius-mingotti,Vinicius Mingotti,F,84,989407,BR,Brazil,EUR,947203200,,,,,,,,,,12.0,,6.4,,0.0,6.4,6.4,,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,home,substitute,
66,66,D,True,Ryan,Ryan,,ryan,Ryan,D,57,1086990,BR,Brazil,EUR,1021334400,4.0,4.0,1.0,1.0,1.0,,,,,15.0,8.0,6.8,1.0,0.0,6.8,6.8,,1.0,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,home,substitute,
77,77,G,True,Mateus Claus,,,mateus-claus,M. Claus,G,53,974334,BR,Brazil,EUR,775872000,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
13,13,D,True,André Dhominique,,,andre-dhominique,André Dhominique,D,216,1177384,BR,Brazil,EUR,1065484800,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
6,6,D,True,Jhoanner Chávez,,,jhoanner-chavez,Jhoanner Chávez,D,217,1002458,EC,Ecuador,EUR,1019606400,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
44,44,D,True,Marcos Victor,Marcos Victor,,marcos-victor,Marcos Victor,D,80,1174196,BR,Brazil,EUR,1009324800,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
17,17,M,True,Diego Rosa,,,diego-rosa,D. Rosa,M,368,1002415,BR,Brazil,EUR,1034380800,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
