shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.expectedGoals,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalsPrevented,player.firstName,player.lastName,statistics.totalCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.totalContest,statistics.wonContest,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.totalOffside,statistics.expectedAssists,statistics.wasFouled,statistics.outfielderBlock,statistics.dispossessed,statistics.onTargetScoringAttempt,statistics.goalAssist,statistics.bigChanceCreated,statistics.penaltyWon,statistics.keyPass,statistics.accurateCross,statistics.shotOffTarget,statistics.blockedScoringAttempt,statistics.bigChanceMissed,statistics.hitWoodwork,statistics.penaltyMiss,statistics.goals,team,player_type,statistics.penaltyConceded
1,1,G,False,True,Walter,walter,Walter,G,267,329055,BR,Brazil,EUR,564192000,14.0,9.0,9.0,4.0,1.0,1.0,2.0,90.0,19.0,6.6,5.0,0.0,6.6,6.8,0.0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,
2,2,D,False,,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,97,953736,BR,Brazil,EUR,923443200,29.0,24.0,3.0,1.0,,,,90.0,53.0,6.8,9.0,0.0,6.8,6.8,,,,1.0,3.0,1.0,7.0,7.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,0.0130259,,,,,,,,,,,,,,,,home,main,
4,4,D,False,,Marllon,marllon,Marllon,D,101,221206,BR,Brazil,EUR,703382400,24.0,22.0,3.0,2.0,,,,90.0,32.0,6.5,3.0,0.0,6.5,6.6,,,,,2.0,3.0,6.0,5.0,2.0,,,2.0,2.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,home,main,
33,33,D,False,,Alan Empereur,alan-empereur,A. Empereur,D,184,373740,BR,Brazil,EUR,763257600,23.0,13.0,8.0,2.0,,,,90.0,30.0,6.6,12.0,0.0,6.6,6.7,,,,,2.0,1.0,2.0,1.0,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,home,main,
20,20,D,False,,Rikelme,rikelme,Rikelme,F,88,1102383,BR,Brazil,EUR,1058313600,15.0,11.0,2.0,,,,,90.0,29.0,6.6,7.0,0.0332,6.6,6.7,,,,,2.0,1.0,4.0,1.0,,1.0,,,4.0,,1.0,,0.0067673,,,1.0,2.0,,,,,,,,,,,,home,main,
88,88,M,False,,Fernando Sobral,fernando-sobral,F. Sobral,M,335,931479,BR,Brazil,EUR,787622400,21.0,17.0,3.0,1.0,,,,89.0,33.0,7.3,8.0,0.0,7.3,7.4,,,,1.0,,,5.0,4.0,2.0,1.0,,,,2.0,1.0,,0.0127698,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,home,main,
14,14,M,False,,Raniele,raniele,Raniele,M,159,866392,BR,Brazil,EUR,851990400,14.0,10.0,2.0,1.0,,,,90.0,32.0,7.4,4.0,0.0485,7.4,7.3,,,,1.0,,1.0,2.0,7.0,2.0,,,5.0,,2.0,,,0.0287605,4.0,1.0,,2.0,,,,1.0,1.0,1.0,,,,,,home,main,
27,27,M,False,,Denilson,denilson,Denilson,M,114,1175760,BR,Brazil,EUR,985305600,26.0,19.0,5.0,1.0,,,,84.0,39.0,6.8,11.0,0.038,6.8,6.8,,Denilson,,2.0,,1.0,2.0,4.0,1.0,1.0,1.0,,2.0,2.0,,,0.00620412,,,1.0,,,,,,,,1.0,,,,,home,main,
7,7,F,False,,Jonathan Cafú,jonathan-cafu,Jonathan Cafú,F,201,790103,BR,Brazil,EUR,679104000,16.0,12.0,,,,,,76.0,26.0,7.2,8.0,0.0332,7.2,7.3,,,,3.0,,,4.0,5.0,2.0,1.0,1.0,,,1.0,2.0,1.0,0.0769385,3.0,,,,,,1.0,,,1.0,,,,,,home,main,
16,16,F,False,,Deyverson,deyverson,Deyverson,F,1147,270287,BR,Brazil,EUR,673660800,9.0,4.0,,,,,,77.0,21.0,6.1,13.0,0.8063,6.1,6.1,,,,1.0,1.0,3.0,4.0,3.0,,,,,,,1.0,,0.00836236,,,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,home,main,
29,29,F,False,,Clayson,clayson,Clayson,M,148,811308,BR,Brazil,EUR,795571200,12.0,10.0,2.0,1.0,,,,84.0,24.0,7.2,4.0,0.7884,7.2,7.2,,,,1.0,,,2.0,5.0,1.0,1.0,,,1.0,1.0,,,0.00987806,4.0,,,1.0,,,,1.0,,,,,,,1.0,home,main,
11,11,M,True,,Wellington Silva,wellington-silva,Wellington Silva,M,91,121264,BR,Brazil,EUR,726278400,4.0,3.0,1.0,,,,,14.0,4.0,6.3,1.0,0.0,6.3,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
9,9,F,True,,Isidro Pitta,isidro-pitta,Isidro Pitta,F,407,979861,PY,Paraguay,EUR,934588800,4.0,2.0,1.0,,,,,13.0,12.0,7.5,4.0,0.4161,7.5,7.5,,,,1.0,,1.0,1.0,3.0,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,home,substitute,
31,31,M,True,,Lucas Mineiro,lucas-mineiro,L. Mineiro,M,73,840077,BR,Brazil,EUR,825120000,1.0,1.0,,,,,,16.0,4.0,6.6,,0.0,6.6,6.6,,,,,,,,2.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,home,substitute,
99,99,F,True,,Iury Castilho,iury-castilho,Iury Castilho,F,91,795020,BR,Brazil,EUR,810345600,,,,,,,,16.0,5.0,6.9,,0.014,6.9,6.8,,,,1.0,2.0,,4.0,3.0,2.0,2.0,2.0,,,,,,0.204044,1.0,,,,,,,1.0,1.0,1.0,,,,,,home,substitute,
8,8,M,True,,Ronald,ronald,Ronald,M,103,931521,BR,Brazil,EUR,866592000,,,,,,,,8.0,1.0,6.3,1.0,0.0,6.3,6.3,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,home,substitute,
21,21,G,True,,João Carlos,joao-carlos,J. Carlos,G,76,795227,BR,Brazil,EUR,576288000,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
6,6,D,True,,Uendel,uendel,Uendel,D,87,123357,BR,Brazil,EUR,587174400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
34,34,D,True,,Allyson,allyson,Allyson,D,59,809194,BR,Brazil,EUR,656640000,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
94,94,D,True,,Patric Calmon,patric-calmon,P. Calmon,D,29,987168,BR,Brazil,EUR,773366400,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
5,5,M,True,,Filipe Augusto,filipe-augusto,Filipe Augusto,M,96,254561,BR,Brazil,EUR,745113600,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
17,17,F,True,,Emerson Ramon,emerson-ramon,Emerson Ramon,M,57,1130178,BR,Brazil,EUR,975024000,,,,,,,,,,,,0.0,,,,Emerson Ramon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
25,25,F,True,,Nicolás Quagliata,nicolas-quagliata,Nicolás Quagliata,M,213,1009556,UY,Uruguay,EUR,928540800,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
