shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.wonContest,statistics.shotOffTarget,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.possessionLostCtrl,statistics.keyPass,captain,statistics.aerialLost,statistics.wasFouled,statistics.challengeLost,statistics.dispossessed,statistics.onTargetScoringAttempt,statistics.totalOffside,statistics.blockedScoringAttempt,statistics.goalAssist,statistics.bigChanceMissed,statistics.hitWoodwork,statistics.goals,team,player_type,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.outfielderBlock,statistics.bigChanceCreated,statistics.errorLeadToAShot
25,25,G,False,Denis Júnior,,,denis-junior,Denis Júnior,G,97,972566,BR,Brazil,EUR,902707200,16.0,16.0,3.0,3.0,90.0,20.0,6.3,6.3,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,,,,
2,2,D,False,Léo Duarte,,,leo-duarte,L. Duarte,D,27,1017589,BR,Brazil,EUR,922147200,54.0,48.0,4.0,1.0,81.0,86.0,7.3,7.3,7.2,6.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,14.0,1.0,,,,,,,,,,,,,home,main,,,,,,,
5,5,D,False,Rafael Donato,,,rafael-donato,R. Donato,D,30,243379,BR,Brazil,EUR,606096000,75.0,68.0,14.0,12.0,90.0,88.0,7.3,7.3,7.3,2.0,,3.0,7.0,4.0,,,1.0,4.0,4.0,1.0,3.0,9.0,,True,4.0,,,,,,,,,,,home,main,,,,,,,
3,3,D,False,Marcondes,,,marcondes,Marcondes,D,25,870911,BR,Brazil,EUR,731116800,64.0,61.0,7.0,5.0,90.0,69.0,6.9,6.9,6.9,,,1.0,3.0,6.0,,,,,,2.0,2.0,3.0,,,1.0,3.0,,,,,,,,,,home,main,,,,,,,
6,6,D,False,Rodrigo,Rodrigo,,rodrigo,Rodrigo,D,23,1464671,,,EUR,1064707200,55.0,42.0,6.0,1.0,81.0,76.0,6.4,6.4,6.5,4.0,2.0,2.0,7.0,6.0,2.0,1.0,,,1.0,1.0,2.0,20.0,,,2.0,2.0,2.0,,,,,,,,,home,main,,,,,,,
8,8,M,False,Ralf,,,ralf,Ralf,M,166,105046,BR,Brazil,EUR,455587200,43.0,35.0,5.0,1.0,90.0,51.0,6.6,6.6,6.7,,,1.0,1.0,2.0,1.0,,,1.0,2.0,,,10.0,,,,1.0,,,,,,,,,,home,main,,,,,,,
15,15,M,False,Sousa,,,sousa,Sousa,M,16,925267,BR,Brazil,EUR,785894400,36.0,31.0,5.0,3.0,58.0,46.0,6.8,6.8,7.0,,,2.0,5.0,4.0,,,,,1.0,1.0,2.0,8.0,,,2.0,1.0,,1.0,1.0,,,,,,,home,main,,,,,,,
11,11,M,False,Everton,Everton,,everton,Everton,M,19,1093892,BR,Brazil,EUR,795657600,25.0,19.0,,,74.0,42.0,6.4,6.4,6.8,4.0,,,6.0,5.0,3.0,2.0,,,,,2.0,17.0,,,,3.0,,3.0,,1.0,,,,,,home,main,,,,,,,
10,10,M,False,Lourenço,,,lourenco,Lourenço,M,35,879871,BR,Brazil,EUR,873590400,30.0,26.0,1.0,1.0,90.0,55.0,6.7,6.7,7.0,6.0,3.0,2.0,6.0,5.0,2.0,1.0,,1.0,2.0,1.0,1.0,15.0,1.0,,2.0,1.0,,2.0,,2.0,3.0,,,,,home,main,,,,,,,
77,77,M,False,Guilherme Parede,,,guilherme-parede,G. Parede,F,102,823980,BR,Brazil,EUR,811468800,32.0,28.0,2.0,1.0,90.0,50.0,7.2,7.2,7.3,9.0,1.0,,4.0,4.0,,,,,,1.0,2.0,14.0,3.0,,1.0,3.0,1.0,,1.0,,,1.0,,,,home,main,,,,,,,
9,9,F,False,Neto Pessoa,,,neto-pessoa,N. Pessoa,F,40,925860,BR,Brazil,EUR,769046400,14.0,6.0,,,58.0,24.0,6.6,6.6,6.8,,,4.0,5.0,6.0,,,1.0,,,1.0,,14.0,1.0,,5.0,1.0,,,1.0,,,,1.0,,,home,main,,,,,,,
20,20,M,True,Luciano Naninho,,,luciano-naninho,L. Naninho,M,36,987089,BR,Brazil,EUR,710121600,28.0,22.0,3.0,2.0,32.0,34.0,6.9,6.9,7.1,,,1.0,3.0,4.0,2.0,2.0,2.0,,,,1.0,7.0,1.0,,2.0,1.0,,,,,,,,,,home,substitute,,,,,,,
91,91,F,True,Henrique Almeida,,,henrique-almeida,Henrique,F,102,39402,BR,Brazil,EUR,675302400,9.0,5.0,,,32.0,15.0,7.5,7.5,7.7,1.0,,1.0,2.0,2.0,,,1.0,,,1.0,,5.0,1.0,,1.0,,1.0,,2.0,,1.0,,,1.0,1.0,home,substitute,,,,,,,
17,17,F,True,Ronald,,,ronald,Ronald,F,67,923057,BR,Brazil,EUR,855100800,3.0,2.0,,,16.0,12.0,6.8,6.8,6.9,2.0,1.0,,2.0,2.0,,,1.0,,,1.0,,5.0,1.0,,1.0,1.0,,1.0,,,,,,,,home,substitute,,,,,,,
22,22,D,True,Marcelinho,,,marcelinho,Marcelinho,D,8,986868,BR,Brazil,EUR,900892800,6.0,5.0,,,9.0,19.0,6.6,6.6,6.6,4.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,home,substitute,,,,,,,
16,16,D,True,Diego Renan,,,diego-renan,D. Renan,D,43,106403,BR,Brazil,EUR,633312000,10.0,7.0,2.0,1.0,9.0,18.0,7.1,7.1,7.0,5.0,3.0,1.0,,1.0,,,,,,,,6.0,2.0,,,,,,,,,,,,,home,substitute,,,,,,,
1,1,G,True,Vanderlei,,,vanderlei,Vanderlei,G,214,77526,BR,Brazil,EUR,444441600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,,
30,30,G,True,Christofer,Christofer,,christofer,Christofer,G,1,1148381,BR,Brazil,EUR,828576000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,,
14,14,D,True,Hiago,,,hiago,Hiago,D,2,840033,BR,Brazil,EUR,878601600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,,
23,23,D,True,Rian Pacheco,Rian Pacheco,,rian-pacheco,R. Pacheco,D,9,1470187,BR,Brazil,EUR,1073865600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,,
7,7,M,True,Marlone,,,marlone,Marlone,M,86,281187,BR,Brazil,EUR,702172800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,,
18,18,M,True,Cristiano,,,cristiano,Cristiano,M,33,1021866,BR,Brazil,EUR,951004800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,,
21,21,F,True,Gustavo Maia,,,gustavo-maia,Gustavo Maia,F,392,1023049,BR,Brazil,EUR,980121600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,,,,
1,1,G,False,Simão,,,simao,Simão,G,51,981817,BR,Brazil,EUR,738979200,33.0,20.0,25.0,12.0,90.0,42.0,7.4,7.4,7.6,,,1.0,,1.0,,,,2.0,,,,14.0,,,,,,,,,,,,,,away,main,1.0,2.0,4.0,2.0,,,
2,2,D,False,Gedeilson,,,gedeilson,Gedeilson,D,13,869427,BR,Brazil,EUR,714700800,27.0,17.0,5.0,,90.0,46.0,6.3,6.3,6.4,2.0,,1.0,1.0,2.0,1.0,1.0,,2.0,,,,18.0,,,,,1.0,,,,,,,,,away,main,,,,,,,
