shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.outfielderBlock,statistics.interceptionWon,statistics.wasFouled,statistics.keyPass,captain,statistics.totalTackle,statistics.fouls,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.totalOffside,statistics.bigChanceMissed,statistics.ownGoals,team,player_type,statistics.hitWoodwork
1,1,G,False,Gustavo,,,gustavo,Gustavo,G,43,124766,BR,Brazil,EUR,731721600,25.0,18.0,12.0,6.0,2.0,1.0,2.0,3.0,90.0,36.0,6.7,7.0,6.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,home,main,
27,27,D,False,Claudinho,,,claudinho,Claudinho,D,20,992791,BR,Brazil,EUR,969753600,33.0,25.0,7.0,4.0,3.0,,,,76.0,59.0,7.0,13.0,7.0,7.2,2.0,1.0,3.0,1.0,7.0,7.0,1.0,1.0,5.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,,home,main,
3,3,D,False,Rodrigo Fagundes,,,rodrigo-fagundes,R. Fagundes,D,28,886773,BR,Brazil,EUR,542419200,60.0,50.0,14.0,8.0,6.0,,,,90.0,74.0,7.3,11.0,7.3,7.3,,,4.0,2.0,6.0,5.0,,1.0,,,2.0,2.0,1.0,1.0,True,2.0,1.0,,,,,,,,home,main,
33,33,D,False,Walisson Maia,,,walisson-maia,W. Maia,D,23,552176,BR,Brazil,EUR,682732800,66.0,59.0,5.0,2.0,4.0,,,,90.0,78.0,7.1,7.0,7.1,7.0,,,3.0,5.0,4.0,6.0,,,,,1.0,3.0,,,,1.0,1.0,,,,,,,,home,main,
22,22,D,False,Marcelo Hermes,,,marcelo-hermes,M. Hermes,D,57,783490,BR,Brazil,EUR,789004800,62.0,50.0,13.0,5.0,1.0,,,,90.0,92.0,7.2,21.0,7.2,7.2,5.0,2.0,4.0,,8.0,3.0,1.0,,1.0,1.0,1.0,,,3.0,,2.0,3.0,1.0,1.0,,,,,,home,main,
7,7,M,False,Fellipe Mateus,,,fellipe-mateus,F. Mateus,M,49,865321,BR,Brazil,EUR,666316800,33.0,26.0,5.0,4.0,3.0,,,,90.0,67.0,7.1,20.0,7.1,7.4,7.0,2.0,2.0,2.0,12.0,11.0,4.0,2.0,2.0,1.0,1.0,2.0,6.0,2.0,,2.0,3.0,,1.0,1.0,,,,,home,main,
42,42,M,False,Miqueias,,,miqueias,Miqueias,M,39,1172986,BR,Brazil,EUR,996192000,41.0,33.0,3.0,,2.0,,,,82.0,51.0,6.6,9.0,6.6,6.6,,,1.0,1.0,5.0,3.0,1.0,,1.0,,1.0,,1.0,,,1.0,2.0,,1.0,,,,,,home,main,
8,8,M,False,Arilson,,,arilson,Arilson,M,31,922580,BR,Brazil,EUR,754617600,53.0,43.0,6.0,3.0,,,,,90.0,64.0,6.4,16.0,6.4,6.4,1.0,,,1.0,6.0,3.0,1.0,1.0,3.0,,,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,home,main,
21,21,F,False,Joao Carlos Barros Lopes,João Carlos Barros Lopes,,barros-lopes-joao-carlos,J. C. B. Lopes,F,11,1462654,BR,Brazil,EUR,1056153600,19.0,12.0,2.0,2.0,,,,,82.0,32.0,6.8,13.0,6.8,6.9,1.0,,,4.0,7.0,6.0,1.0,2.0,4.0,2.0,,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,,home,main,
9,9,F,False,Felipe Vizeu,,,felipe-vizeu,F. Vizeu,F,435,839635,BR,Brazil,EUR,858124800,18.0,15.0,1.0,1.0,1.0,,,,62.0,27.0,6.9,5.0,6.9,7.0,,,1.0,4.0,2.0,6.0,,,1.0,,,,2.0,1.0,,,,,,1.0,,,,,home,main,
10,10,F,False,Marquinhos Gabriel,,,marquinhos-gabriel,Marquinhos Gabriel,M,281,90812,BR,Brazil,EUR,648518400,29.0,27.0,2.0,1.0,,,,,63.0,41.0,7.0,8.0,7.0,7.1,2.0,1.0,1.0,2.0,6.0,6.0,1.0,3.0,4.0,3.0,,,1.0,2.0,,,,,1.0,,,,,,home,main,
99,99,F,True,Tiago Marques,,,tiago-marques,T. Marques,F,9,866350,BR,Brazil,EUR,573350400,4.0,2.0,,,,,,,28.0,12.0,6.0,2.0,6.0,6.1,,,1.0,1.0,2.0,2.0,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,2.0,,2.0,,home,substitute,
17,17,M,True,Rômulo,,,romulo,Rômulo,M,42,879593,BR,Brazil,EUR,821232000,16.0,11.0,2.0,,1.0,,,,27.0,25.0,6.9,6.0,6.9,7.0,,,,2.0,,4.0,,,,,1.0,,,,,2.0,,,1.0,,,,,,home,substitute,
2,2,D,True,Cristovam,,,cristovam,Cristovam,D,24,336555,BR,Brazil,EUR,648864000,8.0,4.0,1.0,,,,,,14.0,18.0,5.7,8.0,5.7,5.9,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,home,substitute,
70,70,M,True,Italo Melo,,,italo-melo,I. Melo,F,34,329257,BR,Brazil,EUR,738288000,3.0,3.0,1.0,1.0,,,,,8.0,5.0,6.3,2.0,6.3,6.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
15,15,F,True,Welinton,,,welinton,Welinton,F,26,989385,BR,Brazil,EUR,930700800,1.0,1.0,,,,,,,8.0,7.0,6.8,2.0,6.8,6.9,,,,,2.0,2.0,,1.0,2.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,home,substitute,
25,25,G,True,Alisson,,,alisson,Alisson,G,12,840166,BR,Brazil,EUR,802569600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
14,14,D,True,Matheus Mancini,,,matheus-mancini,M. Mancini,D,26,866432,BR,Brazil,EUR,779500800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
6,6,D,True,Helder Santos,,,helder-santos,H. Santos,D,9,39608,BR,Brazil,EUR,593395200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
13,13,D,True,Jonathan,,,jonathan,Jonathan,D,29,882351,BR,Brazil,EUR,714700800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
4,4,D,True,Rayan,,,rayan,Rayan,D,9,865323,BR,Brazil,EUR,630201600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
5,5,M,True,Leo Costa,,,leo-costa,L. Costa,M,12,874035,BR,Brazil,EUR,816134400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
28,28,F,True,Eduardo Melo,,,eduardo-melo,E. Melo,F,14,1018777,BR,Brazil,EUR,989712000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
44,44,G,False,Jordi,,,jordi,Jordi,G,77,794840,BR,Brazil,EUR,747014400,26.0,12.0,20.0,7.0,1.0,1.0,4.0,4.0,90.0,39.0,7.8,14.0,7.8,7.7,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,away,main,
26,26,D,False,Adriano Mina,,,adriano-mina,A. Mina,D,15,1008459,BR,Brazil,EUR,859852800,38.0,31.0,4.0,2.0,4.0,,,,90.0,53.0,7.0,9.0,7.0,7.1,,,3.0,3.0,5.0,4.0,,,,,,3.0,1.0,,,,2.0,,,,1.0,,,,away,main,
3,3,D,False,Renato Silveira,,,renato-silveira,R. Silveira,D,21,872383,BR,Brazil,EUR,687398400,33.0,25.0,6.0,4.0,5.0,,,,90.0,47.0,7.1,8.0,7.1,7.2,,,5.0,2.0,6.0,3.0,,,,,,3.0,,,,1.0,1.0,,,,,,,,away,main,
