shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.outfielderBlock,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.aerialLost,statistics.totalClearance,statistics.wasFouled,statistics.keyPass,captain,statistics.shotOffTarget,statistics.accurateCross,statistics.onTargetScoringAttempt,statistics.challengeLost,statistics.blockedScoringAttempt,statistics.totalOffside,statistics.hitWoodwork,team,player_type,statistics.bigChanceCreated,statistics.goalAssist,statistics.bigChanceMissed,statistics.goals
12,12,G,False,Jefferson Paulino,,,jefferson-paulino,J. Paulino,G,86,870954,BR,Brazil,EUR,690163200.0,29.0,23.0,9.0,3.0,1.0,2.0,90.0,40.0,6.6,7.0,6.6,6.5,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,
2,2,D,False,Guilherme Pacheco,,,guilherme-pacheco,Guilherme Pacheco,D,10,330323,BR,Brazil,EUR,676080000.0,65.0,54.0,8.0,5.0,,,83.0,95.0,6.8,15.0,6.8,6.8,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,home,main,,,,
3,3,D,False,Claudinho,,,claudinho,Claudinho,D,9,866864,BR,Brazil,EUR,643075200.0,55.0,49.0,6.0,4.0,,,90.0,66.0,7.1,6.0,7.1,7.2,,4.0,2.0,6.0,,1.0,1.0,,2.0,,,2.0,5.0,1.0,1.0,,,,,,,,,home,main,,,,
4,4,D,False,Rafael Pereira,,,rafael-pereira,R. Pereira,D,18,44356,BR,Brazil,EUR,469584000.0,24.0,23.0,5.0,4.0,,,45.0,26.0,6.7,1.0,6.7,6.8,,,1.0,,,,,,1.0,,,1.0,,,2.0,True,1.0,,,,,,,home,main,,,,
6,6,D,False,Richard,Richard,,richard,Richard,M,8,1498671,BR,Brazil,EUR,1106006400.0,56.0,52.0,5.0,3.0,,,90.0,73.0,7.1,8.0,7.1,7.2,2.0,,,2.0,,,,,,2.0,,,,,2.0,,,1.0,1.0,,,,,home,main,,,,
5,5,M,False,José Aldo,,,jose-aldo,J. Aldo,M,50,988851,BR,Brazil,EUR,901324800.0,68.0,61.0,17.0,14.0,,,90.0,83.0,7.7,12.0,7.7,7.8,3.0,2.0,6.0,7.0,,3.0,2.0,,,2.0,4.0,1.0,,2.0,4.0,,2.0,,,,,,,home,main,,,,
8,8,M,False,Rafael Carvalheira,Rafael,Carvalheira,rafael-carvalheira,R. Carvalheira,M,13,1120738,BR,Brazil,EUR,927676800.0,40.0,39.0,1.0,,,,84.0,55.0,6.9,6.0,6.9,7.0,5.0,,4.0,4.0,1.0,,,,1.0,4.0,,1.0,,,1.0,,,1.0,,2.0,1.0,,,home,main,,,,
11,11,M,False,Hélio Borges,,,helio-borges,Hélio Borges,F,25,1019256,BR,Brazil,EUR,958348800.0,16.0,12.0,,,,,45.0,31.0,6.9,11.0,6.9,6.9,4.0,,2.0,3.0,1.0,2.0,2.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,home,main,,,,
10,10,M,False,Yann Rollim,,,yann-rollim,Y. Rollim,M,26,592022,BR,Brazil,EUR,795225600.0,23.0,18.0,,,,,60.0,41.0,6.8,12.0,6.8,7.0,5.0,,3.0,4.0,1.0,2.0,1.0,,1.0,,,,,3.0,3.0,,1.0,1.0,,1.0,1.0,,,home,main,,,,
7,7,M,False,Felipe Saraiva,,,felipe-saraiva,F. Saraiva,F,49,882076,BR,Brazil,EUR,889401600.0,49.0,42.0,4.0,3.0,,,90.0,70.0,7.7,11.0,7.7,8.3,1.0,1.0,1.0,6.0,1.0,,,,2.0,1.0,,,,4.0,2.0,,3.0,,2.0,,2.0,,1.0,home,main,,,,
9,9,F,False,Brayan Kruger,Brayan Kruger,,brayan-kruger,B. Kruger,F,16,1086456,BR,Brazil,EUR,1010102400.0,9.0,6.0,2.0,1.0,,,90.0,17.0,6.8,4.0,6.8,6.9,,3.0,3.0,4.0,,,,,,,1.0,2.0,,1.0,,,,,1.0,,3.0,,,home,main,,,,
14,14,D,True,Marcel,,,marcel,Marcel,D,16,870692,BR,Brazil,EUR,829699200.0,37.0,36.0,3.0,3.0,,,45.0,39.0,6.8,1.0,6.8,6.9,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,home,substitute,,,,
17,17,F,True,Robinho,Robinho,,robinho,Robinho,F,7,1119736,,,EUR,,22.0,16.0,1.0,,,,45.0,43.0,6.8,19.0,6.8,6.9,8.0,2.0,2.0,5.0,,3.0,2.0,,,,1.0,,,1.0,,,1.0,1.0,,,,,,home,substitute,,,,
20,20,M,True,Eduardo Person,,,eduardo-person,E. Person,M,31,938482,BR,Brazil,EUR,854064000.0,15.0,10.0,2.0,1.0,,,30.0,22.0,6.6,10.0,6.6,6.7,4.0,,2.0,,2.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,home,substitute,,,,
13,13,D,True,Iury,,,iury,Iury,D,10,950329,BR,Brazil,EUR,714268800.0,15.0,10.0,3.0,1.0,,,13.0,15.0,6.5,5.0,6.5,6.7,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,home,substitute,,,,
19,19,F,True,Gabriel Stevanato,,,gabriel-stevanato,G. Stevanato,F,1,1514736,,,EUR,,1.0,1.0,,,,,12.0,5.0,6.5,3.0,6.5,6.5,1.0,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
1,1,G,True,Deivity,,,deivity,Deivity,G,11,866941,BR,Brazil,EUR,669945600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
15,15,D,True,Frazan,,,frazan,Frazan,D,39,877549,BR,Brazil,EUR,833932800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
16,16,M,True,Marthã Fernando,,,martha-fernando,M. Fernando,M,20,942337,BR,Brazil,EUR,866764800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
18,18,M,True,Lucas,,,lucas,Lucas,M,16,794847,BR,Brazil,EUR,590976000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
22,22,M,True,Vinicius Oliveira,,,oliveira-vinicius,V. Oliveira,M,5,1499412,,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
21,21,M,True,Aluisio,Aluisio,,aluisio,Aluisio,M,2,1119733,,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
1,1,G,False,Igor Bohn,,,igor-bohn,Igor,G,14,881483,BR,Brazil,EUR,823478400.0,30.0,19.0,15.0,4.0,2.0,5.0,90.0,39.0,7.8,11.0,7.8,7.9,,,,,,,,,,,,,2.0,,,,,,,,,,,away,main,,,,
98,98,D,False,Igor,,,igor,Igor,D,40,1017027,BR,Brazil,EUR,893030400.0,29.0,21.0,6.0,1.0,,,90.0,47.0,7.2,11.0,7.2,7.3,1.0,,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,away,main,,,,
