shirtNumber,jerseyNumber,position,substitute,captain,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.punches,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.bigChanceCreated,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.totalOffside,statistics.keyPass,statistics.aerialWon,statistics.outfielderBlock,statistics.fouls,statistics.penaltyWon,statistics.aerialLost,player.firstName,player.lastName,statistics.shotOffTarget,statistics.blockedScoringAttempt,statistics.goalAssist,statistics.bigChanceMissed,statistics.onTargetScoringAttempt,statistics.goals,team,player_type,statistics.goodHighClaim,statistics.penaltyConceded
1,1,G,False,True,Alex Muralha,alex-muralha,A. Santana,G,152,340113,BR,Brazil,EUR,626659200,23.0,19.0,12.0,8.0,2.0,1.0,1.0,1.0,90.0,26.0,7.2,4.0,7.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,
2,2,D,False,,Lucas Ramon,lucas-ramon,L. Ramon,D,30,797225,BR,Brazil,EUR,762998400,34.0,27.0,3.0,1.0,3.0,,,,90.0,67.0,7.9,13.0,7.9,8.1,4.0,1.0,3.0,6.0,2.0,1.0,2.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,home,main,,
3,3,D,False,,Thalisson Kelven,thalisson-kelven,T. Kelven,D,39,863277,BR,Brazil,EUR,894499200,57.0,49.0,7.0,4.0,3.0,,,,90.0,65.0,7.4,8.0,7.4,7.7,,,2.0,2.0,,,,,,2.0,,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,home,main,,
4,4,D,False,,Luiz Otávio,luiz-otavio,L. Otávio,D,76,874778,BR,Brazil,EUR,718588800,55.0,45.0,13.0,7.0,7.0,,,,90.0,65.0,7.2,10.0,7.2,7.2,,,3.0,2.0,,,1.0,1.0,,2.0,,,,,1.0,,,,3.0,,,,,,,,,home,main,,
6,6,D,False,,Guilherme Biro,guilherme-biro,Guilherme Biro,D,59,1047850,BR,Brazil,EUR,957139200,51.0,42.0,4.0,3.0,2.0,,,,90.0,84.0,7.7,14.0,7.7,7.8,2.0,1.0,2.0,9.0,,1.0,2.0,2.0,,1.0,3.0,1.0,,1.0,3.0,,,,1.0,Guilherme Biro,,1.0,,,,,,home,main,,
10,10,M,False,,Gabriel,gabriel,Gabriel,M,141,243459,BR,Brazil,EUR,631584000,28.0,21.0,6.0,4.0,,,,,69.0,37.0,7.2,11.0,7.2,7.3,1.0,1.0,1.0,3.0,,,1.0,1.0,1.0,,,1.0,,2.0,1.0,,,,1.0,,,1.0,,,,,,home,main,,
5,5,M,False,,Yuri,yuri,Yuri,M,100,842734,BR,Brazil,EUR,776044800,47.0,42.0,4.0,2.0,1.0,,,,58.0,57.0,7.1,6.0,7.1,7.1,,,3.0,2.0,,,,,,1.0,2.0,,,,,2.0,2.0,,1.0,,,1.0,1.0,,,,,home,main,,
11,11,M,False,,Negueba,negueba,Negueba,F,64,872007,BR,Brazil,EUR,944179200,29.0,23.0,,,,,,,81.0,52.0,7.1,11.0,7.1,7.4,,,4.0,9.0,1.0,1.0,2.0,2.0,,3.0,4.0,,,1.0,3.0,,1.0,,1.0,,,4.0,,1.0,2.0,,,home,main,,
8,8,M,False,,Danielzinho,danielzinho,Danielzinho,M,37,356514,BR,Brazil,EUR,783907200,42.0,37.0,5.0,4.0,,,,,90.0,63.0,7.3,15.0,7.3,7.5,4.0,,5.0,4.0,1.0,1.0,1.0,,,,2.0,2.0,1.0,1.0,,2.0,2.0,,1.0,,,,1.0,,,,,home,main,,
7,7,M,False,,Chico,chico,Chico,M,163,880132,KR,South Korea,EUR,674352000,42.0,31.0,3.0,1.0,,,,,81.0,64.0,7.0,24.0,7.0,7.4,3.0,,7.0,2.0,1.0,4.0,2.0,2.0,,1.0,,,,1.0,,,2.0,,,,,,,,,2.0,1.0,home,main,,
9,9,F,False,,Zé Roberto,ze-roberto,Z. Roberto,F,174,842076,BR,Brazil,EUR,747964800,22.0,14.0,,,,,,,69.0,38.0,7.2,17.0,7.2,7.3,,,4.0,7.0,,2.0,2.0,1.0,,,,1.0,,2.0,5.0,,,,1.0,,,,,,,1.0,1.0,home,main,,
15,15,M,True,,Flávio,flavio,Flávio,M,32,981813,BR,Brazil,EUR,961027200,14.0,13.0,,,3.0,,,,32.0,19.0,6.6,2.0,6.6,6.7,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,home,substitute,,
21,21,M,True,,Cristian Renato,cristian-renato,C. Renato,M,9,1148306,BR,Brazil,EUR,950832000,7.0,3.0,,,,,,,21.0,9.0,6.5,6.0,6.5,6.5,,,2.0,3.0,,,,,,,,,,,3.0,,1.0,,1.0,,,,,,,,,home,substitute,,
