shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.penaltyShootoutSave,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.shotOffTarget,statistics.penaltyShootoutGoal,statistics.challengeLost,statistics.outfielderBlock,statistics.totalCross,statistics.totalOffside,captain,player.firstName,player.lastName,statistics.ownGoals,statistics.wasFouled,statistics.accurateCross,statistics.keyPass,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.goals,statistics.goalAssist,statistics.bigChanceCreated,team,player_type,statistics.savedShotsFromInsideTheBox,statistics.bigChanceMissed,statistics.hitWoodwork,statistics.penaltyShootoutMiss
1,1,G,False,Ricardo Gutierrez,gutierrez-ricardo,R. Gutierrez,G,48,942710,MX,Mexico,EUR,866592000.0,22.0,15.0,11.0,4.0,1.0,2.0,90.0,31.0,7.5,7.0,2.0,7.5,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,
33,33,D,False,José Madueña,jose-maduena,J. Madueña,D,17,312658,MX,Mexico,EUR,643939200.0,28.0,22.0,3.0,2.0,,,90.0,51.0,7.1,12.0,,7.1,6.9,1.0,2.0,6.0,7.0,1.0,2.0,1.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,home,main,,,,
5,5,D,False,Facundo Almada,facundo-almada,F. Almada,D,84,966187,AR,Argentina,EUR,900028800.0,28.0,22.0,6.0,2.0,,,90.0,34.0,6.8,6.0,,6.8,6.7,,1.0,,1.0,,,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,home,main,,,,
19,19,D,False,Lucas Merolla,lucas-merolla,L. Merolla,D,106,833542,AR,Argentina,EUR,804211200.0,29.0,24.0,4.0,1.0,,,45.0,33.0,6.6,5.0,,6.6,6.5,,,2.0,2.0,,2.0,2.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,home,main,,,,
4,4,D,False,Jair Díaz,jair-diaz,J. Díaz,D,21,874813,MX,Mexico,EUR,903657600.0,29.0,24.0,4.0,2.0,,,90.0,46.0,6.9,7.0,,6.9,6.7,,,2.0,3.0,1.0,3.0,3.0,3.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,home,main,,,,
35,35,M,False,Jefferson Intriago,jefferson-intriago,J. Intriago,M,120,805484,EC,Ecuador,EUR,833846400.0,54.0,50.0,6.0,5.0,,,90.0,62.0,6.8,7.0,,6.8,6.7,,,3.0,2.0,,,,1.0,,1.0,3.0,,1.0,,,,,True,,,1.0,1.0,,,,,,,,home,main,,,,
22,22,M,False,Andres Montaño,andres-montano,A. Montaño,M,39,1187957,MX,Mexico,EUR,1022025600.0,41.0,35.0,3.0,3.0,,,90.0,54.0,7.7,8.0,,7.7,7.6,,1.0,1.0,5.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,,,,3.0,1.0,2.0,,,,,,home,main,,,,
7,7,M,False,Alan Medina,medina-alan,A. Medina,M,39,1172770,MX,Mexico,EUR,871948800.0,21.0,17.0,1.0,,,,79.0,43.0,6.9,11.0,,6.9,6.7,2.0,,9.0,5.0,1.0,5.0,3.0,2.0,,2.0,3.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,home,main,,,,
8,8,M,False,Josué Colmán,josue-colman,J. Colmán,M,98,822785,PY,Paraguay,EUR,901324800.0,18.0,17.0,1.0,,,,57.0,26.0,6.9,5.0,,6.9,6.9,,1.0,2.0,3.0,1.0,1.0,1.0,,,1.0,,,,1.0,,4.0,,,,,,,1.0,3.0,,,,,,home,main,,,,
21,21,M,False,Eduard Bello,eduard-bello,E. Bello,M,327,805047,VE,Venezuela,EUR,808876800.0,11.0,10.0,,,,,45.0,19.0,6.5,5.0,,6.5,6.3,,,2.0,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,home,main,,,,
