shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.totalContest,statistics.totalClearance,statistics.interceptionWon,statistics.wasFouled,statistics.outfielderBlock,statistics.totalTackle,statistics.totalCross,statistics.accurateCross,statistics.aerialLost,statistics.bigChanceCreated,statistics.fouls,statistics.keyPass,statistics.aerialWon,statistics.dispossessed,statistics.wonContest,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.goals,statistics.bigChanceMissed,statistics.goalAssist,statistics.blockedScoringAttempt,statistics.errorLeadToAShot,statistics.totalOffside,team,player_type,statistics.hitWoodwork
1,1,G,False,Drake Callender,,,drake-callender,D. Callender,G,162,1013934,US,USA,EUR,876182400.0,26.0,20.0,10.0,4.0,4.0,7.0,90.0,42.0,8.1,6.0,8.1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,
24,24,D,False,Ian Fray,Ian Fray,,fray-ian,I. Fray,D,54,1036290,JM,Jamaica,EUR,1030752000.0,8.0,8.0,1.0,1.0,,,30.0,18.0,6.5,3.0,6.5,6.3,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,home,main,
27,27,D,False,Serhiy Kryvtsov,,,serhiy-kryvtsov,S. Kryvtsov,D,295,45588,UA,Ukraine,EUR,668995200.0,40.0,37.0,7.0,6.0,,,90.0,50.0,6.9,4.0,6.9,6.7,3.0,2.0,3.0,,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,home,main,
31,31,D,False,Kamal Miller,,,kamal-miller,K. Miller,D,371,934841,CA,Canada,EUR,863740800.0,42.0,40.0,6.0,6.0,,,74.0,48.0,6.9,2.0,6.9,6.9,,1.0,,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,home,main,
2,2,D,False,DeAndre Yedlin,,,deandre-yedlin,D. Yedlin,D,691,314040,US,USA,EUR,742176000.0,39.0,34.0,2.0,1.0,,,90.0,51.0,7.1,9.0,7.1,6.9,4.0,1.0,,,1.0,1.0,,,1.0,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,home,main,
41,41,M,False,David Ruiz,David Ruiz,,ruiz-david,D. Ruiz,M,107,1131700,HN,Honduras,EUR,1076198400.0,19.0,14.0,3.0,1.0,,,54.0,27.0,6.6,7.0,6.6,6.5,5.0,4.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,2.0,1.0,,,,,,,,,home,main,
3,3,M,False,Dixon Arroyo,,,dixon-arroyo,D. Arroyo,M,107,158407,EC,Ecuador,EUR,707356800.0,60.0,53.0,9.0,7.0,,,90.0,70.0,6.8,7.0,6.8,6.6,5.0,3.0,3.0,,3.0,2.0,,,,,,1.0,,1.0,,3.0,,,,,,,,,,,home,main,
30,30,M,False,Benjamin Cremaschi,Benjamin Cremaschi,,cremaschi-benjamin,B. Cremaschi,M,332,1459459,US,USA,EUR,1109721600.0,27.0,23.0,1.0,1.0,,,54.0,36.0,6.6,9.0,6.6,6.4,4.0,4.0,1.0,,,,,,2.0,,,,,,,2.0,3.0,,,,,,,,,,home,main,
16,16,F,False,Robert Taylor,,,robert-taylor,R. Taylor,M,375,290943,FI,Finland,EUR,782697600.0,46.0,40.0,2.0,2.0,,,90.0,60.0,7.6,11.0,7.6,7.6,4.0,3.0,1.0,2.0,,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,home,main,
9,9,F,False,Leonardo Campana,,,leonardo-campana,L. Campana,F,1025,973557,EC,Ecuador,EUR,964396800.0,8.0,6.0,,,,,55.0,20.0,6.8,5.0,6.8,6.7,6.0,7.0,1.0,1.0,1.0,,,,1.0,,,3.0,,2.0,,5.0,1.0,1.0,1.0,2.0,,1.0,,,,,home,main,
19,19,F,False,Robbie Robinson,,,robbie-robinson,R. Robinson,F,213,884457,US,USA,EUR,913852800.0,22.0,21.0,1.0,1.0,,,90.0,40.0,7.5,5.0,7.5,7.4,7.0,8.0,1.0,4.0,2.0,1.0,3.0,,3.0,2.0,,1.0,,4.0,1.0,,,2.0,,1.0,,,1.0,1.0,,,home,main,
32,32,D,True,Noah Allen,Noah Allen,,noah-allen,N. Allen,D,104,1069642,US,USA,EUR,1083110400.0,25.0,20.0,2.0,1.0,,,60.0,37.0,7.1,6.0,7.1,7.0,1.0,4.0,,1.0,2.0,1.0,2.0,,,2.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,,,,,,,,home,substitute,
5,5,M,True,Sergio Busquets,,,sergio-busquets,S. Busquets,M,16611,39433,ES,Spain,EUR,585014400.0,32.0,30.0,2.0,,,,36.0,34.0,6.6,3.0,6.6,6.5,1.0,,,,1.0,,,,,,,,,,2.0,,1.0,,,,,,,,1.0,,home,substitute,
10,10,F,True,Lionel Messi,,,lionel-messi,L. Messi,F,547028,12994,AR,Argentina,EUR,551491200.0,26.0,24.0,2.0,2.0,,,36.0,35.0,7.8,7.0,7.8,7.7,4.0,1.0,,1.0,,,1.0,,,1.0,,,,1.0,1.0,,2.0,,,2.0,1.0,,,1.0,,1.0,home,substitute,
17,17,F,True,Josef Martínez,,,josef-martinez,J. Martínez,F,2041,133990,VE,Venezuela,EUR,737769600.0,10.0,8.0,,,,,35.0,15.0,6.7,2.0,6.7,6.7,2.0,1.0,,1.0,2.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,1.0,home,substitute,
4,4,D,True,Christopher McVey,,,christopher-mcvey,C. McVey,D,47,881876,SE,Sweden,EUR,860803200.0,9.0,8.0,,,,,16.0,10.0,6.2,1.0,6.2,6.2,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,home,substitute,
29,29,G,True,CJ dos Santos,,,cj-dos-santos,C. d. Santos,G,88,906020,US,USA,EUR,967075200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
99,99,G,True,Cole Jensen,Cole Jensen,,cole-jensen,C. Jensen,G,12,1470482,US,USA,EUR,980121600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
15,15,D,True,Ryan Sailor,Ryan Sailor,,ryan-sailor,R. Sailor,D,35,1172440,US,USA,EUR,883612800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
20,20,D,True,Harvey Neville,,,harvey-neville,H. Neville,M,148,966650,IE,Ireland,EUR,1025049600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
13,13,M,True,Victor Ulloa,,,victor-ulloa,V. Ulloa,M,64,546344,MX,Mexico,EUR,699667200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
28,28,F,True,Edison Azcona,Edison Azcona,,edison-azcona,E. Azcona,F,140,1036286,DO,Dominican Republic,EUR,1069372800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
49,49,F,True,Shanyder Borgelin,,,borgelin-shanyder,S. Borgelin,F,597,1025195,HT,Haiti,EUR,1003449600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,
30,30,G,False,Andrés Gudiño,,,andres-gudino,A. Gudiño,G,23,938577,MX,Mexico,EUR,854323200.0,18.0,12.0,8.0,2.0,2.0,4.0,90.0,26.0,6.4,6.0,6.4,6.4,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,away,main,
18,18,D,False,Rodrigo Huescas,,,huescas-rodrigo,R. Huescas,M,138,1113368,MX,Mexico,EUR,1063843200.0,11.0,8.0,2.0,2.0,,,30.0,14.0,6.6,4.0,6.6,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,away,main,
33,33,D,False,Rafael Guerrero,,,guerrero-rafael,R. Guerrero,D,43,1141150,MX,Mexico,EUR,1042416000.0,38.0,34.0,9.0,8.0,,,90.0,47.0,6.6,4.0,6.6,6.4,7.0,2.0,3.0,,1.0,,,2.0,1.0,,,3.0,,1.0,,1.0,,,,,,,,,,,away,main,
3,3,D,False,Carlos Salcedo,,,carlos-salcedo,C. Salcedo,D,310,314096,MX,Mexico,EUR,749260800.0,60.0,53.0,14.0,9.0,,,90.0,68.0,6.9,8.0,6.9,6.8,1.0,3.0,,,2.0,2.0,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,,,,away,main,
15,15,D,False,José Rivero,,,jose-rivero,J. Rivero,M,116,789308,UY,Uruguay,EUR,702864000.0,42.0,36.0,2.0,2.0,,,90.0,77.0,8.4,14.0,8.4,8.2,3.0,9.0,,2.0,1.0,2.0,4.0,,4.0,3.0,,1.0,2.0,1.0,2.0,,,1.0,2.0,3.0,,,,,,,away,main,
8,8,M,False,Jesús Dueñas,,,jesus-duenas,J. Dueñas,M,55,51967,MX,Mexico,EUR,606009600.0,62.0,60.0,8.0,7.0,,,90.0,71.0,7.5,2.0,7.5,7.3,3.0,4.0,,,,,2.0,,2.0,,,2.0,,1.0,2.0,,,,,,,,1.0,,,,away,main,
