shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.challengeLost,statistics.dispossessed,statistics.totalContest,statistics.blockedScoringAttempt,statistics.totalClearance,statistics.totalTackle,player.firstName,player.lastName,statistics.outfielderBlock,statistics.interceptionWon,statistics.aerialLost,statistics.shotOffTarget,statistics.fouls,statistics.keyPass,statistics.accurateCross,statistics.wonContest,statistics.wasFouled,captain,statistics.goalAssist,statistics.onTargetScoringAttempt,statistics.goals,statistics.totalOffside,team,player_type,statistics.bigChanceCreated,statistics.punches,statistics.hitWoodwork,statistics.bigChanceMissed
1,1,G,False,Joe Willis,joe-willis,J. Willis,G,89,150047,US,USA,EUR,587174400,26.0,21.0,10.0,5.0,1.0,1.0,3.0,1.0,1.0,90.0,34.0,6.8,5.0,6.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,
18,18,D,False,Shaq Moore,shaq-moore,S. Moore,D,157,813511,US,USA,EUR,846892800,39.0,36.0,2.0,1.0,,,,,,90.0,58.0,6.5,11.0,6.5,6.3,3.0,3.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,home,main,,,,
22,22,D,False,Josh Bauer,josh-bauer,J. Bauer,D,10,1049597,US,USA,EUR,901065600,39.0,36.0,3.0,1.0,,,,,,55.0,48.0,7.3,4.0,7.3,7.3,,,1.0,2.0,,1.0,,,2.0,2.0,Josh Bauer,,3.0,1.0,,,,,,,,,,,,,home,main,,,,
3,3,D,False,Lukas MacNaughton,lukas-macnaughton,L. MacNaughton,D,37,984486,CA,Canada,EUR,794620800,60.0,57.0,3.0,2.0,,,,,,90.0,71.0,7.0,6.0,7.0,7.0,,2.0,3.0,2.0,,,,,5.0,,,,,,2.0,1.0,1.0,2.0,,,,,,,,,home,main,,,,
2,2,D,False,Daniel Lovitz,daniel-lovitz,D. Lovitz,D,55,558698,US,USA,EUR,683251200,57.0,46.0,7.0,2.0,,,,,,90.0,76.0,6.9,15.0,6.9,6.7,4.0,1.0,4.0,5.0,3.0,,2.0,,,1.0,,,,2.0,1.0,,,1.0,1.0,2.0,1.0,,,,,,home,main,,,,
6,6,M,False,Dax McCarty,dax-mccarty,D. McCarty,M,39,38531,US,USA,EUR,546739200,55.0,53.0,2.0,1.0,,,,,,90.0,61.0,7.4,3.0,7.4,7.5,,,1.0,2.0,,,1.0,,,1.0,,,1.0,1.0,,,2.0,3.0,,1.0,,True,1.0,,,,home,main,,,,
54,54,M,False,Sean Davis,sean-davis,S. Davis,M,51,790148,US,USA,EUR,729129600,27.0,27.0,2.0,2.0,,,,,,55.0,35.0,7.1,1.0,7.1,7.0,,,,,,,,1.0,,,,,,1.0,,1.0,,2.0,,,,,,,,,home,main,,,,
8,8,M,False,Randall Leal,randall-leal,R. Leal,M,230,791003,CR,Costa Rica,EUR,853200000,25.0,14.0,,,,,,,,69.0,37.0,6.7,17.0,6.7,6.6,4.0,,3.0,2.0,2.0,,,2.0,,1.0,,,,,1.0,2.0,,1.0,,,1.0,,,,,,home,main,,,,
19,19,M,False,Alex Muyl,alex-muyl,A. Muyl,M,31,829568,US,USA,EUR,812419200,20.0,20.0,1.0,1.0,,,,,,55.0,30.0,6.6,3.0,6.6,6.5,,,6.0,2.0,2.0,,2.0,,,2.0,,,,,2.0,,,1.0,,,,,,,,,home,main,,,,
14,14,M,False,Jacob Shaffelburg,shaffelburg-jacob,J. Shaffelburg,M,123,976313,CA,Canada,EUR,943574400,19.0,14.0,,,,,,,,77.0,34.0,7.7,13.0,7.7,7.6,7.0,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,,2.0,1.0,1.0,home,main,,,,
