shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.duelWon,statistics.wasFouled,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.aerialWon,statistics.duelLost,statistics.challengeLost,statistics.totalContest,statistics.wonContest,statistics.blockedScoringAttempt,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.keyPass,statistics.aerialLost,statistics.outfielderBlock,statistics.dispossessed,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.goalAssist,statistics.bigChanceMissed,statistics.goals,team,player_type,statistics.punches,statistics.hitWoodwork,statistics.totalOffside
31,31,G,False,Ivan Banić,,,ivan-banic,I. Banić,G,72,136705,HR,Croatia,EUR,774489600,33.0,23.0,14.0,4.0,2.0,2.0,2.0,3.0,90.0,44.0,6.8,11.0,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,home,main,,,
20,20,D,False,Momčilo Raspopović,,,momcilo-raspopovic,M. Raspopović,D,45,138935,ME,Montenegro,EUR,763948800,29.0,23.0,3.0,2.0,5.0,,,,90.0,58.0,7.4,15.0,7.4,7.3,8.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,,,,,,,,,,home,main,,,
4,4,D,False,Matthew Steenvoorden,,,matthew-steenvoorden,M. Steenvoorden,D,50,196094,NL,Netherlands,EUR,726537600,46.0,37.0,11.0,6.0,1.0,1.0,,,90.0,51.0,6.6,9.0,6.6,6.6,,,,3.0,,,,,2.0,,,2.0,,1.0,1.0,,,,,,,,home,main,,,
5,5,D,False,Mateo Leš,,,mateo-les,M. Leš,D,86,965816,HR,Croatia,EUR,953942400,41.0,37.0,4.0,3.0,3.0,,,,84.0,50.0,7.0,5.0,7.0,7.0,,,1.0,3.0,,1.0,1.0,,5.0,,1.0,1.0,2.0,2.0,,,,,,,,,home,main,,,
90,90,D,False,Dino Štiglec,,,dino-stiglec,D. Štiglec,D,38,51287,HR,Croatia,EUR,654912000,29.0,20.0,2.0,,1.0,,,,90.0,51.0,6.6,14.0,6.6,6.4,3.0,1.0,,4.0,2.0,1.0,1.0,,2.0,,,,2.0,,1.0,2.0,,,,,,,home,main,,,
6,6,M,False,Marko Soldo,,,soldo-marko,M. Soldo,M,80,1133184,BA,Bosnia & Herzegovina,EUR,1069459200,15.0,13.0,,,1.0,,,,60.0,24.0,6.5,3.0,6.5,6.4,,,,5.0,2.0,1.0,,,4.0,2.0,1.0,2.0,,,,,,,,,,,home,main,,,
10,10,M,False,Jurica Pršir,,,jurica-prsir,J. Pršir,M,208,880745,HR,Croatia,EUR,959558400,37.0,31.0,5.0,2.0,6.0,3.0,,,90.0,54.0,7.7,11.0,7.7,7.7,6.0,4.0,1.0,1.0,,1.0,1.0,,,,1.0,,3.0,,1.0,1.0,1.0,1.0,,,,,home,main,,,
77,77,M,False,Valentino Majstorović,,,valentino-majstorovic,V. Majstorović,M,64,536820,HR,Croatia,EUR,816048000,2.0,1.0,1.0,,1.0,1.0,,,45.0,8.0,6.6,2.0,6.6,6.5,,,,4.0,,,,,,1.0,,3.0,,,,1.0,,1.0,,,,,home,main,,,
8,8,F,False,Merveil Ndockyt,,,merveil-ndockyt,M. Ndockyt,M,214,890996,CG,Congo Republic,EUR,900892800,30.0,25.0,2.0,1.0,6.0,2.0,,,90.0,41.0,7.4,6.0,7.4,7.2,,,2.0,2.0,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,,,2.0,1.0,,,,home,main,,,
14,14,M,False,Josip Mitrović,,,josip-mitrovic,J. Mitrović,M,128,880751,HR,Croatia,EUR,960681600,20.0,15.0,2.0,1.0,4.0,,,,90.0,34.0,7.7,7.0,7.7,7.4,,,,5.0,1.0,,,1.0,,1.0,4.0,1.0,3.0,2.0,,1.0,1.0,2.0,,1.0,,,home,main,,,
