shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.goodHighClaim,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.totalContest,statistics.totalTackle,statistics.aerialWon,statistics.interceptionWon,statistics.wasFouled,statistics.fouls,statistics.aerialLost,statistics.challengeLost,statistics.errorLeadToAGoal,statistics.keyPass,statistics.accurateCross,statistics.wonContest,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.goals,statistics.blockedScoringAttempt,statistics.goalAssist,statistics.bigChanceCreated,statistics.totalOffside,team,player_type,statistics.savedShotsFromInsideTheBox,statistics.punches,statistics.outfielderBlock
1,1,G,False,Nikola Čavlina,,,nikola-cavlina,N. Čavlina,G,259,1063336,HR,Croatia,EUR,1022976000,30.0,23.0,14.0,8.0,1.0,1.0,2.0,1.0,1.0,90.0,43.0,7.0,8.0,7.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,
27,27,D,False,Marko Vranjković,,,marko-vranjkovic,M. Vranjković,D,39,970524,HR,Croatia,EUR,918172800,20.0,14.0,3.0,,,,,,,45.0,37.0,6.4,16.0,6.4,6.4,5.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,home,main,,,
5,5,D,False,Jon Mersinaj,,,jon-mersinaj,J. Mersinaj,D,112,943132,AL,Albania,EUR,918432000,76.0,63.0,17.0,9.0,3.0,,,,,90.0,85.0,6.8,14.0,6.8,6.8,,4.0,5.0,,1.0,2.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,home,main,,,
20,20,D,False,Branimir Kalaica,,,branimir-kalaica,B. Kalaica,D,150,357586,HR,Croatia,EUR,896659200,88.0,79.0,9.0,5.0,1.0,,,,,90.0,93.0,6.4,9.0,6.4,6.2,,4.0,4.0,,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,home,main,,,
17,17,D,False,Ivan Milićević,,,ivan-milicevic,I. Milićević,D,96,878101,HR,Croatia,EUR,900547200,46.0,33.0,7.0,3.0,,,,,,90.0,68.0,6.7,22.0,6.7,6.7,8.0,3.0,2.0,,2.0,1.0,,,,1.0,,1.0,,1.0,3.0,1.0,,,,,,,,home,main,,,
29,29,M,False,Vladan Bubanja,,,vladan-bubanja,V. Bubanja,M,47,890635,ME,Montenegro,EUR,919555200,65.0,56.0,5.0,3.0,,,,,,90.0,77.0,7.9,11.0,7.9,7.6,,6.0,7.0,,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,,,,1.0,1.0,2.0,1.0,,,,,home,main,,,
14,14,M,False,Mateo Marić,,,mateo-maric,M. Marić,M,77,858501,BA,Bosnia & Herzegovina,EUR,890179200,65.0,60.0,5.0,4.0,,,,,,90.0,70.0,6.9,5.0,6.9,6.7,,5.0,,,,,,4.0,,,1.0,4.0,,1.0,,,,,,,,,,home,main,,,
19,19,F,False,Marin Šotiček,Marin Soticek,,marin-soticek,M. Šotiček,M,88,1163364,HR,Croatia,EUR,1095465600,9.0,5.0,,,,,,,,45.0,15.0,6.6,6.0,6.6,6.7,2.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,home,main,,,
8,8,M,False,Robert Mudražija,,,robert-mudrazija,R. Mudražija,M,121,770399,HR,Croatia,EUR,862790400,3.0,3.0,,,,,,,,15.0,4.0,6.4,,6.4,6.4,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,home,main,,,
22,22,F,False,Silvio Goričan,,,silvio-gorican,S. Goričan,M,68,1003397,HR,Croatia,EUR,951609600,23.0,16.0,1.0,,,,,,,90.0,44.0,7.1,16.0,7.1,6.9,4.0,4.0,7.0,1.0,3.0,,,,5.0,1.0,1.0,,,,,2.0,1.0,1.0,,1.0,,,,home,main,,,
