shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.duelLost,statistics.fouls,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,player.firstName,player.lastName,statistics.totalCross,statistics.duelWon,statistics.onTargetScoringAttempt,statistics.outfielderBlock,statistics.totalTackle,statistics.wasFouled,statistics.aerialWon,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.totalClearance,statistics.aerialLost,statistics.challengeLost,statistics.interceptionWon,statistics.keyPass,statistics.goals,statistics.bigChanceMissed,statistics.shotOffTarget,statistics.blockedScoringAttempt,statistics.hitWoodwork,statistics.accurateCross,statistics.goalAssist,statistics.bigChanceCreated,statistics.totalOffside,statistics.penaltyWon,team,player_type,statistics.goodHighClaim,statistics.punches,statistics.clearanceOffLine,statistics.penaltyConceded
1,1,G,False,Nediljko Labrović,nediljko-labrovic,N. Labrović,G,405,947986,HR,Croatia,EUR,939513600.0,18.0,10.0,12.0,4.0,1.0,1.0,1.0,1.0,90.0,24.0,6.8,9.0,6.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,
77,77,D,False,Danilo Filipe Melo Veiga,danilo-filipe-melo-veiga,D. Veiga,D,95,1002045,PT,Portugal,EUR,1032912000.0,43.0,33.0,5.0,2.0,2.0,2.0,,,90.0,63.0,7.6,16.0,7.6,7.8,,,4.0,8.0,1.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,home,main,,,,
6,6,D,False,Matej Mitrović,matej-mitrovic,M. Mitrović,D,304,202870,HR,Croatia,EUR,752889600.0,54.0,47.0,5.0,1.0,3.0,2.0,,,90.0,60.0,7.0,8.0,7.0,7.0,,,,3.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,home,main,,,,
66,66,D,False,Emir Dilaver,emir-dilaver,E. Dilaver,D,264,66171,AT,Austria,EUR,673574400.0,63.0,57.0,10.0,7.0,3.0,,,,90.0,69.0,7.1,10.0,7.1,7.0,,,,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,home,main,,,,
3,3,D,False,Bruno Goda,bruno-goda,B. Goda,M,68,855908,HR,Croatia,EUR,892771200.0,45.0,33.0,5.0,2.0,7.0,2.0,,,90.0,85.0,8.2,24.0,8.2,8.0,,,6.0,7.0,1.0,,3.0,1.0,1.0,,4.0,2.0,3.0,1.0,2.0,4.0,,1.0,,,,,,,,,,home,main,,,,
22,22,M,False,Emmanuel Banda,emmanuel-banda,E. Banda,M,702,881133,ZM,Zambia,EUR,875491200.0,34.0,29.0,6.0,6.0,1.0,,,,90.0,42.0,7.3,6.0,7.3,7.1,,,1.0,2.0,,,,1.0,1.0,,,,,,1.0,1.0,2.0,,1.0,3.0,1.0,1.0,,,,,,home,main,,,,
25,25,M,False,Veldin Hodža,veldin-hodza,V. Hodža,M,168,965025,HR,Croatia,EUR,1034640000.0,32.0,28.0,3.0,3.0,8.0,5.0,,,73.0,45.0,6.8,10.0,6.8,6.8,,,2.0,4.0,,,3.0,1.0,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,home,main,,,,
32,32,M,False,Alen Grgić,alen-grgic,A. Grgić,D,68,344177,HR,Croatia,EUR,776476800.0,24.0,18.0,2.0,1.0,3.0,,,,73.0,35.0,7.4,11.0,7.4,7.1,,,3.0,2.0,2.0,,1.0,1.0,,,1.0,,,2.0,,,2.0,,1.0,,1.0,,,1.0,1.0,1.0,,home,main,,,,
4,4,M,False,Niko Janković,niko-jankovic,N. Janković,M,295,965818,HR,Croatia,EUR,998697600.0,27.0,17.0,,,2.0,,,,84.0,42.0,9.7,15.0,9.7,9.5,,,5.0,4.0,2.0,,,3.0,1.0,,,,,,2.0,,4.0,2.0,,1.0,1.0,,1.0,1.0,3.0,,,home,main,,,,
99,99,M,False,Näis Djouahra,nais-djouahra,N. Djouahra,F,285,955133,FR,France,EUR,943315200.0,19.0,11.0,2.0,1.0,6.0,,,,57.0,39.0,7.1,16.0,7.1,6.8,,,4.0,8.0,,,3.0,2.0,1.0,1.0,5.0,2.0,,,2.0,1.0,1.0,,,1.0,,,,,,,,home,main,,,,
9,9,F,False,Jorge Obregón,jorge-obregon,J. Obregón,M,146,824165,CO,Colombia,EUR,859593600.0,13.0,10.0,2.0,2.0,4.0,,,,84.0,25.0,7.4,6.0,7.4,7.2,,,1.0,6.0,,,,3.0,1.0,1.0,2.0,2.0,,3.0,,,,,,,,,,,,,1.0,home,main,,,,
21,21,M,True,Toni Fruk,toni-fruk,T. Fruk,M,252,916183,HR,Croatia,EUR,984096000.0,9.0,8.0,1.0,1.0,1.0,,,,33.0,14.0,8.1,3.0,8.1,8.2,,,4.0,,1.0,,,,,,,,,,1.0,,3.0,1.0,,,,,2.0,1.0,,,,home,substitute,,,,
