shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.goalAssist,statistics.totalCross,statistics.aerialLost,statistics.duelLost,statistics.duelWon,statistics.totalContest,statistics.bigChanceCreated,statistics.shotOffTarget,statistics.totalTackle,statistics.fouls,statistics.keyPass,statistics.aerialWon,statistics.challengeLost,statistics.wonContest,statistics.wasFouled,statistics.interceptionWon,statistics.dispossessed,statistics.onTargetScoringAttempt,statistics.outfielderBlock,statistics.goals,statistics.bigChanceMissed,statistics.blockedScoringAttempt,statistics.accurateCross,statistics.hitWoodwork,statistics.penaltyConceded,team,player_type,statistics.errorLeadToAGoal,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.penaltyMiss,statistics.totalOffside
31,31,G,False,Marko Malenica,,,marko-malenica,M. Malenica,G,82,149673,HR,Croatia,EUR,760665600,35.0,21.0,26.0,12.0,1.0,90.0,39.0,6.4,14.0,6.4,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,home,main,,,,,,,
17,17,D,False,Šime Gržan,,,sime-grzan,Š. Gržan,D,68,152402,HR,Croatia,EUR,765590400,42.0,30.0,8.0,4.0,,90.0,63.0,7.4,17.0,7.4,7.4,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,,home,main,,,,,,,
37,37,D,False,Adrian Leon Barišić,,,adrian-leon-barisic,A. L. Barišić,D,226,959592,BA,Bosnia & Herzegovina,EUR,995500800,32.0,26.0,5.0,2.0,1.0,78.0,44.0,7.1,7.0,7.1,7.0,,,1.0,2.0,12.0,1.0,,,4.0,,,4.0,1.0,1.0,3.0,,,,,,,,,,,home,main,,,,,,,
41,41,D,False,Stefanos Evangelou,,,stefanos-evangelou,S. Evangelou,D,79,800972,GR,Greece,EUR,894931200,56.0,46.0,5.0,1.0,4.0,90.0,65.0,6.7,11.0,6.7,6.8,,,,,4.0,,,,1.0,,,3.0,,,,2.0,,,,,,,,,,home,main,,,,,,,
55,55,D,False,Oleksandr Drambaev,,,oleksandr-drambaev,O. Drambaev,D,87,997084,UA,Ukraine,EUR,987811200,23.0,18.0,5.0,2.0,4.0,90.0,47.0,7.3,10.0,7.3,7.2,,2.0,,3.0,7.0,4.0,,,3.0,,2.0,,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,home,main,,,,,,,
66,66,M,False,Petar Pušić,,,petar-pusic,P. Pusić,M,84,837015,CH,Switzerland,EUR,917222400,22.0,20.0,4.0,4.0,1.0,61.0,32.0,7.6,5.0,7.6,7.3,,3.0,,3.0,3.0,,,1.0,2.0,1.0,1.0,,2.0,,1.0,,,1.0,,,,,,,,home,main,,,,,,,
7,7,M,False,Vedran Jugović,,,vedran-jugovic,V. Jugović,M,41,51223,HR,Croatia,EUR,621388800,29.0,26.0,4.0,2.0,2.0,61.0,41.0,7.2,4.0,7.2,7.1,,,1.0,4.0,4.0,1.0,,,3.0,1.0,3.0,,1.0,,1.0,2.0,,,1.0,,,,,,,home,main,,,,,,,
8,8,M,False,Kristian Fućak,,,fucak-kristian,K. Fućak,F,125,989335,HR,Croatia,EUR,911001600,24.0,12.0,6.0,2.0,,61.0,46.0,7.0,24.0,7.0,6.8,,2.0,1.0,9.0,6.0,3.0,,,3.0,1.0,1.0,3.0,1.0,,,3.0,3.0,1.0,,1.0,,,,,,home,main,,,,,,,
11,11,M,False,Mijo Caktaš,,,mijo-caktas,M. Caktaš,M,411,152887,HR,Croatia,EUR,705283200,27.0,20.0,1.0,1.0,,78.0,38.0,7.9,10.0,7.9,7.8,1.0,1.0,,1.0,2.0,,,3.0,2.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,home,main,,,,,,,
44,44,M,False,Kristijan Lovrić,,,kristijan-lovric,K. Lovrić,M,557,359044,HR,Croatia,EUR,817776000,28.0,20.0,7.0,6.0,,90.0,49.0,8.0,19.0,8.0,7.8,1.0,6.0,,7.0,3.0,4.0,,1.0,,,1.0,2.0,1.0,1.0,,,3.0,2.0,1.0,1.0,,1.0,2.0,,,home,main,,,,,,,
