shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,team,player_type
1,1,G,False,Angelo Tafas,,,angelo-tafas,A. Tafas,G,11,1050809,AL,Albania,EUR,962755200.0,home,main
22,22,D,False,Perparim Islami,,,perparim-islami,P. Islami,D,2,885090,XK,Kosovo,EUR,799286400.0,home,main
4,4,D,False,Granit Jashari,Granit Jashari,,granit-jashari,G. Jashari,D,2,1394755,XK,Kosovo,EUR,903571200.0,home,main
19,19,D,False,Egzon Sinani,,,egzon-sinani,E. Sinani,D,4,1031247,XK,Kosovo,EUR,770947200.0,home,main
99,99,M,False,Yll Hoxha,,,yll-hoxha,Y. Hoxha,M,5,55124,AL,Albania,EUR,567475200.0,home,main
10,10,M,False,Arbnor Ramadani,,,arbnor-ramadani,A. Ramadani,M,7,938311,XK,Kosovo,EUR,739065600.0,home,main
23,23,M,False,Besar Musolli,,,besar-musolli,B. Musolli,M,5,258111,XK,Kosovo,EUR,604627200.0,home,main
17,17,D,False,Edison Kqiku,,,edison-kqiku,E. Kqiku,D,8,1014719,XK,Kosovo,EUR,916444800.0,home,main
11,11,M,False,Elton Cale,,,elton-cale,E. Cale,M,1,585034,BR,Brazil,EUR,584668800.0,home,main
77,77,F,False,Baton Zabergja,,,baton-zabergja,B. Zabergja,F,5,1033681,XK,Kosovo,EUR,987552000.0,home,main
24,24,F,False,Atdhe Rashiti,,,atdhe-rashiti,A. Rashiti,F,12,862059,AL,Albania,EUR,925603200.0,home,main
33,33,D,True,Arbër Prekazi,,,arber-prekazi,A. Prekazi,D,3,986324,XK,Kosovo,EUR,624931200.0,home,substitute
3,3,D,True,Armend Halili,,,armend-halili,A. Halili,D,3,1049410,XK,Kosovo,EUR,866937600.0,home,substitute
8,8,M,True,Redon Ismaili,Redon Ismaili,,redon-ismaili,R. Ismaili,M,2,1383441,XK,Kosovo,EUR,1035331200.0,home,substitute
30,30,G,True,Aridon Bllaca,Aridon Bllaca,,aridon-bllaca,A. Bllaca,G,2,1383387,XK,Kosovo,EUR,988848000.0,home,substitute
12,12,G,True,Rrezon Matoshi,Rrezon Matoshi,,rrezon-matoshi,R. Matoshi,G,0,1510994,XK,Kosovo,EUR,1082937600.0,home,substitute
16,16,D,True,Blend Krasniqi,,,blend-krasniqi,B. Krasniqi,D,1,1499081,XK,Kosovo,EUR,,home,substitute
6,6,D,True,Erlis Xhemaili,,,erlis-xhemaili,E. Xhemaili,D,4,1148952,XK,Kosovo,EUR,1057795200.0,home,substitute
20,20,M,True,Arens Mateli,,,arens-mateli,A. Mateli,M,1,1023363,AL,Albania,EUR,960595200.0,home,substitute
21,21,F,True,Erzen Hyseni,Erzen Hyseni,,erzen-hyseni,E. Hyseni,F,2,1387513,XK,Kosovo,EUR,1087516800.0,home,substitute
18,18,F,True,Lorent Rafuna,Lorent Rafuna,,lorent-rafuna,L. Rafuna,F,0,1510993,XK,Kosovo,EUR,1076630400.0,home,substitute
9,9,F,True,Mevlan Zeka,,,mevlan-zeka,M. Zeka,F,2,986333,XK,Kosovo,EUR,770083200.0,home,substitute
16,16,G,False,Eldin Latik,Eldin Latik,,eldin-latik,E. Latik,G,2,1409115,LU,Luxembourg,EUR,1040515200.0,away,main
18,18,D,False,Alex Angelin Guett Guett,Alex Angelin Guett Guett,,alex-angelin-guett-guett,A. A. G. Guett,D,0,1502281,CM,Cameroon,EUR,1038268800.0,away,main
4,4,D,False,Hamadou Karamoko,,,hamadou-karamoko,H. Karamoko,D,8,787353,FR,France,EUR,815097600.0,away,main
27,27,D,False,Vincent Peugnet,,,peugnet-vincent,V. Peugnet,D,1,915475,FR,France,EUR,886636800.0,away,main
38,38,D,False,Metin Karayer,,,metin-karayer,M. Karayer,D,2,785558,FR,France,EUR,706147200.0,away,main
12,12,M,False,Brian Amofa,,,brian-amofa,B. Amofa,M,4,122822,FR,France,EUR,715824000.0,away,main
24,24,M,False,Emir Bijelić,Emir Bijelic,,emir-bijelic,E. Bijelić,M,0,1502285,BA,Bosnia & Herzegovina,EUR,884908800.0,away,main
20,20,F,False,Omar Natami,,,omar-natami,O. Natami,F,13,892283,IT,Italy,EUR,913680000.0,away,main
19,19,F,False,Antoine Mazure-Hanus,Antoine Mazure-Hanus,,antoine-mazure-hanus,A. Mazure-Hanus,F,1,1502282,FR,France,EUR,906163200.0,away,main
17,17,F,False,Mayron De Almeida,,,mayron-de-almeida,M. D. Almeida,F,17,844765,BE,Belgium,EUR,816998400.0,away,main
25,25,F,False,Kenny Mixtur,Kenny Mixtur,,kenny-mixtur,K. Mixtur,F,3,1511049,GP,Guadeloupe,EUR,1065657600.0,away,main
7,7,M,True,Yannick Bastos,,,yannick-bastos,Y. Bastos,M,3,94185,LU,Luxembourg,EUR,738720000.0,away,substitute
6,6,D,True,Chris Lybohy,,,chris-lybohy,C. Lybohy,D,5,829106,NE,Niger,EUR,766022400.0,away,substitute
10,10,M,True,Belmin Muratovic,,,muratovic-belmin,B. Muratovic,M,5,987249,LU,Luxembourg,EUR,890956800.0,away,substitute
9,9,F,True,Walid Jarmouni,,,jarmouni-walid,W. Jarmouni,F,36,1063163,FR,France,EUR,958780800.0,away,substitute
70,70,F,True,Soiyir Sanali,Soiyir Sanali,,soiyir-sanali,S. Sanali,F,4,1117124,KM,Comoros,EUR,1011830400.0,away,substitute
1,1,G,True,Sebastien Flauss,,,sebastien-flauss,S. Flauss,G,1,797758,FR,France,EUR,619488000.0,away,substitute
97,97,D,True,Lucas Figueiredo,Lucas Figueiredo,,lucas-figueiredo,L. Figueiredo,D,3,1149173,LU,Luxembourg,EUR,1052870400.0,away,substitute
28,28,D,True,Jader Soares Borges,Jader Soares Borges,,jader-soares-borges,J. S. Borges,D,2,1502287,LU,Luxembourg,EUR,840412800.0,away,substitute
8,8,F,True,Gilson Delgado,Gilson Delgado,,gilson-delgado,G. Delgado,F,2,1048978,LU,Luxembourg,EUR,719452800.0,away,substitute
30,30,,True,Rodrigo Ribeiro,,,rodrigo-ribeiro,R. Ribeiro,,3,1513801,,,EUR,,away,substitute
