text,homeScore,awayScore,isLive,time,addedTime,incidentType,length,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerIn.firstName,playerIn.lastName,playerOut.firstName,playerOut.lastName,assist1.firstName,assist1.lastName,playerName,reason,rescinded,injury
FT,3.0,2.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,2.0,,84,,goal,,170514852.0,True,regular,7.0,Vinícius Júnior,,,vinicius-junior,Vinícius,F,145260.0,868812.0,Luka Modrić,luka-modric,L. Modrić,M,87724.0,15466.0,,,,,,,,,,,,,,,,,,,,,,
,,,,70,,substitution,,121901305.0,False,,21.0,,,,,,,,,,,,,,,Theo Hernández,theo-hernandez,T. Hernández,D,10170.0,788027.0,Davide Calabria,davide-calabria,D. Calabria,D,2124.0,318607.0,,,,,,,,,,
,,,,70,,substitution,,121901314.0,False,,21.0,,,,,,,,,,,,,,,Malick Thiaw,malick-thiaw,M. Thiaw,D,1991.0,1014286.0,Fikayo Tomori,fikayo-tomori,F. Tomori,D,4837.0,788255.0,,,,,,,,,,
,,,,70,,substitution,,121901306.0,False,,21.0,,,,,,,,,,,,,,,Mike Maignan,mike-maignan,M. Maignan,G,5203.0,191210.0,Marco Sportiello,marco-sportiello,M. Sportiello,G,393.0,176301.0,,,,,,,,,,
,,,,70,,substitution,,121901307.0,False,,21.0,,,,,,,,,,,,,,,Rafael Leão,rafael-leao,R. Leão,M,21624.0,851284.0,Christian Pulišić,christian-pulisic,C. Pulišić,M,22955.0,817957.0,,,,,,,,,,
,,,,70,,substitution,,121901308.0,False,,21.0,,,,,,,,,,,,,,,Simon Kjær,simon-kjaer,S. Kjær,D,2461.0,21535.0,Jan-Carlo Simic,jan-carlo-simic,J. Simic,D,339.0,1214992.0,,,Jan-Carlo Simic,,,,,,,
,,,,70,,substitution,,121901309.0,False,,21.0,,,,,,,,,,,,,,,Olivier Giroud,olivier-giroud,O. Giroud,F,16257.0,39070.0,Lorenzo Colombo,lorenzo-colombo,L. Colombo,F,1482.0,930191.0,,,,,,,,,,
,,,,70,,substitution,,121901310.0,False,,21.0,,,,,,,,,,,,,,,Alexis Saelemaekers,saelemaekers-alexis,A. Saelemaekers,M,3303.0,901891.0,Alessandro Florenzi,alessandro-florenzi,A. Florenzi,D,2278.0,152420.0,,,,,,,,,,
