text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,confirmed,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerName,reason,rescinded,playerOut.firstName,playerOut.lastName,length,injury,player.firstName,player.lastName,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id
FT,0.0,5.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,5.0,,90,11.0,goal,170459546.0,False,penalty,1.0,Riko Ueki,ueki-riko,R. Ueki,F,21.0,945620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,11.0,varDecision,19003.0,False,review,1.0,Riko Ueki,ueki-riko,R. Ueki,F,21.0,945620.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,9.0,substitution,121895471.0,True,,1.0,,,,,,,,Eunice Sakala,,,sakala-eunice,E. Sakala,G,7.0,1426936.0,Avell Chitundu,chitundu-avell,A. Chitundu,F,26.0,1130430.0,,,,,,,,,,,,,,,,,
,,,,90,7.0,card,120826091.0,True,yellowRed,1.0,Catherine Musonda,musonda-catherine,C. Musonda,G,31.0,1130444.0,,,,,,,,,,,,,,,,Catherine Musonda,Foul,False,,,,,,,,,,,,,,
,,,,90,3.0,substitution,121895468.0,False,,1.0,,,,,,,,Remina Chiba,,,remina-chiba,R. Chiba,M,3.0,1385484.0,Hinata Miyazawa,miyazawa-hinata,H. Miyazawa,M,60.0,947449.0,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,
,,,,82,,substitution,121895465.0,True,injury,9.0,,,,,,,,Vast Phiri,,,phiri-vast,V. Phiri,D,5.0,1131419.0,Lushomo Mweemba,mweemba-lushomo,L. Mweemba,D,23.0,1130435.0,,,,,,,True,,,,,,,,,,
,,,,77,,substitution,121895462.0,False,,14.0,,,,,,,,Hikaru Naomoto,,,hikaru-naomoto,H. Naomoto,M,20.0,131476.0,Aoba Fujino,aoba-fujino,A. Fujino,F,24.0,1395377.0,,,,,,,,,,,,,,,,,
,,,,77,,substitution,121895461.0,False,,14.0,,,,,,,,Kiko Seike,,,kiko-seike,K. Seike,D,7.0,1011240.0,Jun Endo,endo-jun,J. Endo,M,50.0,946443.0,,,,,,,,,,,,,,,,,
,,,,72,,substitution,121895458.0,True,,19.0,,,,,,,,Ochumba Lubandji,,,lubandji-ochumba,O. Lubandji,F,21.0,1130441.0,Ireen Lungu,lungu-ireen,I. Lungu,F,31.0,1130432.0,,,,,,,,,,,,,,,,,
,,,,72,,substitution,121895455.0,True,,19.0,,,,,,,,Avell Chitundu,,,chitundu-avell,A. Chitundu,F,26.0,1130430.0,Siomala  Mapepa,siomala-mapepa,S. Mapepa,F,13.0,1511594.0,,,,Siomala Mapepa,,,,,,,,,,,,,
,0.0,4.0,,71,,goal,170458635.0,False,regular,20.0,Jun Endo,endo-jun,J. Endo,M,50.0,946443.0,,,,,,,,,,,,,,,,,,,,,,,,,Yui Hasegawa,,,hasegawa-yui,Y. Hasegawa,M,353.0,861352.0
,,,,66,,substitution,121895445.0,False,,25.0,,,,,,,,Riko Ueki,,,ueki-riko,R. Ueki,F,21.0,945620.0,Mina Tanaka,mina-tanaka,M. Tanaka,F,67.0,131479.0,,,,,,,,,,,,,,,,,
,0.0,3.0,,62,,goal,170458338.0,False,regular,29.0,Hinata Miyazawa,miyazawa-hinata,H. Miyazawa,M,60.0,947449.0,,,,,,,,,,,,,,,,,,,,,,,,,Mina Tanaka,,,mina-tanaka,M. Tanaka,F,67.0,131479.0
,0.0,2.0,,55,,goal,170458110.0,False,regular,36.0,Mina Tanaka,mina-tanaka,M. Tanaka,F,67.0,131479.0,,,,,,,,,,,,,,,,,,,,,,,,,Jun Endo,,,endo-jun,J. Endo,M,50.0,946443.0
,,,,52,,varDecision,19001.0,False,penaltyAwarded,39.0,Aoba Fujino,aoba-fujino,A. Fujino,F,24.0,1395377.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51,,card,120826074.0,True,yellow,40.0,Catherine Musonda,musonda-catherine,C. Musonda,G,31.0,1130444.0,,,,,,,,,,,,,,,,Catherine Musonda,Foul,False,,,,,,,,,,,,,,
,,,,50,,varDecision,19000.0,False,goalAwarded,41.0,Mina Tanaka,mina-tanaka,M. Tanaka,F,67.0,131479.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT,0.0,1.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,
,0.0,1.0,,43,,goal,170457259.0,False,regular,3.0,Hinata Miyazawa,miyazawa-hinata,H. Miyazawa,M,60.0,947449.0,,,,,,,,,,,,,,,,,,,,,,,,,Aoba Fujino,,,aoba-fujino,A. Fujino,F,24.0,1395377.0
,,,,23,,varDecision,18999.0,False,goalAwarded,23.0,Mina Tanaka,mina-tanaka,M. Tanaka,F,67.0,131479.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
