text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,reversedPeriodTime,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,length,injury,incidentClass,playerName,reason,rescinded,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,confirmed,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id
FT,1.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,4.0,substitution,121898737.0,True,1.0,Kerstin Yasmijn Casparij,,,kerstin-yasmijn-casparij,K. Y. Casparij,D,75.0,1135326.0,Victoria Pelova,,,pelova-victoria,V. Pelova,M,253.0,944676.0,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
,,,,87,,substitution,121898732.0,True,4.0,Katja Snoeijs,,,snoeijs-katja,K. Snoeijs,F,58.0,1004874.0,Lineth Beerensteyn,,,lineth-beerensteyn,L. Beerensteyn,F,197.0,886370.0,,True,injury,,,,,,,,,,,,,,,,,,
,,,,84,,card,120827860.0,False,7.0,,,,,,,,,,,,,,,,,,,yellow,Diana Gomes,Foul,False,Diana Gomes,diana-gomes,D. Gomes,D,73.0,886471.0,,,,,,,,,
,,,,80,,substitution,121898722.0,True,11.0,Damaris Egurrola Wienke,,,damaris-egurrola-wienke,D. E. Wienke,M,160.0,1008754.0,Danielle van de Donk,,,danielle-van-de-donk,D. v. d. Donk,M,639.0,181569.0,,,,,,,,,,,,,,,,,,,,,
,,,,79,,substitution,121898719.0,False,12.0,Telma Encarnação,,,telma-encarnacao,T. Encarnação,F,41.0,963163.0,Diana Silva,,,silva-diana,D. Silva,F,97.0,181011.0,,,,,,,,,,,,,,,,,,,,,
,,,,79,,substitution,121898718.0,False,12.0,Andreia Jacinto,,,jacinto-andreia,A. Jacinto,M,44.0,1022569.0,Andreia Norton,,,andreia-norton,A. Norton,F,81.0,859185.0,,,,,,,,,,,,,,,,,,,,,
,,,,78,,substitution,121898720.0,False,13.0,Lúcia Alves,Lúcia,Alves,lucia-alves,L. Alves,D,80.0,1135263.0,Catarina Amado,,,catarina-amado,C. Amado,D,99.0,1088416.0,,,,,,,,,,,,,,,,,,,,,
,,,,78,,card,120827855.0,True,13.0,,,,,,,,,,,,,,,,,,,yellow,Danielle van de Donk,Foul,False,Danielle van de Donk,danielle-van-de-donk,D. v. d. Donk,M,639.0,181569.0,,,,,,,,,
,,,,68,,substitution,121898712.0,False,23.0,Francisca Nazareth,,,francisca-nazareth,F. Nazareth,M,277.0,1136047.0,Dolores Silva,,,dolores-silva,D. Silva,M,50.0,863081.0,,,,,,,,,,,,,,,,,,,,,
,,,,56,,card,120827848.0,False,35.0,,,,,,,,,,,,,,,,,,,yellow,Jessica Silva,Foul,False,Jessica Silva,silva-jessica,J. Silva,F,333.0,150085.0,,,,,,,,,
HT,1.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
,,,,14,,varDecision,19032.0,True,32.0,,,,,,,,,,,,,,,,,,,goalNotAwarded,,,,Stefanie van der Gragt,stefanie-van-der-gragt,S. van der Gragt,D,148.0,796526.0,False,,,,,,,,
,1.0,0.0,,13,,goal,170485429.0,True,33.0,,,,,,,,,,,,,,,,,,,regular,,,,Stefanie van der Gragt,stefanie-van-der-gragt,S. van der Gragt,D,148.0,796526.0,,Sherida Spitse,,,sherida-spitse,S. Spitse,M,110.0,80741.0
