text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,length,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerIn.firstName,playerIn.lastName
FT,0.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,2.0,card,Khadija Shaw,Foul,False,120828102.0,False,yellowRed,1.0,Khadija Shaw,,,shaw-khadija,K. Shaw,F,498.0,985590.0,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
,,,,71,,substitution,,,,121899160.0,False,,20.0,,,,,,,,,,Solai Washington,solai-washington,S. Washington,M,15.0,1507910.0,Atlanta Primus,Atlanta,Primus,atlanta-primus,A. Primus,M,22.0,1116088.0,,
,,,,71,,substitution,,,,121899161.0,False,,20.0,,,,,,,,,,Havana Marguerite Solaun,solaun-havana-marguerite,H. M. Solaun,M,22.0,984071.0,Cheyna Matthews,,,matthews-cheyna,C. Matthews,M,32.0,985597.0,,
,,,,66,,substitution,,,,121899153.0,True,,25.0,,,,,,,,,,Vicki Becho,becho-vicki,V. Becho,F,56.0,989980.0,Amel Majri,,,amel-majri,A. Majri,M,270.0,149342.0,,
,,,,66,,substitution,,,,121899152.0,True,,25.0,,,,,,,,,,Kenza Dali,kenza-dali,K. Dali,M,81.0,92400.0,Clara Matéo,,,clara-mateo,C. Matéo,M,139.0,973120.0,,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
,,,,37,,card,Khadija Shaw,Foul,False,120828031.0,False,yellow,9.0,Khadija Shaw,,,shaw-khadija,K. Shaw,F,498.0,985590.0,,,,,,,,,,,,,,,,,
,,,,24,,card,Atlanta Primus,Foul,False,120828002.0,False,yellow,22.0,Atlanta Primus,Atlanta,Primus,atlanta-primus,A. Primus,M,22.0,1116088.0,,,,,,,,,,,,,,,,,
,,,,14,,card,Clara Matéo,Foul,False,120827981.0,True,yellow,32.0,Clara Matéo,,,clara-mateo,C. Matéo,M,139.0,973120.0,,,,,,,,,,,,,,,,,
