text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,length,playerName,reason,rescinded,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,injury
FT,2.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,1.0,,90,,goal,170484025.0,True,regular,1.0,Amanda Ilestedt,,,amanda-ilestedt,A. Ilestedt,D,232.0,94320.0,Kosovare Asllani,,,kosovare-asllani,K. Asllani,F,554.0,71731.0,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
,,,,89,,card,120827822.0,False,yellow,2.0,Refiloe Jane,,,refiloe-jane,R. Jane,M,138.0,244681.0,,,,,,,,,,Refiloe Jane,Foul,False,,,,,,,,,,,,,,,,,
,,,,88,,substitution,121898661.0,True,,3.0,,,,,,,,,,,,,,,,,,,,,Lina Hurtig,,,lina-hurtig,L. Hurtig,F,202.0,137434.0,Johanna Rytting Kaneryd,,,rytting-kaneryd-johanna,J. R. Kaneryd,M,219.0,287129.0,
,,,,81,,substitution,121898657.0,True,,10.0,,,,,,,,,,,,,,,,,,,,,Caroline Seger,,,caroline-seger,C. Seger,M,55.0,28538.0,Elin Rubensson,,,elin-rubensson,E. Rubensson,M,59.0,94328.0,
,,,,74,,card,120827817.0,False,yellow,17.0,Kholosa Biyana,,,kholosa-biyana,K. Biyana,M,7.0,973776.0,,,,,,,,,,Kholosa Biyana,Foul,False,,,,,,,,,,,,,,,,,
,,,,67,,substitution,121898642.0,True,,24.0,,,,,,,,,,,,,,,,,,,,,Hanna Bennison,,,bennison-hanna,H. Bennison,M,82.0,982629.0,Filippa Angeldahl,,,filippa-angeldahl,F. Angeldahl,M,50.0,1025156.0,
,,,,67,,substitution,121898643.0,False,,24.0,,,,,,,,,,,,,,,,,,,,,Nomvula Kgoale,,,nomvula-kgoale,N. Kgoale,M,6.0,1115153.0,Linda Motlhalo,,,linda-motlhalo,L. Motlhalo,M,110.0,845412.0,
,,,,67,,substitution,121898641.0,True,,24.0,,,,,,,,,,,,,,,,,,,,,Rebecka Blomqvist,,,blomqvist-rebecka,R. Blomqvist,F,84.0,794378.0,Stina Blackstenius,,,stina-blackstenius,S. Blackstenius,F,391.0,287109.0,
,,,,67,,substitution,121898640.0,True,,24.0,,,,,,,,,,,,,,,,,,,,,Olivia Schough,,,olivia-schough,O. Schough,F,65.0,68173.0,Fridolina Rolfö,,,fridolina-rolfo,F. Rolfö,D,719.0,94339.0,
,1.0,1.0,,65,,goal,170483498.0,True,regular,26.0,Fridolina Rolfö,,,fridolina-rolfo,F. Rolfö,D,719.0,94339.0,Johanna Rytting Kaneryd,,,rytting-kaneryd-johanna,J. R. Kaneryd,M,219.0,287129.0,,,,,,,,,,,,,,,,,,,,,
,,,,56,,substitution,121898636.0,False,injury,35.0,,,,,,,,,,,,,,,,,,,,,Gabriela Salgado,,,gabriela-salgado,G. Salgado,M,7.0,1115154.0,Hildah Magaia,,,hildah-magaia,H. Magaia,M,31.0,973775.0,True
,0.0,1.0,,48,,goal,170483039.0,False,regular,43.0,Hildah Magaia,,,hildah-magaia,H. Magaia,M,31.0,973775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
