text,homeScore,awayScore,isLive,time,addedTime,incidentType,length,id,isHome,reversedPeriodTime,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,incidentClass,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,injury
FT,4.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83,,substitution,,121901782.0,False,8.0,Carmen Montenegro,,,carmen-montenegro,C. Montenegro,M,2.0,1471000.0,Rosi,Rosi,,rosi,Rosi,D,4.0,1497570.0,,,,,,,,,,,,,,,,
,,,,79,,substitution,,121901780.0,False,12.0,Lineth Cedeño,,,lineth-cedeno,L. Cedeño,F,20.0,1387537.0,Marta Cox Villarreal,,,marta-cox-villarreal,M. C. Villarreal,M,12.0,1387538.0,,,,,,,,,,,,,,,,
,,,,75,,substitution,,121901778.0,True,16.0,Marta,,,marta,Marta,M,1599.0,29154.0,Ary Borges,,,borges-ary,A. Borges,M,437.0,1023952.0,,,,,,,,,,,,,,,,
,,,,75,,substitution,,121901777.0,True,16.0,Duda Sampaio,,,duda-sampaio,D. Sampaio,M,126.0,1401517.0,Luana Bertolucci,,,luana-bertolucci,Luana,M,185.0,794302.0,,,,,,,,,,,,,,,,
,4.0,0.0,,70,,goal,,170524191.0,True,21.0,,,,,,,,,,,,,,,,,regular,Ary Borges,borges-ary,A. Borges,M,437.0,1023952.0,Geyse Ferreira,,,geyse-ferreira,G. Ferreira,F,1172.0,860772.0,
,,,,65,,substitution,,121901763.0,False,26.0,Deysire Salazar,,,salazar-deysire,D. Salazar,M,1.0,1387551.0,Aldrith Quintero,,,quintero-aldrith,A. Quintero,M,8.0,1417351.0,injury,,,,,,,,,,,,,,,True
,,,,59,,substitution,,121901750.0,True,32.0,Gabi Nunes,,,nunes-gabi,G. Nunes,F,177.0,860760.0,Bia Zaneratto,,,bia-zaneratto,B. Zaneratto,F,334.0,131547.0,,,,,,,,,,,,,,,,
,,,,59,,substitution,,121901749.0,True,32.0,Bruninha,,,bruninha,Bruninha,D,112.0,1065484.0,Antônia Silva,,,antonia-silva,A. Silva,D,107.0,1022543.0,,,,,,,,,,,,,,,,
,,,,59,,substitution,,121901748.0,True,32.0,Geyse Ferreira,,,geyse-ferreira,G. Ferreira,F,1172.0,860772.0,Debinha,,,debinha,Debinha,M,445.0,315832.0,,,,,,,,,,,,,,,,
,,,,54,,substitution,,121901742.0,False,37.0,Emily Cedeno Coba,,,emily-cedeno-coba,E. C. Coba,M,8.0,1417349.0,Natalia Mills,,,mills-natalia,N. Mills,M,7.0,1417186.0,,,,,,,,,,,,,,,,
,,,,53,,substitution,,121901741.0,False,38.0,Riley Tanner,,,tanner-riley,R. Tanner,F,27.0,1471001.0,Karla Riley,,,riley-karla,K. Riley,F,6.0,1387550.0,,,,,,,,,,,,,,,,
,3.0,0.0,,48,,goal,,170523672.0,True,43.0,,,,,,,,,,,,,,,,,regular,Bia Zaneratto,bia-zaneratto,B. Zaneratto,F,334.0,131547.0,Ary Borges,,,borges-ary,A. Borges,M,437.0,1023952.0,
,,,,46,,substitution,,121901734.0,False,45.0,Wendy Natis,,,natis-wendy,W. Natis,D,1.0,1388378.0,Hilary Jaen,,,jaen-hilary,H. Jaen,D,3.0,1387549.0,,,,,,,,,,,,,,,,
HT,2.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,0.0,,39,,goal,,170523045.0,True,7.0,,,,,,,,,,,,,,,,,regular,Ary Borges,borges-ary,A. Borges,M,437.0,1023952.0,,,,,,,,,
,1.0,0.0,,19,,goal,,170522661.0,True,27.0,,,,,,,,,,,,,,,,,regular,Ary Borges,borges-ary,A. Borges,M,437.0,1023952.0,Debinha,,,debinha,Debinha,M,445.0,315832.0,
