text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerIn.firstName,playerIn.lastName,length,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerOut.firstName,playerOut.lastName
FT,1.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,6.0,card,Eliana Stábile,Foul,False,120829343.0,False,yellow,1.0,Eliana Stábile,,,eliana-stabile,E. Stábile,D,21.0,985604.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,2.0,substitution,,,,121901520.0,False,,1.0,,,,,,,,,Paulina Gramaglia,gramaglia-paulina,P. Gramaglia,F,15.0,1163969.0,Mariana Larroquette,mariana-larroquette,M. Larroquette,F,67.0,985621.0,,,,,,,,,,,
,,,,90,2.0,substitution,,,,121901519.0,False,,1.0,,,,,,,,,Dalila Ippólito,dalila-ippolito,D. Ippólito,M,71.0,985623.0,Daiana Falfan,falfan-daiana,D. Falfán,M,23.0,1004623.0,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,
,1.0,0.0,,87,,goal,,,,170518062.0,True,regular,4.0,Cristiana Girelli,,,cristiana-girelli,C. Girelli,F,330.0,93342.0,,,,,,,,,,,,,,,,Lisa Boattin,lisa-boattin,L. Boattin,D,158.0,266675.0,,
,,,,85,,card,Barbara Bonansea,Foul,False,120829333.0,True,yellow,6.0,Barbara Bonansea,,,barbara-bonansea,B. Bonansea,F,279.0,92095.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,83,,substitution,,,,121901499.0,True,,8.0,,,,,,,,,Cristiana Girelli,cristiana-girelli,C. Girelli,F,330.0,93342.0,Giulia Dragoni,dragoni-giulia,G. Dragoni,M,92.0,1436120.0,,,,,,,,,,,
,,,,77,,substitution,,,,121901492.0,False,,14.0,,,,,,,,,Yamila Rodríguez,yamila-rodriguez,Y. Rodríguez,F,128.0,1103773.0,Romina Nunez,nunez-romina,R. Núñez,M,29.0,1103774.0,,,,,,,,,,,
,,,,76,,card,Florencia Bonsegundo,Foul,False,120829327.0,False,yellow,15.0,Florencia Bonsegundo,,,florencia-bonsegundo,F. Bonsegundo,M,47.0,985613.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,74,,substitution,,,,121901482.0,True,,17.0,,,,,,,,,Sofia Cantore,cantore-sofia,S. Cantore,F,87.0,1007228.0,Valentina Giacinti,valentina-giacinti,V. Giacinti,F,312.0,828578.0,,,,,,,,,,,
,,,,68,,card,Miriam Mayorga,Foul,False,120829317.0,False,yellow,23.0,Miriam Mayorga,,,miriam-mayorga,M. Mayorga,D,21.0,985617.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,58,,substitution,,,,121901419.0,True,,33.0,,,,,,,,,Giada Greggi,greggi-giada,G. Greggi,M,58.0,1000078.0,Arianna Caruso,caruso-arianna,A. Caruso,M,134.0,995807.0,,,,,,,,,,,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
,,,,25,,card,Arianna Caruso,Foul,False,120829264.0,True,yellow,21.0,Arianna Caruso,,,caruso-arianna,A. Caruso,M,134.0,995807.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,card,Mariana Larroquette,Foul,False,120829255.0,False,yellow,34.0,Mariana Larroquette,,,mariana-larroquette,M. Larroquette,F,67.0,985621.0,,,,,,,,,,,,,,,,,,,,,,,
