text,homeScore,awayScore,isLive,time,addedTime,incidentType,length,id,isHome,reversedPeriodTime,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerOut.firstName,playerOut.lastName,confirmed,incidentClass,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,playerName,reason,rescinded,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id
FT,0.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,84,,substitution,,121902463.0,True,7.0,Grace Jale,Grace Jale,,jale-grace,G. Jale,M,13.0,1159570.0,Ria Percival,ria-percival,R. Percival,D,31.0,29126.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,83,,substitution,,121902465.0,False,8.0,Ryley Bugay,,,bugay-ryley,R. Bugay,M,6.0,1174044.0,Jessika Cowart,jessika-cowart,J. Cowart,D,4.0,1390655.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,83,,substitution,,121902464.0,False,8.0,Carleigh Frilles,,,frilles-carleigh,C. Frilles,M,12.0,1174060.0,Sarina Bolden,bolden-sarina,S. Bolden,F,37.0,1174658.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,70,,substitution,,121902456.0,False,21.0,Tahnai Annis,,,annis-tahnai,T. Annis,M,6.0,1174043.0,Alicia Barker,alicia-barker,A. Barker,D,6.0,1470426.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,70,,substitution,,121902457.0,False,21.0,Dominique Randle,,,dominique-randle,D. Randle,D,6.0,1174046.0,Quinley Quezada,quinley-quezada,Q. Quezada,M,10.0,1174052.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,70,,varDecision,,19073.0,True,21.0,,,,,,,,,,,,,,,,,False,goalAwarded,Jacqui Hand,,,hand-jacqui,J. Hand,F,34.0,1154468.0,,,,,,,,,,,
,,,,64,,substitution,,121902455.0,False,27.0,Isabella Flanigan,,,flanigan-isabella,I. Flanigan,D,11.0,1174058.0,Sara Kristine Eggesvik,eggesvik-sara-kristine,S. K. Eggesvik,M,16.0,912760.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,49,,card,,120829761.0,False,42.0,,,,,,,,,,,,,,,,,,yellow,Angela Beard,,,angela-beard,A. Beard,D,15.0,1010475.0,Angela Beard,Foul,False,,,,,,,,
,,,,46,,substitution,,121902452.0,True,45.0,Annalie Longo,,,annalie-longo,A. Longo,M,4.0,29139.0,Betsy Hassett,betsy-hassett,B. Hassett,M,8.0,121376.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,,121902451.0,True,45.0,Olivia Chance,,,olivia-chance,O. Chance,M,26.0,985696.0,Indiah-Paige Riley,indiah-paige-riley,I. Riley,M,46.0,1009447.0,,,,,,,,,,,,,,,,,,,,,,,
HT,0.0,1.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42,,card,,120829759.0,True,4.0,,,,,,,,,,,,,,,,,,yellow,Hannah Wilkinson,,,hannah-wilkinson,H. Wilkinson,F,102.0,121374.0,Hannah Wilkinson,Foul,False,,,,,,,,
,0.0,1.0,,24,,goal,,170541908.0,False,22.0,,,,,,,,,,,,,,,,,,regular,Sarina Bolden,,,bolden-sarina,S. Bolden,F,37.0,1174658.0,,,,Sara Kristine Eggesvik,,,eggesvik-sara-kristine,S. K. Eggesvik,M,16.0,912760.0
