text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,injury,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,length,playerOut.firstName,playerOut.lastName,playerIn.firstName,playerIn.lastName,player.firstName,player.lastName,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id
FT,2.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,8.0,card,Katie McCabe,Argument,False,120830175.0,False,yellow,1.0,Katie McCabe,mccabe-katie,K. McCabe,M,367.0,138357.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,4.0,substitution,,,,121903643.0,True,injury,1.0,,,,,,,True,Allysha Chapman,allysha-chapman,A. Chapman,D,22.0,558930.0,Jayde Riviere,riviere-jayde,J. Riviere,D,96.0,985251.0,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,
,,,,65,,substitution,,,,121903633.0,False,,26.0,,,,,,,,Isibeal Atkinson,atkinson-isibeal,I. Atkinson,M,27.0,1092649.0,Sinead Farrelly,sinead-farrelly,S. Farrelly,M,7.0,1482656.0,,Sinead Farrelly,,,,,,,,,,,
,,,,65,,substitution,,,,121903632.0,False,,26.0,,,,,,,,Lily Agg,agg-lily,L. Agg,M,14.0,1090625.0,Ruesha Littlejohn,ruesha-littlejohn,R. Littlejohn,M,35.0,71348.0,,,,,,,,,,,,,
,,,,65,,substitution,,,,121903631.0,False,,26.0,,,,,,,,Amber Barrett,barrett-amber,A. Barrett,F,12.0,1000511.0,Kyra Carusa,kyra-carusa,K. Carusa,F,12.0,1022690.0,,,,,,,,,,,,,
,,,,61,,card,Vanessa Gilles,Time wasting,False,120830173.0,True,yellow,30.0,Vanessa Gilles,gilles-vanessa,V. Gilles,D,110.0,974082.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59,,substitution,,,,121903623.0,True,,32.0,,,,,,,,Cloé Lacasse,cloe-lacasse,C. Lacasse,F,142.0,1088424.0,Adriana Leon,adriana-leon,A. Leon,F,211.0,256353.0,,,,,,,,,,,,,
,,,,58,,substitution,,,,121903624.0,False,,33.0,,,,,,,,Marissa Sheva,marissa-sheva,M. Sheva,F,19.0,1034549.0,Aine O'Gorman,ogorman-aine,Á. O'Gorman,D,9.0,1022686.0,,,,,,,,,,,,,
,2.0,1.0,,53,,goal,,,,170576176.0,True,regular,38.0,Adriana Leon,adriana-leon,A. Leon,F,211.0,256353.0,,,,,,,,,,,,,,,,,,,,,Sophie Schmidt,sophie-schmidt,S. Schmidt,M,50.0,28621.0
,,,,46,,substitution,,,,121903610.0,True,,45.0,,,,,,,,Sophie Schmidt,sophie-schmidt,S. Schmidt,M,50.0,28621.0,Julia Grosso,julia-grosso,J. Grosso,M,226.0,974078.0,,,,,,,,,,,,,
,,,,46,,substitution,,,,121903606.0,False,,45.0,,,,,,,,Abbie Larkin,larkin-abbie,A. Larkin,F,28.0,1185435.0,Lucy Quinn,lucy-quinn,L. Quinn,F,14.0,1007328.0,,,,,,,,,,,,,
,,,,46,,substitution,,,,121903605.0,True,,45.0,,,,,,,,Christine Sinclair,christine-sinclair,C. Sinclair,M,139.0,28614.0,Evelyne Viens,evelyne-viens,E. Viens,F,28.0,1025446.0,,,,,,,,,,,,,
,,,,46,,substitution,,,,121903604.0,True,injury,45.0,,,,,,,True,Shelina Zadorsky,shelina-zadorsky,S. Zadorsky,D,83.0,845622.0,Kadeisha Buchanan,kadeisha-buchanan,K. Buchanan,D,309.0,276441.0,,,,,,,,,,,,,
HT,1.0,1.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,1.0,,45,5.0,goal,,,,170575718.0,True,ownGoal,1.0,Megan Connolly,connolly-megan,M. Connolly,M,21.0,1000508.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,
,,,,36,,card,Kadeisha Buchanan,Foul,False,120830165.0,True,yellow,10.0,Kadeisha Buchanan,kadeisha-buchanan,K. Buchanan,D,309.0,276441.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,1.0,,4,,goal,,,,170574688.0,False,regular,42.0,Katie McCabe,mccabe-katie,K. McCabe,M,367.0,138357.0,,,,,,,,,,,,,,,,,,,,,,,,,,
