text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,reversedPeriodTime,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,injury,incidentClass,length,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,playerName,rescinded,player.firstName,player.lastName,confirmed,reason
FT,0.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,12.0,substitution,121898499.0,False,1.0,Patricio Pizarro,Patricio Pizarro,,patricio-pizarro,P. Pizarro,D,17.0,1384823.0,Walter Mazzantti,,,walter-mazzantti,W. Mazzantti,F,28.0,861339.0,,,,,,,,,,,,,,,
,,,,90,12.0,substitution,121898498.0,False,1.0,Jonas Acevedo,,,jonas-acevedo,J. Acevedo,M,22.0,875895.0,Guillermo Benitez,,,guillermo-benitez,G. Benitez,D,12.0,830583.0,True,injury,,,,,,,,,,,,,
,,,,90,11.0,substitution,121898497.0,False,1.0,Enzo Luna,Enzo Luna,,enzo-luna,E. Luna,F,9.0,1385677.0,Juan Gauto,,,juan-gauto,J. Gauto,M,496.0,1018426.0,,,,,,,,,,,,,,,
,,,,90,10.0,substitution,121898488.0,True,1.0,Nadir Zeineddin,,,nadir-zeineddin,N. Zeineddin,F,12.0,1093117.0,Juan Infante,,,juan-infante,J. Infante,D,4.0,941542.0,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,
,,,,87,,substitution,121898459.0,True,4.0,Maximiliano Zalazar,Maximiliano Zalazar,,maximiliano-zalazar,M. Zalazar,F,82.0,1067653.0,Sasha Marcich,,,sasha-marcich,S. Marcich,D,41.0,992126.0,,,,,,,,,,,,,,,
,,,,87,,substitution,121898458.0,True,4.0,‪Ignacio Schor,,,ignacio-schor,‪I. Schor,M,101.0,1092305.0,Nicolás Servetto,,,servetto-nicolas,N. Servetto,F,71.0,838304.0,,,,,,,,,,,,,,,
,,,,86,,substitution,121898460.0,False,5.0,Juan Manuel García,,,juan-manuel-garcia,J. M. García,F,74.0,830755.0,Nicolás Cordero,,,nicolas-cordero,N. Cordero,F,125.0,860051.0,,,,,,,,,,,,,,,
,,,,78,,substitution,121898449.0,False,13.0,César Ibáñez,,,cesar-ibanez,C. Ibáñez,D,57.0,988327.0,Matías Cóccaro,,,matias-coccaro,M. Cóccaro,F,197.0,903286.0,True,injury,,,,,,,,,,,,,
,0.0,1.0,,70,,goal,170479947.0,False,21.0,,,,,,,,,,,,,,,,,,penalty,,Matías Cóccaro,matias-coccaro,M. Cóccaro,F,197.0,903286.0,,,,,,
,,,,69,,card,120827712.0,True,22.0,,,,,,,,,,,,,,,,,,yellow,,Vicente Taborda,vicente-taborda,V. Taborda,M,294.0,1131037.0,Vicente Taborda,False,Vicente Taborda,,,
,,,,61,,substitution,121898414.0,True,30.0,Vicente Taborda,Vicente Taborda,,vicente-taborda,V. Taborda,M,294.0,1131037.0,Franco Díaz,,,franco-diaz,F. Díaz,M,60.0,1018402.0,,,,,,,,,,,,,,,
,,,,59,,varDecision,19029.0,False,32.0,,,,,,,,,,,,,,,,,,penaltyNotAwarded,,Matías Cóccaro,matias-coccaro,M. Cóccaro,F,197.0,903286.0,,,,,False,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
,,,,31,,card,120827665.0,False,15.0,,,,,,,,,,,,,,,,,,yellow,,Nicolás Cordero,nicolas-cordero,N. Cordero,F,125.0,860051.0,Nicolás Cordero,False,,,,Foul
