text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.firstName,player.lastName,length,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerOut.firstName,playerOut.lastName,confirmed
FT,1.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,6.0,card,Matías Giménez Rojas,Argument,False,120829071.0,False,yellow,1.0,Matías Giménez Rojas,matias-gimenez-rojas,M. Giménez Rojas,F,89.0,977680.0,,,,,,,,,,,,,,,,,,,,
,,,,90,5.0,card,Bruno Bianchi,Violent conduct,False,120829067.0,True,red,1.0,Bruno Bianchi,bruno-felix-bianchi,B. Bianchi,D,10.0,34007.0,,,,,,,,,,,,,,,,,,,,
,,,,90,4.0,card,Braian Martínez,Argument,False,120829855.0,False,yellow,1.0,Braian Martínez,braian-martinez,B. Martínez,F,31.0,1020255.0,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
,,,,89,,substitution,,,,121900997.0,False,,2.0,,,,,,,,,,Santiago Hidalgo,Santiago Hidalgo,,santiago-hidalgo,S. Hidalgo,F,76.0,1199247.0,Iván Marcone,ivan-marcone,I. Marcone,M,213.0,122634.0,,,
,,,,88,,substitution,,,,121900993.0,True,,3.0,,,,,,,,,,Ignacio Maestro Puch,,,maestro-puch-ignacio,I. M. Puch,F,305.0,1096798.0,Marcelo Estigarribia,marcelo-estigarribia,M. Estigarribia,F,45.0,943166.0,,,
,,,,88,,substitution,,,,121900992.0,True,,3.0,,,,,,,,,,Francisco Di Franco,,,francisco-di-franco,F. D. Franco,M,7.0,331867.0,Guillermo Acosta,guillermo-acosta,G. Acosta,M,15.0,830747.0,,,
,,,,86,,card,Bruno Bianchi,Foul,False,120829054.0,True,yellow,5.0,Bruno Bianchi,bruno-felix-bianchi,B. Bianchi,D,10.0,34007.0,,,,,,,,,,,,,,,,,,,,
,,,,81,,substitution,,,,121900980.0,False,,10.0,,,,,,,,,,Tomas Rambert,Tomás Rambert,,rambert-tomas,T. Rambert,F,9.0,1199249.0,Patricio Ostachuk,patricio-ostachuk,P. Ostachuk,D,18.0,1093193.0,Javier Osatchuk,,
,,,,75,,substitution,,,,121900977.0,False,,16.0,,,,,,,,,,Kevin Lopez,,,lopez-kevin,K. López,M,38.0,1163996.0,Sergio Ortiz,ortiz-sergio,S. Ortíz,M,21.0,1199248.0,Sergio Ortíz,,
,,,,75,,substitution,,,,121900976.0,False,,16.0,,,,,,,,,,Santiago Salle,,,salle-santiago,S. Salle,F,11.0,1461801.0,Mateo Barcia,mateo-barcia,M. Barcia,M,60.0,1116590.0,Mateo Barcia,,
,,,,73,,card,Joaquín Laso,Foul,False,120829046.0,False,yellow,18.0,Joaquín Laso,joaquin-laso,J. Laso,D,55.0,789853.0,,,,,,,,,,,,,,,,,,,,
,,,,71,,substitution,,,,121900946.0,True,,20.0,,,,,,,,,,Bautista Kociubinski,Bautista Kociubinski,,bautista-kociubinski,B. Kociubinski,M,58.0,1086935.0,Mateo Coronel,mateo-coronel,M. Coronel,F,202.0,898982.0,,,
,,,,70,,card,Sergio Ortiz,Foul,False,120829042.0,False,yellow,21.0,Sergio Ortiz,ortiz-sergio,S. Ortíz,M,21.0,1199248.0,Sergio Ortíz,,,,,,,,,,,,,,,,,,,
,,,,68,,card,Ramiro Ruiz Rodríguez,Foul,False,120829030.0,True,yellow,23.0,Ramiro Ruiz Rodríguez,ramiro-ruiz-rodriguez,R. R. Rodríguez,F,38.0,935094.0,,,,,,,,,,,,,,,,,,,,
,,,,64,,substitution,,,,121900938.0,True,,27.0,,,,,,,,,,Ramiro Ruiz Rodríguez,,,ramiro-ruiz-rodriguez,R. R. Rodríguez,F,38.0,935094.0,Braian Guille,braian-guille,B. Guille,F,21.0,873642.0,,,
,,,,63,,card,Marcelo Ortíz,Foul,False,120829021.0,True,yellow,28.0,Marcelo Ortíz,marcelo-ortiz,M. Ortíz,D,5.0,895340.0,,,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,,,,121900845.0,False,,45.0,,,,,,,,,,Matías Giménez Rojas,,,matias-gimenez-rojas,M. Giménez Rojas,F,89.0,977680.0,Martín Sarrafiore,martin-sarrafiore,M. Sarrafiore,M,162.0,789677.0,,,
HT,1.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,4.0,card,Ayrton Costa,Foul,False,120828941.0,False,yellow,1.0,Ayrton Costa,ayrton-costa,A. Costa,D,61.0,976485.0,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
,,,,41,,card,Nicolás Romero,Foul,False,120828928.0,True,yellow,5.0,Nicolás Romero,nicolas-romero,N. Romero,D,25.0,1102816.0,Nicolás Romero,,,,,,,,,,,,,,,,,,,
,,,,23,,card,Braian Guille,Foul,False,120828911.0,True,yellow,23.0,Braian Guille,braian-guille,B. Guille,F,21.0,873642.0,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,,19,,goal,,,,170508267.0,True,penalty,27.0,Marcelo Estigarribia,marcelo-estigarribia,M. Estigarribia,F,45.0,943166.0,,,,,,,,,,,,,,,,,,,,
,,,,17,,varDecision,,,,19048.0,True,penaltyNotAwarded,29.0,Braian Guille,braian-guille,B. Guille,F,21.0,873642.0,,,,,,,,,,,,,,,,,,,,False
,,,,-5,,card,Luis Ojeda,Argument,False,120829068.0,True,yellow,6.0,Luis Ojeda,luis-ojeda,L. Ojeda,G,5.0,122654.0,,,,,,,,,,,,,,,,,,,,
