text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.firstName,player.lastName,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,length,playerOut.firstName,playerOut.lastName,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id
FT,0.0,2.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,3.0,card,Matías Vera,Foul,False,120827462.0,False,yellow,1.0,Matías Vera,matias-vera,M. Vera,M,58.0,793850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,1.0,card,Gastón Hernández,Foul,False,120827458.0,True,yellowRed,1.0,Gastón Hernández,gaston-hernandez,G. Hernández,D,81.0,980886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,,substitution,,,,121897983.0,True,,1.0,,,,,,,,,Diego Calcaterra,Diego Calcaterra,,diego-calcaterra,D. Calcaterra,D,21.0,1086957.0,Rafael Pérez,rafael-perez,R. Pérez,D,132.0,355846.0,,,,,,,,,,,
,,,,90,,substitution,,,,121897982.0,True,,1.0,,,,,,,,,Nicolás Blandi,,,nicolas-blandi,N. Blandi,F,69.0,128211.0,Adam Bareiro,adam-bareiro,A. Bareiro,F,348.0,871580.0,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
,,,,87,,card,Adam Bareiro,Foul,False,120827441.0,True,yellow,4.0,Adam Bareiro,adam-bareiro,A. Bareiro,F,348.0,871580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,83,,substitution,,,,121897953.0,False,,8.0,,,,,,,,,Leonardo Heredia,,,leonardo-heredia,L. Heredia,M,67.0,895720.0,Gabriel Ávalos,gabriel-avalos,G. Ávalos,F,644.0,789453.0,,,,,,,,,,,
,,,,83,,substitution,,,,121897952.0,False,,8.0,,,,,,,,,Matías Vera,,,matias-vera,M. Vera,M,58.0,793850.0,Santiago Montiel,montiel-santiago,S. Montiel,M,60.0,1065611.0,,Santiago Montiel,,,,,,,,,
,,,,71,,substitution,,,,121897910.0,False,,20.0,,,,,,,,,Thiago Nuss,,,thiago-nuss,T. Nuss,F,106.0,1092599.0,Francisco González Metilli,francisco-gonzalez-metilli,F. G. Metilli,M,112.0,896773.0,,,,,,,,,,,
,,,,68,,substitution,,,,121897905.0,True,,23.0,,,,,,,,,Agustín Martegani,,,agustin-martegani,A. Martegani,M,178.0,984926.0,Ivan Leguizamon,ivan-leguizamon,I. Leguizamon,M,150.0,1161823.0,,Ivan Leguizamon,,,,,,,,,
,,,,66,,card,Lucas Villalba,Foul,False,120827399.0,False,yellow,25.0,Lucas Villalba,lucas-villalba,L. Villalba,D,135.0,260077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61,,substitution,,,,121897880.0,True,,30.0,,,,,,,,,Diego Perea,,,diego-perea,D. Perea,F,26.0,1464026.0,Gonzalo Maroni,gonzalo-maroni,G. Maroni,M,335.0,840510.0,,,,,,,,,,,
,0.0,2.0,,58,,goal,,,,170474709.0,False,regular,33.0,Francisco González Metilli,francisco-gonzalez-metilli,F. G. Metilli,M,112.0,896773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57,,substitution,,,,121897862.0,False,,34.0,,,,,,,,,Fabricio Domínguez,,,fabricio-dominguez,F. Domínguez,M,103.0,939934.0,Javier Cabrera,javier-cabrera,J. Cabrera,M,132.0,340087.0,,,,,,,,,,,
,,,,56,,card,Gastón Hernández,Foul,False,120827375.0,True,yellow,35.0,Gastón Hernández,gaston-hernandez,G. Hernández,D,81.0,980886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,51,,card,Federico Redondo,Foul,False,120827357.0,False,yellow,40.0,Federico Redondo,federico-redondo,F. Redondo,M,1130.0,1117026.0,Federico Redondo,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,47,,card,Javier Cabrera,Foul,False,120827353.0,False,yellow,44.0,Javier Cabrera,javier-cabrera,J. Cabrera,M,132.0,340087.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,,,,121897823.0,False,,45.0,,,,,,,,,Álan Rodríguez,,,alan-rodriguez,Á. Rodríguez,M,76.0,874576.0,Gastón Verón,gaston-veron,G. Verón,F,202.0,924198.0,,,,,,,,,,,
,,,,46,,substitution,,,,121897822.0,True,,45.0,,,,,,,,,Nahuel Barrios,,,nahuel-barrios,N. Barrios,F,290.0,875236.0,Gastón Campi,gaston-campi,G. Campi,D,52.0,351824.0,,,,,,,,,,,
HT,0.0,1.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
,0.0,1.0,,14,,goal,,,,170473264.0,False,regular,32.0,Francisco González Metilli,francisco-gonzalez-metilli,F. G. Metilli,M,112.0,896773.0,,,,,,,,,,,,,,,,,,,,Santiago Montiel,Santiago Montiel,,montiel-santiago,S. Montiel,M,60.0,1065611.0
