text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,reversedPeriodTime,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,incidentClass,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,playerName,reason,rescinded,playerIn.firstName,playerIn.lastName,player.firstName,player.lastName,confirmed,length
FT,4.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,79,,substitution,121898235.0,False,12.0,Diego Novaretti,diego-novaretti,D. Novaretti,D,9.0,92021.0,Ulises Sánchez,,,ulises-sanchez,U. Sánchez,M,42.0,992114.0,,,,,,,,,,,,,,,,
,4.0,0.0,,78,,goal,170478042.0,True,13.0,,,,,,,,,,,,,,,regular,José Sosa,jose-sosa,J. Sosa,M,430.0,22981.0,,,,,,,,,
,,,,76,,card,120827583.0,False,15.0,,,,,,,,,,,,,,,red,Erik Godoy,erik-godoy,E. Godoy,D,51.0,249427.0,Erik Godoy,Professional foul last man,False,,,,,,
,,,,76,,substitution,121898225.0,True,15.0,Martiniano Moreno,moreno-martiniano,M. Moreno,F,6.0,1485384.0,Guido Carrillo,,,guido-carrillo,G. Carrillo,F,286.0,174519.0,,,,,,,,,,,Martiniano Moreno,,,,,
,,,,74,,substitution,121898224.0,True,17.0,Nicolas Palavecino,palavecino-nicolas,N. Palavecino,M,92.0,1131305.0,Benjamín Rollheiser,,,benjamin-rollheiser,B. Rollheiser,F,385.0,922454.0,,,,,,,,,,,,,,,,
,,,,66,,substitution,121898216.0,False,25.0,Guillermo Pereira,guillermo-pereira,G. Pereira,M,12.0,971214.0,Juan Barinaga,,,juan-barinaga,J. Barinaga,D,17.0,974729.0,,,,,,,,,,,,,,,,
,,,,62,,card,120827577.0,False,29.0,,,,,,,,,,,,,,,yellow,Ibrahim Hesar,ibrahim-hesar,I. Hesar,F,12.0,981453.0,Ibrahim Hesar,Foul,False,,,,,,
,,,,61,,substitution,121898209.0,True,30.0,José Sosa,jose-sosa,J. Sosa,M,430.0,22981.0,Mauro Méndez,,,mauro-mendez,M. Méndez,F,183.0,979827.0,,,,,,,,,,,,,,,,
,,,,60,,substitution,121898208.0,True,31.0,Fernando Zuqui,fernando-zuqui,F. Zuqui,M,69.0,284729.0,Franco Zapiola Yamartino,,,zapiola-yamartino-franco,F. Z. Yamartino,M,77.0,1212545.0,,,,,,,,,,,,,,,,
,,,,55,,varDecision,19024.0,True,36.0,,,,,,,,,,,,,,,goalNotAwarded,Mauro Méndez,mauro-mendez,M. Méndez,F,183.0,979827.0,,,,,,,,False,
,3.0,0.0,,52,,goal,170477645.0,True,39.0,,,,,,,,,,,,,,,regular,Mauro Méndez,mauro-mendez,M. Méndez,F,183.0,979827.0,,,,,,,,,
,,,,46,,substitution,121898179.0,False,45.0,Daniel Barrea,barrea-daniel,D. Barrea,F,12.0,1183778.0,Tomas Alejandro Castro,Tomas Alejandro Castro,,alejandro-castro-tomas,T. A. Castro,M,3.0,1468139.0,,,,,,,,,,,Daniel Barrea,,,,,
,,,,46,,substitution,121898175.0,False,45.0,Mariano Miño,mariano-mino,M. Miño,M,5.0,932714.0,Franco Jara,,,franco-jara,F. Jara,F,117.0,40776.0,,,,,,,,,,,,,,,,
,,,,46,,substitution,121898174.0,False,45.0,Ibrahim Hesar,ibrahim-hesar,I. Hesar,F,12.0,981453.0,Matias Moreno,Matias Moreno,,matias-moreno,M. Moreno,M,4.0,1496360.0,,,,,,,,,,,,,,,,
HT,2.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
,,,,40,,card,120827553.0,True,6.0,,,,,,,,,,,,,,,yellow,Franco Zapiola Yamartino,zapiola-yamartino-franco,F. Z. Yamartino,M,77.0,1212545.0,Franco Zapiola Yamartino,Foul,False,,,,,,
,2.0,0.0,,20,,goal,170476899.0,True,26.0,,,,,,,,,,,,,,,regular,Benjamín Rollheiser,benjamin-rollheiser,B. Rollheiser,F,385.0,922454.0,,,,,,,,,
,1.0,0.0,,13,,goal,170476860.0,True,33.0,,,,,,,,,,,,,,,regular,Benjamín Rollheiser,benjamin-rollheiser,B. Rollheiser,F,385.0,922454.0,,,,,,,,,
