text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.firstName,player.lastName,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,length,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,assist1.firstName,assist1.lastName,playerIn.firstName,playerIn.lastName,injury
FT,3.0,3.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,7.0,card,Jorge Broun,Argument,False,120829853.0,True,yellow,1.0,Jorge Broun,jorge-broun,J. Broun,G,56.0,789406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,3.0,,90,7.0,goal,,,,170513492.0,False,regular,1.0,Pablo Solari,pablo-solari,P. Solari,M,1467.0,1018450.0,,,Enzo Díaz,enzo-diaz,E. Díaz,D,169.0,932937.0,,,,,,,,,,,,,,,,,,,,
,,,,90,7.0,card,Luciano Ferreyra,Foul,False,120829219.0,True,yellow,1.0,Luciano Ferreyra,luciano-ferreyra,L. Ferreyra,M,94.0,1087068.0,Luciano Ferreyra,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
,,,,88,,substitution,,,,121901273.0,True,,3.0,,,,,,,,,,,,,,,,Facundo Agüero,facundo-aguero,F. Agüero,D,16.0,895234.0,Jaminton Campaz,,,jaminton-campaz,Jaminton Campaz,M,754.0,877299.0,,,,,
,,,,88,,card,Jaminton Campaz,Time wasting,False,120829217.0,True,yellow,3.0,Jaminton Campaz,jaminton-campaz,Jaminton Campaz,M,754.0,877299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,2.0,,85,,goal,,,,170513284.0,True,regular,6.0,Luciano Ferreyra,luciano-ferreyra,L. Ferreyra,M,94.0,1087068.0,Luciano Ferreyra,,Gino Infantino,gino-infantino,G. Infantino,M,551.0,1086992.0,,,,,,,,,,,,,,,,Gino Infantino,,,,
,,,,85,,substitution,,,,121901271.0,False,,6.0,,,,,,,,,,,,,,,,Matías Suárez,matias-suarez,M. Suárez,F,414.0,46007.0,José Paradela,,,jose-paradela,J. Paradela,M,222.0,944623.0,,,,,
,,,,85,,substitution,,,,121901270.0,True,,6.0,,,,,,,,,,,,,,,,Octavio Bianchi,bianchi-octavio,O. Bianchi,F,30.0,1183525.0,Alejo Veliz,Alejo Veliz,,alejo-veliz,A. Veliz,F,1368.0,1116987.0,,,,,
,,,,84,,substitution,,,,121901269.0,True,,7.0,,,,,,,,,,,,,,,,Luciano Ferreyra,luciano-ferreyra,L. Ferreyra,M,94.0,1087068.0,Ignacio Malcorra,,,ignacio-malcorra,I. Malcorra,M,141.0,789427.0,,,Luciano Ferreyra,,
,,,,79,,substitution,,,,121901263.0,False,,12.0,,,,,,,,,,,,,,,,Miguel Borja,miguel-borja,Miguel Borja,F,2357.0,329601.0,Salomón Rondón,,,salomon-rondon,S. Rondón,F,1965.0,35532.0,,,,,
,,,,79,,substitution,,,,121901262.0,False,,12.0,,,,,,,,,,,,,,,,David Martínez,david-martinez,D. Martínez,D,335.0,909479.0,Elías Gómez,,,elias-gomez,E. Gómez,D,110.0,365862.0,,,,,
