text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,length,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerName,reason,rescinded
FT,1.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,1.0,,90,5.0,goal,170476306.0,True,regular,1.0,Victor Hugo,,,victor-hugo,V. Hugo,M,1233.0,1170954.0,Giorgian De Arrascaeta,,,giorgian-de-arrascaeta,G. De Arrascaeta,M,14172.0,333587.0,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,
,0.0,1.0,,84,,goal,170476023.0,False,regular,7.0,Felipe Azevedo,,,felipe-azevedo,Felipe Azevedo,M,113.0,166471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,76,,substitution,121898044.0,False,,15.0,,,,,,,,,,,,,,,,,,Felipe Azevedo,,,felipe-azevedo,Felipe Azevedo,M,113.0,166471.0,Pedrinho,,,pedrinho,Pedrinho,F,353.0,896248.0,,,
,,,,76,,substitution,121898043.0,False,,15.0,,,,,,,,,,,,,,,,,,Breno Cascardo,Breno Cascardo,,breno-cascardo,Breno Cascardo,M,46.0,1469514.0,Alê,,,ale,Alê,M,118.0,869564.0,,,
,,,,75,,substitution,121898042.0,True,,16.0,,,,,,,,,,,,,,,,,,Pedro,,,pedro,Pedro,F,13520.0,840219.0,Bruno Henrique,,,bruno-henrique,Bruno Henrique,F,7258.0,795291.0,,,
,,,,66,,substitution,121898010.0,False,,25.0,,,,,,,,,,,,,,,,,,Matheusinho,,,matheusinho,Matheusinho,M,162.0,822523.0,Martín Benítez,,,martin-benitez,M. Benítez,M,586.0,155715.0,,,
,,,,66,,substitution,121898009.0,False,,25.0,,,,,,,,,,,,,,,,,,Juninho,,,juninho,Juninho,M,226.0,330691.0,Gonzalo Mastriani,,,gonzalo-mastriani,G. Mastriani,F,199.0,345847.0,,,
,,,,62,,substitution,121898000.0,False,,29.0,,,,,,,,,,,,,,,,,,Rodrigo Varanda,Rodrigo Varanda,,rodrigo-varanda,Rodrigo Varanda,F,150.0,1105305.0,Paulinho Bóia,,,paulinho-boia,Paulinho Bóia,F,176.0,912781.0,,,
,,,,60,,substitution,121897994.0,True,,31.0,,,,,,,,,,,,,,,,,,Victor Hugo,,,victor-hugo,V. Hugo,M,1233.0,1170954.0,Everton Ribeiro,,,everton-ribeiro,Everton Ribeiro,M,5886.0,145063.0,,,
,,,,57,,card,120827455.0,False,yellow,34.0,Iago Maidana,,,iago-maidana,I. Maidana,D,222.0,599686.0,,,,,,,,,,,,,,,,,,,,,,,,,,Iago Maidana,Foul,False
,,,,54,,card,120827446.0,False,yellow,37.0,Martín Benítez,,,martin-benitez,M. Benítez,M,586.0,155715.0,,,,,,,,,,,,,,,,,,,,,,,,,,Martín Benítez,Argument,False
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,6.0,card,120827386.0,False,yellow,1.0,Paulinho Bóia,,,paulinho-boia,Paulinho Bóia,F,176.0,912781.0,,,,,,,,,,,,,,,,,,,,,,,,,,Paulinho Bóia,Foul,False
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
,,,,42,,card,120827368.0,True,yellow,4.0,Ayrton Lucas,,,ayrton-lucas,Ayrton Lucas,D,2130.0,818473.0,,,,,,,,,,,,,,,,,,,,,,,,,,Ayrton Lucas,Foul,False
,,,,39,,card,120827359.0,True,yellow,7.0,Giorgian De Arrascaeta,,,giorgian-de-arrascaeta,G. De Arrascaeta,M,14172.0,333587.0,,,,,,,,,,,,,,,,,,,,,,,,,,Giorgian De Arrascaeta,Foul,False
,,,,19,,card,120827328.0,False,yellow,27.0,Daniel Borges,,,daniel-borges,D. Borges,D,113.0,794874.0,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Borges,Foul,False
